abhorrence: abhorrence
mystic: mystic
nail: nails
naked: naked
nameable: nameable
nameless: nameless
napery: napery
narrate: narrated
narrative: narrative,narratives
narrow: narrow
nationality: nationalities
natural: natural
naturally: naturally
nature: nature,natures
naturedly: naturedly
nausea: nausea
nearer: nearer
neat: neat
neatly: neatly
necessity: necessity
neglect: neglect
negligence: negligence
neighbour: neighbouring,neighbours
neighbourhood: neighbourhood
nerve: nerves
nervous: nervous
network: network
news: news
newsboy: newsboys
newsletter: newsletter
nicely: nicely
nicety: nicety
night: night
nightly: nightly
nightmare: nightmare,nightmares
ninth: ninth
noble: noble,nobler
nocturnal: nocturnal
nod: nod,nodded
noise: noise
nonproprietary: nonproprietary
noon: noon
north: north
nose: nose
notable: notable
note: note
notice: notice,noticed
notify: notifies
notion: notion
nourish: nourished
novelty: novelty
nut: nut
oak: oak
obey: obey
object: object,objected
obligation: obligation,obligations
oblige: obliged,obliging
obliterate: obliterate
obnoxious: obnoxious
obscure: obscure
obsequiously: obsequiously
observation: observation,observations
observe: observed
observer: observer,observers
obsolete: obsolete
obstacle: obstacles
obvious: obvious
occasion: occasion,occasions
occasional: occasional
occasionally: occasionally
occupy: occupied
occur: occur,occurring
october: october
odd: odd
oddly: oddly
odious: odious
odour: odours
offend: offended
offer: offered,offering,offers
office: office,offices
officer: officer,officers
official: official
online: online
opportunity: opportunities,opportunity
oration: oration
ordinary: ordinary
organize: organized
origin: origin
original: original
originator: originator
outdated: outdated
outstrip: outstrip
overcome: overcame
overdose: overdose
overhead: overhead
overlook: overlooked
overpowering: overpowering
overthrow: overthrown
owe: owed
owner: owner
pace: pace
pacify: pacify
pack: packed,packing
packet: packet
pain: pain
painfully: painfully
paint: painted
pair: pair,pairs
palace: palace
pale: pale
pall: pall
pallor: pallor
pamper: pamper
panel: panels
pang: pang,pangs
paper: paper,papers
paperwork: paperwork
paragraph: paragraph,paragraphs
pardon: pardon
park: park
parley: parley
parry: parry
partake: partakes
partial: partial
particulars: particulars
partly: partly
party: party
pass: pass,passed,passes,passing
passage: passage
passenger: passenger,passengers
passer: passer
passion: passion,passions
patent: patent
path: path
pathetically: pathetically
patience: patience
patient: patient,patients
patrol: patrols
pattern: pattern
pause: pause,paused,pausing
pave: paved
pavement: pavement
pavilion: pavilion
pay: paid,pay,paying
payable: payable
payment: payment,payments
peace: peace
pecuniary: pecuniary
pedant: pedant
pedantically: pedantically
peep: peep
peer: peered
peevishly: peevishly
peg: peg
pen: pen
penetration: penetration
penitence: penitence
penny: penny
perceive: perceive
perch: perch
perennial: perennial
perfect: perfect
perfectly: perfectly
perform: perform,performed,performing
performance: performances
peril: peril
period: period
periodic: periodic
permanent: permanent
permanently: permanently
permission: permission
permit: permitted
perplexed: perplexed
perplexity: perplexity
person: people,person
personal: personal
personality: personality
persuade: persuaded
pet: pet
petition: petitions
petrified: petrified
phase: phases
phenomena: phenomena
phial: phial
phosphorus: phosphorus
photograph: photographed
phrase: phrase
physical: physical
physician: physician
picture: picture,pictures
piece: piece,pieces
pile: pile
pillar: pillars
pink: pink
pious: pious
pit: pit
pitch: pitch,pitching
pitiful: pitiful
pity: pity
plain: plain
plainly: plainly
plate: plate
play: play,played,playing
plaything: plaything
plead: pleaded
pleasant: pleasant,pleasantest
pleased: pleased
pleasure: pleasure,pleasures
pledge: pledged
plentiful: plentiful
plenty: plenty
plod: plod
pluck: pluck,plucked
plunge: plunged
ply: plies
pocket: pocket,pockets
poignant: poignant
poker: poker
polar: polar
police: police
policeman: policeman
polished: polished
politeness: politeness
polity: polity
poor: poor
popular: popular
portico: portico
portland: portland
portrait: portrait
position: position
positive: positive
possess: possessed,possessing
possession: possession,possessions
possibility: possibilities,possibility
post: post,posted
postmark: postmark
postoffice: postoffice
postpone: postpone
posture: posture
potently: potently
potion: potion
pound: pounds
powder: powders
power: power,powers
practical: practical
practically: practically
practice: practice
practise: practising
praise: praises
prayer: prayers
precede: preceded
predecease: predecease
predecessor: predecessor
preface: preface
prefer: prefer,preferred
preference: preference
premature: premature
prematurely: prematurely
premonitory: premonitory
preparation: preparations
prepare: prepare,prepared
prepared: prepared
presence: presence
presently: presently
presentment: presentment
preserve: preserve
press: press,presses
pressure: pressure
pretend: pretend
pretty: pretty
prevail: prevail,prevailed
prevent: prevent,prevented
previous: previous
prevision: prevision
primitive: primitive
principle: principle
print: print,printed
prison: prison
prisoner: prisoner
private: private
probable: probable
proceed: proceed,proceeded
processing: processing
procession: procession
prodigy: prodigy
produce: produce,produced
production: production
profession: profession
professional: professional
professor: professor
profit: profit,profits
profound: profound
progress: progress
prohibition: prohibition
project: project,projected,projecting
prolong: prolong,prolonged
prominently: prominently
promise: promise
promising: promising
promote: promoting
promotion: promotion
proofread: proofread
propensity: propensity
property: property
proportion: proportion,proportions
propose: propose
proprietary: proprietary
propriety: proprieties
prospect: prospect
prostration: prostration
protect: protect,protected
protege: protege
protest: protest,protesting
prove: prove,proved
provide: provide,providing
province: province,provinces
provision: provision,provisions
provocation: provocation
prudence: prudence
psychological: psychological
public: public
puff: puffs
pull: pull,pulled
pulse: pulse
punctually: punctually
pungent: pungent
punish: punish,punished
punishment: punishment
punitive: punitive
purchase: purchased
pure: pure
purple: purple
purpose: purpose
purse: purse
pursue: pursued
pursuit: pursuit
puzzle: puzzled
pythias: pythias
quail: quailed,quailing
quaint: quaint
quaintly: quaintly
quality: qualities,quality
qualm: qualm
quantity: quantity
quarrel: quarrel
quarry: quarry
quarter: quarter,quarters
queer: queer
question: question,questions
quick: quick
quickness: quickness
quiet: quiet,quietest
quietly: quietly
quill: quills
race: race
rack: racked
racking: racking
radiance: radiance
radically: radically
rage: raged,raging
ragged: ragged
railing: railing
raise: raise,raised,raising
ramble: rambles
rambling: rambling
random: random
rank: ranks
ransack: ransacked
rare: rare
rarely: rarely
rat: rat
ravages: ravages
reach: reach,reached,reaching
read: read,reading
readable: readable
readiness: readiness
reading: reading
ready: ready
real: real
reason: reason,reasons
reasonable: reasonable
recall: recall,recalled
receipt: receipt
receive: receive,received,receiving
recess: recess
recklessness: recklessness
recluse: recluse
recognise: recognise,recognised
reconcile: reconcile
record: record
recover: recover
recovery: recovery
red: red
reddish: reddish
redeem: redeem
redemption: redemption
redistribute: redistribute,redistributing
redistributing: redistributing
redistribution: redistribution
reel: reeled
refer: refer
reference: references
reflect: reflect,reflected
reflection: reflection,reflections
reformation: reformation
refresh: refreshed
refuge: refuge
refund: refund
refuse: refused
regard: regard,regarded
regent: regent
register: registered
registration: registration
regular: regular
regulate: regulating
reinforce: reinforce
rejoice: rejoiced
relate: relate
relation: relations
relax: relaxed
release: release
relentless: relentless
reliant: reliant
relief: relief
relieve: relieve,relieved
religion: religion
relish: relish
remain: remain,remained,remaining,remains
remark: remark,remarked
remarkable: remarkable
remedy: remedied,remedies
remember: remember,remembered,remembers
remorse: remorse
remove: remove,removed
rename: renamed
render: rendered
renew: renewed
rent: rent
renunciation: renunciation
repair: repair
repay: repaid
repeat: repeated
repetition: repetitions
replace: replace,replaced
replacement: replacement
reply: replied,reply
report: reported,reports
repose: repose,reposed
representation: representations
reprove: reprove
repugnance: repugnance
repulsion: repulsion
reputable: reputable
reputation: reputation
request: request,requested
require: require,required
requirement: requirements
resemblance: resemblance
resent: resented
resentment: resentment
reservation: reservation
resist: resisted
resistance: resistance
resolute: resolute
resolution: resolution
resolve: resolve,resolved
respect: respect
respectability: respectability
respecter: respecters
responsibility: responsibility
rest: rest
restore: restored
restraint: restraint
restriction: restrictions
resume: resumed
resuscitate: resuscitating
retail: retail
retain: retains
return: return,returned,returning,returns
revenue: revenue
reversal: reversal
review: review
revolting: revolting
revolver: revolver
reward: reward,rewarded
rich: rich,richer
richard: richard
riches: riches
rid: rid
rifle: rifle
rightly: rightly
rigorous: rigorous
rigour: rigour
riot: riot
ripe: ripe
rise: rise,rose
risk: risk,risked
rival: rivalled
river: river
roadway: roadway
roar: roaring
robert: robert
robust: robust
roll: roll,rolled,rolling,rolls
romantically: romantically
roof: roof,roofed
root: root,roots
rosy: rosy
route: routing
row: rows
royalty: royalties,royalty
rude: rude
rugged: rugged
ruin: ruin,ruined
rule: rule,rules
ruminate: ruminated
rumour: rumour
rush: rushed
rust: rust
rusty: rusty
ruthlessly: ruthlessly
sacrifice: sacrificed
sad: sad
sadly: sadly
sadness: sadness
safe: safe
safety: safety
sake: sake
salad: salads
saleswoman: saleswomen
salt: salt
sample: sample
sane: sane
sanity: sanity
satan: satan
satisfy: satisfy
saucer: saucers
savage: savage
save: save
sawbones: sawbones
scaffold: scaffold
scale: scales
scandal: scandal
scanty: scanty
scarce: scarce
scarcely: scarcely
scare: scare,scared
scene: scene
school: school
schoolboy: schoolboy
science: science
scientific: scientific
score: scores
scotland: scotland
scrawl: scrawling
scream: screamed,screaming,screams
screaming: screaming
screech: screech
screw: screwed
scroll: scroll
scruple: scruple
scrutiny: scrutiny
scud: scud
sea: sea
seal: seal,sealed
search: search,searching
searcher: searchers
season: season
seasonable: seasonable
seat: seat
seated: seated
seclusion: seclusion
secret: secret,secrets
secretly: secretly
secure: secure
securely: securely
sedulous: sedulous
sedulously: sedulously
seek: seek,sought
seemingly: seemingly
seize: seize,seized,seizing
selfishness: selfishness
sell: sold
semblance: semblance
send: send,sending
sensation: sensations
sense: sense
sensitive: sensitive
sensual: sensual
sentence: sentence
sentiment: sentiment
separate: separate
separately: separately
separation: separation
series: series
servant: servant,servants
serve: serve,served
service: service,services
set: set,setting
settle: settle,settled
sever: severed
severity: severity
shade: shade,shaded
shadow: shadow
shady: shady
shaft: shaft
shake: shake,shaken,shook
shame: shame
shape: shape
share: share,shared,sharing
sharp: sharp
sharpened: sharpened
sharply: sharply
shatter: shattered
sheep: sheep
sheet: sheet,sheets
shelf: shelf
shelter: shelter
shield: shield
shifting: shifting
shine: shine,shone
shipwreck: shipwreck
shock: shock,shocked,shocking
shocking: shocking
shoe: shoes
shoot: shot
shop: shop,shops
short: short
shoulder: shoulder,shoulders
shrink: shrank
shrunken: shrunken
shudder: shudder,shuddered,shuddering
shuddering: shuddering
shut: shut,shuts
shutter: shutters
sick: sick
sicken: sicken,sickened
sickliness: sickliness
sickness: sickness
sigh: sigh,sighed
sight: sight,sights
sign: signed
signature: signature
signify: signified
silence: silence
silent: silent
silently: silently
silver: silver
silvery: silvery
simple: simple
simply: simply
sin: sin,sinned
sincerely: sincerely
sing: singing
single: single
singular: singular
singularly: singularly
sinister: sinister
sink: sinks,sunk
sinking: sinking
sinner: sinner,sinners
sir: sir
sit: sat,sit,sits,sitting
sitter: sitter
situate: situated
situation: situation
sixth: sixth
size: size
skulk: skulking
sky: sky
slatternly: slatternly
slave: slave
slavery: slavery
slay: slay
sleep: sleep,sleeping,slept
sleeper: sleeper
sleeplessness: sleeplessness
slight: slight,slighter
slime: slime
slip: slipped
slope: sloped,sloping
slouch: slouched
slowly: slowly
slumber: slumber,slumbered
slyish: slyish
smartingly: smartingly
smell: smell
smile: smile,smiled,smiling
smite: smote
smoke: smoke,smoking
smooth: smooth,smoothed
smother: smother
smuggle: smuggled
snarl: snarled
sneer: sneering
sneering: sneering
sob: sob
sober: sober
sobering: sobering
soberly: soberly
society: society
soften: softened
soho: soho
sole: sole
solely: solely
solemn: solemn
solemnly: solemnly
solicit: solicit
solicitation: solicitation
solid: solid
solitary: solitary
solitude: solitude
solution: solution
solve: solve,solved
sombre: sombre
son: son
song: song
sordid: sordid
sorely: sorely
sorrow: sorrow
sort: sort,sorts
soul: soul
sound: sound,sounded,sounds
space: space
spacious: spacious
spare: spare
spark: spark
sparkle: sparkling
speak: speak,speaking,spoke
special: special
speech: speech
spell: spelling
spine: spine
spirit: spirit,spirits
spiritual: spiritual
spite: spite
splintered: splintered
splutter: splutter
sprawl: sprawling
spring: sprang,spring,springs,sprung
spy: spy
square: square
stack: stack
staff: staff
stage: stage
stagger: stagger,staggered
stain: stain,stained
stair: stair,stairs
stamp: stamp,stamped,stamping
stand: stand,standing,stands,stood
stare: stared,staring
start: start,started,starting
starting: starting
startle: startle,startled
startling: startling
statement: statement,statements
station: station,stations
stature: stature
status: status
statute: statute
stay: stay,stays
stead: stead
steadfastly: steadfastly
steadily: steadily
steadiness: steadiness
steal: stealing,stole
stealthily: stealthily
step: step,stepped,stepping,steps
sterling: sterling
sternly: sternly
stick: stick,sticks
stiff: stiff
stillness: stillness
stimulate: stimulated
stimulation: stimulation
stink: stink
stir: stirred
stirring: stirrings
stock: stock
stone: stone
stoop: stooping
store: store,stored
storm: storm
story: stories,story
straight: straight
strain: strain
strained: strained
strange: strange
strangeness: strangeness
stranger: stranger
strangle: strangling
straw: straw
streaming: streaming
street: street,streets
strength: strength
stress: stress
stretch: stretched
strew: strewn
strict: strict
strike: struck
string: strung
stringent: stringent
strip: strip,stripped
strong: strong
structure: structure
struggle: struggle,struggled,struggling
student: student,students
studious: studious
study: studied,studies,study
stuff: stuff
stump: stumping
stupidity: stupidity
style: style
subject: subject,subjected
subjective: subjective
submerge: submerged
subordinate: subordinate
subscribe: subscribe
subsequent: subsequent
subside: subside,subsided
substitute: substituted
succeed: succeed,succeeded
success: success
successive: successive
succumb: succumbed
suck: sucked
sudden: sudden
suddenly: suddenly
suffer: suffer,suffered
sufferer: sufferer,sufferers
suffering: suffering,sufferings
suffice: suffice
sufficient: sufficient
sugar: sugar
suggestion: suggestion,suggestions
suicide: suicide
sulkily: sulkily
sullenness: sullenness
sum: sums
summon: summoned,summoning
summons: summons
sun: sun
sunday: sunday
sunder: sunder
sunset: sunset
sunshine: sunshine
superior: superiors
superscribe: superscribed
superstitious: superstitious
supply: supplied,supply
support: support
suppose: suppose,supposed,supposing
supremacy: supremacy
surely: surely
surgeon: surgeon
surgical: surgical
surplus: surplus
surprise: surprised
surprised: surprised
surprising: surprising
surround: surrounded
surroundings: surroundings
survive: survive,surviving
suspect: suspect,suspects
suspense: suspense
suspicion: suspicion,suspicions
suspicious: suspicious
swallow: swallow,swallowed
swamp: swamp
swarm: swarmed
swart: swart
swear: swear
sweat: sweat
sweep: swept
sweet: sweet
sweetness: sweetness
swell: swell,swelled
swift: swift
swiftly: swiftly
swing: swing,swung
swirl: swirling
symbol: symbols
symptom: symptoms
synonymous: synonymous
tabernacle: tabernacle
table: table,tables
tale: tale,tales
talk: talk,talking
talking: talking
tall: tall
task: tasks
taste: taste,tastes,tasting
tax: tax,taxes
tea: tea
tear: tear,tearing,tears
temper: temper
tempest: tempest
temple: temples
temporary: temporary
tempt: tempted
temptation: temptation,temptations
tenfold: tenfold
tenor: tenor
tensely: tensely
tenth: tenths
term: term,terms
termination: termination
terror: terror,terrors
testament: testament
testify: testified,testify
texture: texture
theatre: theatre
theatrical: theatrical
thenceforth: thenceforth
thenceforward: thenceforward
theory: theory
thickly: thickly
thief: thief
thinking: thinking
thoroughfare: thoroughfare,thoroughfares
thrall: thrall
threshold: threshold
thrice: thrice
thrill: thrill
thriving: thriving
throat: throat
throe: throes
throw: threw,throw
thrust: thrust
ticklish: ticklish
tide: tide
tie: tied
tight: tight
tilt: tilted
time: time,times
timidity: timidity
tincture: tincture
tiptoe: tiptoe
title: title
toil: toiling,toils
token: tokens
tolerance: tolerance
tone: tones
tongue: tongue
tongued: tongued
tooth: teeth
topic: topic
topmost: topmost
torment: torments
torture: torture,tortured
toss: toss,tossed
total: total
totally: totally
touch: touch,touched
tough: tough
town: town
trace: trace,traced,traces
track: tracked
trade: trade
trademark: trademark
tradesman: tradesmen
tragic: tragic
trample: trampled,trampling
tramps: tramps
transact: transact
transcendental: transcendental
transcribe: transcribe
transcription: transcription
transfer: transferred
transfigure: transfigures
transform: transforming
transformation: transformation,transformations
transience: transience
transition: transition
transparency: transparency
transpire: transpires
transport: transport
traverse: traversed
tread: tread,trod
treatment: treatment
treble: treble
tree: trees
tremble: tremble,trembles,trembling
trench: trench
trial: trial
trick: tricks
trifle: trifle
trifling: trifling
trim: trimming
trio: trio
triumph: triumph
troglodytic: troglodytic
trouble: trouble,troubles
trousers: trousers
trudge: trudged
true: true
trust: trust,trusted
trustee: trustee
truth: truth
turpitude: turpitude
tut: tut
twilight: twilight
twin: twin,twins
twitching: twitching
twopenny: twopenny
type: types
ugly: ugly
ultimate: ultimate
ultimately: ultimately
umber: umber
unable: unable
unbearable: unbearable
unbelief: unbelief
unbridled: unbridled
uncertain: uncertain
uncertainty: uncertainties
unconscious: unconscious
undaunted: undaunted
undemonstrative: undemonstrative
understand: understand,understood
undertake: undertook
undignified: undignified
undo: undo
unearth: unearthed
uneasy: uneasy
unenforceability: unenforceability
unequal: unequal
unequally: unequally
unexplained: unexplained
unexpressed: unexpressed
unfamiliar: unfamiliar
unfortunate: unfortunate
unhappy: unhappy
uniform: uniform
unimpaired: unimpaired
unimpressionable: unimpressionable
uninterrupted: uninterrupted
unite: united
united: united
unjust: unjust
unknown: unknown
unlink: unlink
unlock: unlocked
unlooked: unlooked
unmanning: unmanning
unobtrusive: unobtrusive
unopened: unopened
unprepared: unprepared
unprotected: unprotected
unquestionably: unquestionably
unread: unread
unreality: unreality
unresisting: unresisting
unscientific: unscientific
unscrupulous: unscrupulous
unseal: unsealed
unseemly: unseemly
unshaken: unshaken
unsleeping: unsleeping
unsolicited: unsolicited
unsteady: unsteady
unsunned: unsunned
untasted: untasted
unusually: unusually
unvarying: unvarying
unveil: unveiled
unwelcome: unwelcome
unworthily: unworthily
unworthy: unworthy
update: updated
upper: upper
uppermost: uppermost
upright: upright
upward: upward
useless: useless
uselessness: uselessness
user: user
usher: ushered
usual: usual
usurp: usurp
ut: ut
utter: utter,uttered
utterly: utterly
vain: vain
vanilla: vanilla
vapour: vapour
vapours: vapours
variety: variety
vast: vast
veil: veil,veiled
vein: vein,veins
vengeance: vengeance
venture: venture,ventured
version: version
vestment: vestment
vicarious: vicarious
vice: vice
victim: victim
view: view,viewed,viewing,views
vigilance: vigilance
vile: vile
villainous: villainous
vineyard: vineyards
vintage: vintages
violate: violates
violent: violent
violently: violently
virtue: virtue
virus: virus
visible: visible
visibly: visibly
visit: visit,visited,visits
visitor: visitor,visitors
vital: vital
voice: voice,voices
void: void
volatile: volatile
volume: volume
voluntarily: voluntarily
voluntary: voluntary
volunteer: volunteer,volunteers
vow: vows
waist: waist
wait: wait,waiting
waiter: waiter
wake: wake,woke
wakeful: wakeful
waken: wakened
wakening: wakening
walk: walk,walked,walking,walks
wall: wall,walls
wander: wandered
war: war
warm: warm,warmed
warmth: warmth
warn: warned
warning: warning,warnings
warrant: warrant
warranty: warranties,warranty
watch: watch,watched
watcher: watcher
water: water,waters
watery: watery
waver: wavered
weak: weak
weaken: weakened
weakness: weakness
wealth: wealth
wealthy: wealthy
weapon: weapon
wear: wear,wore
weariness: weariness
weary: wearied
weather: weather
week: week,weeks
weep: weeping,wept
weeping: weeping
weigh: weigh
weight: weight
weighty: weighty
west: west
wet: wet
whatsoever: whatsoever
wheel: wheel
whereabouts: whereabouts
wherewithal: wherewithal
whet: whetted
whimpering: whimpering
whip: whipped,whipping
whisper: whisper,whispered,whispering
white: white
wholesale: wholesale
wholly: wholly
wicked: wicked
wide: wide,wider,widest
widespread: widespread
wife: wife
wild: wild
wind: wind
window: window,windows
windowless: windowless
wine: wine
wing: wing
winter: winter
wipe: wiped
wise: wise,wiser
wisely: wisely
withdraw: withdrawn,withdrew
wither: withered
woman: woman,women
womb: womb
wonderful: wonderful
wood: wood
word: word,worded
workmanship: workmanship
worth: worth
wrack: wrack
wrapper: wrappers
wreath: wreaths
wreck: wreck,wrecked
wrestle: wrestling
wring: wrung
write: write,writing,written,wrote
writer: writer
writing: writing
wrong: wrong
yard: yard
yellow: yellow
yesterday: yesterday
youth: youth
