ab: ab
constancy: constancy
constant: constant
constantine: constantine
constantinople: constantinople
constantly: constantly
constat: constat
consternation: consternation
constituent: constituent
constitute: constitute,constituted,constitutes
constitution: constitution
constitutional: constitutional
constrain: constrain,constrained
constraint: constraint
construct: construct,constructed
construction: construction
construe: construed
consubstantial: consubstantial
consubstantiality: consubstantiality
consul: consul,consuls
consular: consular
consulship: consulship
consult: consult,consulted,consulting,consults
consulta: consulta
consultation: consultation,consultations
consulting: consulting
consultor: consultor
consume: consume,consumed,consuming
consummate: consummate,consummated,consummating
consumption: consumption
cont: cont
contagion: contagion
contemplate: contemplate,contemplated,contemplating
contemplation: contemplation
contemporary: contemporaries,contemporary
contempt: contempt
contemptible: contemptible
contemptibly: contemptibly
contemptuous: contemptuous
contemptuously: contemptuously
contend: contend,contended,contending,contends
content: content,contenting
contented: contented
contention: contention,contentions
contents: contents
contest: contest,contested,contests
continent: continent,continents
continual: continual
continually: continually
continuance: continuance
continuation: continuation
continue: continue,continued,continues,continuing
contr: contr
contra: contra
contract: contract,contracted,contracts
contracting: contracting
contradict: contradict,contradicted,contradicts
contradiction: contradiction,contradictions
contradictory: contradictory
contrary: contrary
contrast: contrast,contrasted,contrasting
contribute: contribute,contributed,contributes,contributing
contribution: contribution,contributions
contrive: contriving
contrived: contrived
control: control,controlling
controversial: controversial
controversy: controversies,controversy
controvert: controvert
convene: convene,convened
convenience: convenience,conveniences
conveniency: conveniency
convenient: convenient
conventicle: conventicles
conversant: conversant
conversation: conversation
converse: converse,conversed,conversing
conversion: conversion,conversions
convert: convert,converted,converts
convey: convey,conveyed,conveying
convict: convict,convicted
conviction: conviction
convince: convince,convinced,convincing
convinced: convinced
convincing: convincing
convivio: convivio
convocation: convocation
convoke: convoked
convoy: convoy,convoys
convulsive: convulsive
cook: cooks
cool: cool,cooled
coolness: coolness
cooperate: cooperate
cooperation: cooperation
coordinate: coordinate
copious: copious
copiously: copiously
copiousness: copiousness
copulative: copulative
cora: cora
coram: coram
corinth: corinth
corinthian: corinthians
corn: corn
cornelius: cornelius
corner: corner
coromandel: coromandel
corona: corona
coronary: coronary
coronas: coronas
coronation: coronation
coronis: coronis
corporal: corporal
corporation: corporations
corpore: corpore
corporeal: corporeal
corps: corps
corpse: corpse
corpus: corpus
correct: correct,corrected
correction: correction
corrector: corrector
correlative: correlative
correspond: correspond,corresponded
correspondence: correspondence
correspondent: correspondent
corrode: corrodes
corrupt: corrupt,corrupted
corruption: corruption,corruptions
cortez: cortez
cortin: cortin
cost: cost
costly: costly
cote: cote
cottage: cottage
couch: couch
council: council,councils
counsel: counsels
counsellor: counsellor,counsellors
count: count,counts
countenance: countenance,countenanced,countenances
counterbalance: counterbalance,counterbalanced
country: countries,country
countryman: countrymen
couple: coupled
courage: courage
court: court,courted,courting,courts
courtesan: courtesan
courtesy: courtesy
courtier: courtiers
courtly: courtly
cousin: cousin,cousins
covenant: covenant
cover: cover,covered,covering,covers
covered: covered
covering: covering
covet: coveted
covetousness: covetousness
cow: cows
cowardice: cowardice
cowardly: cowardly
coxcomb: coxcomb
coyness: coyness
crafty: crafty
craggy: craggy
crane: cranes
create: create,created,creates,creating
creation: creation
creator: creator
creature: creature,creatures
credenda: credenda
credere: credere
credibility: credibility
credible: credible
credit: credit
credulity: credulity
credulous: credulous
credulously: credulously
creed: creed,creeds
creep: creeps
crime: crime,crimes
criminal: criminal,criminals
criminate: criminate
crimine: crimine
crisis: crisis
crit: crit
critic: critic,critics
critical: critical
critically: critically
criticism: criticism,criticisms
criticize: criticizes,criticizing
critique: critique
cross: cross,crosses,crossing
crow: crows
crowd: crowd,crowded,crowds
crown: crown,crowned,crowns
croze: croze
cruce: cruce
crucify: crucified
crucis: crucis
cruel: cruel
cruelly: cruelly
cruelty: cruelties,cruelty
crumble: crumbled
crusade: crusade
crusades: crusades
crush: crush
crux: crux
cubit: cubits
cuirass: cuirass
cultivate: cultivate,cultivated
cultivation: cultivation
cum: cum
cumbersome: cumbersome
cunning: cunning
cup: cup,cups
cur: cur
cura: cura
curator: curator
curb: curb
curds: curds
cure: cure,cured,cures
curia: curia
curiosity: curiosity
curious: curious
curiously: curiously
curl: curls
currency: currency
current: current
curse: curse,curses
cursus: cursus
curt: curt
curtain: curtain
curule: curule
curve: curve
custodia: custodia
custody: custody
custom: custom,customs
customary: customary
customer: customers
cut: cut,cutting
cyanean: cyanean
cybele: cybele
cycle: cycle
cynic: cynic
cypress: cypress,cypresses
cyprian: cyprian
cyprus: cyprus
cyril: cyril
cyrus: cyrus
czar: czar
dagger: dagger,daggers
daily: daily
dainty: dainties
dam: dams
damage: damage
damages: damages
damascus: damascus
damnation: damnation
damsel: damsel
dance: dance,dances
dancer: dancers
dancing: dancing
dane: dane
danes: danes
danger: danger,dangers
dangerous: dangerous
dangerously: dangerously
daniel: daniel
danube: danube
daphne: daphne
daring: daring
darius: darius
dark: dark,darker,darkest
darken: darkened
darkly: darkly
darkness: darkness
dart: dart,darted
darts: darts
dash: dashed
daughter: daughter,daughters
dauntless: dauntless
dauphine: dauphine
david: david
dawn: dawn
day: day,days
dea: dea
deacon: deacon,deacons
deaconess: deaconesses
dead: dead
deadly: deadly
deadness: deadness
death: death,deaths
debase: debased
debate: debate,debated,debates
debris: debris
debt: debt,debts
debtor: debtor,debtors
decay: decay,decayed
decayed: decayed
decease: decease,deceased
deceased: deceased
deceit: deceit
deceitful: deceitful
deceive: deceive,deceived,deceiving
decem: decem
december: december
decency: decencies,decency
decent: decent
decently: decently
deception: deception
decide: decide,decided,decides,deciding
decision: decision,decisions
decisive: decisive
decisively: decisively
decius: decius
declaimer: declaimer,declaimers
declamation: declamation,declamations
declaration: declaration,declarations
declare: declare,declared,declares,declaring
declared: declared
decline: decline,declined,declining
declivity: declivity
decorate: decorate,decorated,decorating
decoration: decorations
decore: decore
decorum: decorum
decree: decree,decreed,decrees
decrepit: decrepit
decurion: decurions
decurionate: decurionate
dedicate: dedicated,dedicating
dedicated: dedicated
dedication: dedication
dedit: dedit
deduce: deduce,deduced
deduct: deducted
deduction: deduction
deed: deed,deeds
deem: deem,deemed,deeming
deep: deep,deeper,deepest
deeply: deeply
deface: defaced
defeat: defeat,defeated,defeating,defeats
defect: defect,defects
defection: defection
defective: defective
defence: defence
defenceless: defenceless
defend: defend,defended,defending,defends
defender: defenders
defensive: defensive
defer: defer,deferred,deferring
deference: deference
defiance: defiance
deficiency: deficiencies,deficiency
deficit: deficit
defile: defile,defiled,defiles
define: define,defined
definite: definite
definition: definition,definitions
definitive: definitive
deform: deformed
defraud: defraud,defrauded
defray: defray,defraying
defy: defied
degenerate: degenerate,degenerated,degenerating
degradation: degradation
degrade: degrade,degraded,degrades
degrading: degrading
degree: degree,degrees
dei: dei
deign: deigned
deity: deities,deity
del: del
delation: delation
delay: delay,delayed,delays
delegate: delegated,delegates
delegated: delegated
delia: delia
deliberate: deliberate
deliberately: deliberately
deliberation: deliberation,deliberations
delicacy: delicacies,delicacy
delicate: delicate
delicious: delicious
delight: delight,delighted,delighting,delights
delighted: delighted
delineate: delineate,delineated,delineates
deliver: deliver,delivered,delivering,delivers
deliverance: deliverance
deliverer: deliverer
delivery: delivery
della: della
delude: deluded
deluge: deluge
demagogue: demagogues
demand: demand,demanded,demanding,demands
demeanor: demeanor
demesne: demesnes
demolish: demolish,demolished
demolition: demolition
demonstrate: demonstrated
demonstration: demonstrations
denarius: denarius
denial: denial
denomination: denomination
denote: denote,denoted
denounce: denounce,denounced
dense: dense
deny: denied,denies,deny,denying
depart: depart,departed
department: department,departments
departure: departure
depend: depend,depended,depending,depends
dependant: dependants
dependence: dependence
dependent: dependent
deplorable: deplorable
deplore: deplore,deplored,deplores
deportment: deportment
depose: depose,deposed
deposit: deposited
depraved: depraved
depravity: depravity
deprecate: deprecate,deprecated
depreciate: depreciate,depreciated,depreciating
depredation: depredations
depress: depressed
deprive: deprive,deprived,depriving
depth: depth
deputation: deputation,deputations
depute: deputed
deputy: deputies,deputy
der: der
deride: deride,derided,derides,deriding
derision: derision
derivation: derivation
derive: derive,derived,deriving
des: des
descant: descants
descend: descend,descended
descendant: descendants
descent: descent
description: description,descriptions
descry: descry
desert: desert,deserted,deserting,deserts
deserted: deserted
deserter: deserter,deserters
desertion: desertion
deserve: deserve,deserved,deserves,deserving
deserved: deserved
deservedly: deservedly
deserving: deserving
design: design,designed,designs
designate: designate,designated,designating
designedly: designedly
desirable: desirable
desire: desire,desired,desires
desirous: desirous
desist: desist
desisted: desisted
desk: desk
desolate: desolate
desolated: desolated
desolation: desolation
despair: despair
despaired: despaired
despatch: despatch,despatched,despatches
despatched: despatched
desperate: desperate
despicable: despicable
despise: despise,despised,despising
despoil: despoiled,despoiling
despond: desponding
desponding: desponding
despot: despot
despotic: despotic
despotism: despotism
destine: destined
destitute: destitute
destroy: destroy,destroyed,destroying,destroys
destruction: destruction
destructive: destructive
desultory: desultory
detach: detach,detached
detachment: detachment,detachments
detain: detain,detained
detect: detect,detected,detecting
detection: detection
deter: deter,deterred,deters
determination: determination
determine: determine,determined,determines
determined: determined
detest: detest,detested,detesting
deus: dei,deus
deuteron: deuteron
deux: deux
devastation: devastation,devastations
deviate: deviate,deviated,deviates
deviation: deviation,deviations
devil: devil,devils
devoid: devoid
devolve: devolve,devolved,devolves
devote: devote,devoted,devotes,devoting
devoted: devoted
devotion: devotion
devotions: devotions
devour: devour,devoured,devouring
devout: devout
devoutly: devoutly
dexterity: dexterity
dexterous: dexterous
dexterously: dexterously
di: di,dis
diadem: diadem
dialect: dialect
dialectic: dialectics
dialog: dialog
dialogue: dialogue
dialogues: dialogues
diametrically: diametrically
dictate: dictate,dictated,dictates
dictator: dictator,dictators
die: die,died,dies,dying
diet: diet
difference: difference,differences
difficult: difficult
difficulty: difficulties,difficulty
diffidence: diffidence
diffuse: diffuse,diffused
diffusely: diffusely
diffusive: diffusive
dig: digging,dug
digest: digest,digested
digger: diggers
dignified: dignified
dignify: dignify
dignity: dignities,dignity
digression: digression
dike: dike,dikes
dilatory: dilatory
diligence: diligence
diligent: diligent
diligently: diligently
dim: dim
dimension: dimensions
diminish: diminish,diminished,diminishing
diminution: diminution
diminutive: diminutive
dinner: dinner
diocese: diocese,dioceses
dioceses: dioceses
diocletian: diocletian
diogenes: diogenes
dion: dion
dip: dipped,dipping
diphthong: diphthong
diplomatique: diplomatique
dire: dire
direct: direct,directed,directing,directs
direction: direction,directions
director: director
dirty: dirty
disable: disabled
disadvantage: disadvantage,disadvantages
disadvantageous: disadvantageous
disaffect: disaffected
disaffection: disaffection
disagreement: disagreement
disappear: disappear,disappeared
disappoint: disappoint,disappointed
disappointed: disappointed
disappointment: disappointment,disappointments
disapprobation: disapprobation
disapprove: disapprove,disapproved
disapproving: disapproving
disarm: disarm,disarmed
disavow: disavow
disband: disbanded
disbelief: disbelief
disbelieve: disbelieve,disbelieved
discern: discern,discerned,discerning
discerning: discerning
discernment: discernment
discharge: discharge,discharged,discharges,discharging
disciple: disciple,disciples
discipline: discipline,disciplined
disciplined: disciplined
disclaim: disclaim,disclaimed,disclaiming,disclaims
disclose: disclose,disclosed,disclosing
discolor: discolor
discomfit: discomfit
disconcert: disconcerted
disconsolate: disconsolate
discontent: discontent
discontented: discontented
discord: discord,discords
discordant: discordant
discordia: discordia
discourage: discouraged,discouraging
discouraging: discouraging
discourse: discourse,discourses
discover: discover,discovered,discovering,discovers
discovery: discoveries,discovery
discreet: discreet
discreetly: discreetly
discretion: discretion
discretionary: discretionary
discriminate: discriminate,discriminated
discuss: discuss,discussed,discusses
discussion: discussion,discussions
disdain: disdain,disdained,disdaining,disdains
disdainful: disdainful
disdainfully: disdainfully
disease: disease,diseases
disembark: disembarked
disengage: disengage,disengaging
disfigured: disfigured
disgrace: disgrace,disgraced,disgracing
disgraced: disgraced
disgraceful: disgraceful
disguise: disguise,disguised,disguising
disgust: disgust,disgusted
disgustful: disgustful
disgusting: disgusting
dishonor: dishonor,dishonored
dishonorable: dishonorable
disingenuous: disingenuous
disinherit: disinherited
disinterested: disinterested
disjunctive: disjunctive
dislike: dislike,disliked
dislocate: dislocated
dismantle: dismantling
dismay: dismay,dismayed
dismayed: dismayed
dismember: dismember,dismembered
dismiss: dismiss,dismissed,dismisses,dismissing
dismount: dismount
disobedience: disobedience
disobedient: disobedient
disobey: disobey,disobeyed,disobeying
disorder: disorder,disorders
disorderly: disorderly
disown: disowned
dispassionate: dispassionate
dispel: dispel,dispelled
dispensation: dispensation
dispense: dispense
dispeople: dispeopled
disperse: dispersed
dispersed: dispersed
dispirited: dispirited
displace: displaced
display: display,displayed,displaying,displays
displease: displeased,displeasing
displeased: displeased
displeasure: displeasure
disposal: disposal
dispose: dispose,disposed
disposed: disposed
disposition: disposition,dispositions
disproportion: disproportion
disprove: disproved
disputant: disputant,disputants
dispute: dispute,disputed,disputes,disputing
disqualification: disqualifications
disquisition: disquisition
disregard: disregard,disregarded
disrespectful: disrespectful
diss: diss
dissatisfied: dissatisfied
dissemble: dissemble,dissembled,dissembling
dissembling: dissembling
dissension: dissension,dissensions
dissent: dissent,dissented,dissenting
dissert: dissert
dissertation: dissertation,dissertations
dissertations: dissertations
dissimulation: dissimulation
dissipation: dissipations
dissolute: dissolute
dissolution: dissolution
dissolve: dissolve,dissolved
dissuade: dissuaded
distaff: distaffs
distance: distance,distances
distant: distant
distemper: distemper
distended: distended
distinct: distinct
distinction: distinction,distinctions
distinctly: distinctly
distinguish: distinguish,distinguished,distinguishes,distinguishing
distinguished: distinguished
distort: distort
distract: distracted
distracted: distracted
distraction: distractions
distress: distress
distressed: distressed
distribute: distribute,distributed,distributing
distribution: distribution,distributions
district: district,districts
distrust: distrust,distrusted
disturb: disturb,disturbed,disturbing
disturbance: disturbance,disturbances
disunite: disunite
dit: dit
ditch: ditch
div: div
diva: diva
diversify: diversified,diversifying
diversion: diversion
divert: divert,diverted,diverting
divest: divested
divi: divi
divide: divide,divided,divides,dividing
divided: divided
divination: divination
divine: divine,divines
divinity: divinity
divisa: divisa
division: division,divisions
dixit: dixit
docility: docility
doctor: doctor,doctors
doctrine: doctrine,doctrines
document: document,documents
dog: dog,dogs
dogmata: dogmata
dogmatic: dogmatic
dom: dom
domain: domain
dome: dome
domestic: domestic,domestics
domini: domini
dominican: dominican
dominion: dominion,dominions
dominus: dominus
domitian: domitian
domus: domus
donat: donat
donation: donation,donations
donatist: donatist
donative: donative,donatives
doom: doomed
door: door,doors
doric: doric
dorsa: dorsa
dost: dost
dotage: dotage
double: double,doubled
doubly: doubly
doubt: doubt,doubted,doubting,doubts
doubtless: doubtless
doux: doux
downcast: downcast
downfall: downfall
downy: downy
doxology: doxology
dozen: dozens
drachm: drachms
drag: drag,dragged
dragon: dragons
drain: draining,drains
dramatic: dramatic
draught: draught,draughts
drave: drave
draw: draw,drawing,drawn,draws,drew
drawback: drawback
dread: dread,dreaded,dreading
dreaded: dreaded
dreadful: dreadful
dream: dream,dreaming,dreams,dreamt
dreary: dreary
dress: dress,dressed
drink: drank,drink
drive: drive,driven,drives
driver: driver
droit: droit
droop: drooping
drop: drop,dropped
dross: dross
drown: drowned
drum: drum
drunken: drunken
dry: dried,dry
du: du
dubio: dubio
duces: duces
duchy: duchy
duci: duci
ductor: ductor
duke: duke,dukes
dull: dull
dulness: dulness
dum: dum
dungeon: dungeon
duo: duo,duos
dura: dura
durable: durable
durance: durance
duration: duration
dust: dust
dutch: dutch
dutchman: dutchman
dutiful: dutiful
duty: duties,duty
duumvirs: duumvirs
dwell: dwells,dwelt
dyeing: dyeing
dynasty: dynasty
ea: ea
eager: eager
eagerly: eagerly
eagerness: eagerness
eagle: eagles
eam: eam
ear: ear,ears
earl: earl
earn: earned
earnest: earnest
earnestly: earnestly
earth: earth
earthly: earthly
earthquake: earthquake
ease: ease
easily: easily
east: east
easter: easter
eastern: eastern
eastward: eastward
easy: easier,easy
eat: eaten
eater: eaters
ebionite: ebionite
ecce: ecce
eccl: eccl
eccles: eccles
ecclesiast: ecclesiast
ecclesiastic: ecclesiastic,ecclesiastics
ecclesiastical: ecclesiastical
ecclesiasticus: ecclesiasticus
eclipse: eclipse
eclogue: eclogue
economy: economy
edge: edge
edict: edict,edicts
edification: edification
edifice: edifice,edifices
edify: edified,edify
edifying: edifying
edit: edit,edited
edition: edition,editions
editor: editor,editors
educate: educate,educated
education: education
edward: edward
efface: efface,effaced
effective: effective
effects: effects
effectual: effectual
effectually: effectually
effeminacy: effeminacy
effeminate: effeminate
efficacious: efficacious
efficaciously: efficaciously
efficacy: efficacy
effigy: effigies
effort: effort,efforts
effulgence: effulgence
effusion: effusion,effusions
egg: egg,eggs
ego: ego
egypt: egypt
egyptian: egyptian,egyptians
eighteen: eighteen
eighteenth: eighteenth
eighth: eighth
elaborate: elaborate
elapse: elapse,elapsed
elastic: elastic
elated: elated
elbow: elbow
eld: elder,eldest
elder: elder,elders
eleazar: eleazar
elect: elect,elected
election: election,elections
elector: electors
elegance: elegance
elegant: elegant
elegantly: elegantly
elem: elem
element: element,elements
elephant: elephants
eleusinian: eleusinian
elevate: elevated
elevated: elevated
elevation: elevation
eleventh: eleventh
elizabeth: elizabeth
elliptical: elliptical
elne: elne
elocution: elocution
elohim: elohim
eloquence: eloquence
eloquent: eloquent
eloquently: eloquently
elude: elude,eluded,eludes,eluding
elysian: elysian
emanation: emanation,emanations
embalm: embalmed
embalmed: embalmed
embark: embark,embarked
embarrass: embarrass,embarrassed
embarrassed: embarrassed
embarrassment: embarrassment
embassy: embassies,embassy
embellish: embellish,embellished,embellishes
embellishment: embellishment
embittered: embittered
emblazon: emblazoned
emblem: emblem,emblems
emboss: embossed
embrace: embrace,embraced,embraces,embracing
embroider: embroidered
emendation: emendation
emerge: emerge,emerged,emerging
emergency: emergencies,emergency
emesa: emesa
emigration: emigration,emigrations
eminence: eminence
eminent: eminent
emir: emir,emirs
emit: emit
emolument: emolument,emoluments
emotion: emotions
emp: emp
emperor: emperor,emperors
emperors: emperors
emphatical: emphatical
emphatically: emphatically
empire: empire,empires
empires: empires
employ: employ,employed,employing,employs
employment: employment,employments
empower: empowered
empress: empress,empresses
emptiness: emptiness
emulate: emulate,emulated,emulating
emulation: emulation
en: en
enable: enable,enabled
enact: enact,enacted
enactment: enactment
encase: encased
enchanting: enchanting
enchantment: enchantment
encircle: encircled
enclose: enclose,enclosed
enclosure: enclosure
encomium: encomium
encompass: encompassed
encounter: encounter,encountered,encounters
encourage: encourage,encouraged,encouraging
encouragement: encouragement,encouragements
encouraging: encouraging
encrust: encrusted
encumbrance: encumbrance
endanger: endanger,endangered,endangering
endear: endeared
endearing: endearing
endearment: endearments
endeavor: endeavor,endeavored,endeavors
endless: endless
endow: endowed
endowment: endowments
endure: endure,endured
eneas: eneas
enemy: enemies,enemy
energy: energy
enervate: enervated
enforce: enforce,enforced,enforcing
engage: engage,engaged,engages,engaging
engagement: engagement,engagements
engine: engine,engines
england: england
english: english
engrave: engraved
enhance: enhanced
enjoin: enjoined,enjoining
enjoy: enjoy,enjoyed,enjoying
enjoyment: enjoyment,enjoyments
enlarge: enlarge,enlarged
enlighten: enlighten,enlightened
enlightened: enlightened
enlist: enlisted,enlisting
enliven: enlivened
enmity: enmity
ennoble: ennobled
enormity: enormity
enormous: enormous
enrage: enraged
enraged: enraged
enrich: enriched
enrol: enrolled
ens: ens
ensign: ensign,ensigns
ensue: ensuing
enter: enter,entered,enters
enterprise: enterprise,enterprises
enterprising: enterprising
entertain: entertain,entertained,entertaining
entertained: entertained
entertaining: entertaining
entertainment: entertainment,entertainments
enthusiasm: enthusiasm
enthusiast: enthusiasts
enthusiastic: enthusiastic
entire: entire
entitle: entitle,entitled
entrails: entrails
entrance: entrance,entrances
entreat: entreat,entreats
entreaty: entreaties
entry: entry
enumerate: enumerate,enumerated,enumerates
enumeration: enumeration
envious: envious
envy: envied,envy
eo: eo,eos
eos: eos
ep: ep
epicureans: epicureans
epigram: epigram
epiphany: epiphany
episcopal: episcopal
episode: episode
epist: epist
epistle: epistle,epistles
epistles: epistles
epitaph: epitaph
epithet: epithet,epithets
epitome: epitome
epoch: epoch,epochs
epulis: epulis
equal: equal,equalled,equals
equality: equality
equally: equally
equator: equator
equestrian: equestrian
equip: equip
equipage: equipage
equitable: equitable
equity: equity
equivalent: equivalent,equivalents
equivocal: equivocal
eradicate: eradicate
erase: erase,erased,erasing
erasmus: erasmus
erat: erat
erect: erect,erected,erecting
ergo: ergo
erin: erin
eris: eris
ernest: ernest
ernst: ernst
eros: eros
erroneous: erroneous
erroneously: erroneously
error: error,errors
erse: erse
erudition: erudition
eruption: eruption,eruptions
esau: esau
escape: escape,escaped,escaping
escort: escort
espouse: espouse,espoused
esprit: esprit
esquiline: esquiline
essay: essays
essays: essays
esse: esse
essence: essence
essential: essential
essentially: essentially
est: est
establish: establish,established,establishing
establishment: establishment,establishments
estate: estate,estates
esteem: esteem,esteemed
esteemed: esteemed
estimate: estimate,estimated
eternal: eternal
eternally: eternally
eternity: eternity
ethic: ethics
ethiopia: ethiopia
ethiopian: ethiopians
etiam: etiam
etymologicon: etymologicon
etymology: etymologies,etymology
euboic: euboic
eucharist: eucharist
eulogy: eulogy
eunomian: eunomian
eunuch: eunuch,eunuchs
euphrates: euphrates
euripides: euripides
europa: europa
europe: europe
european: european
eusebian: eusebian
euxine: euxine
evacuate: evacuate
evacuation: evacuation
evangel: evangel
evangelic: evangelic
evangelical: evangelical
evangelist: evangelist,evangelists
evangelists: evangelists
evaporate: evaporate,evaporated
evasion: evasion
evasive: evasive
eve: eve
evening: evening,evenings
event: event,events
eventually: eventually
everlasting: everlasting
everyday: everyday
evidence: evidence,evidences
evident: evident
evidently: evidently
evil: evil,evils
evoke: evoked
evolution: evolution,evolutions
exact: exact,exacted,exacting
exaction: exaction,exactions
exactness: exactness
exaggerate: exaggerate,exaggerated,exaggerates,exaggerating
exaggerated: exaggerated
exaggeration: exaggeration,exaggerations
exalt: exalt,exalted,exalting,exalts
examination: examination
examine: examine,examined,examines,examining
exasperate: exasperate,exasperated,exasperating
exasperated: exasperated
excavate: excavate
excavation: excavations
exceed: exceed,exceeded
excel: excel,excelled
excellency: excellency
excellent: excellent
exception: exception,exceptions
exceptionable: exceptionable
excerpt: excerpt
excerpta: excerpta
excess: excess
excessive: excessive
exchange: exchange,exchanged,exchanging
excite: excite,excited,excites
excited: excited
exciting: exciting
exclaim: exclaim,exclaimed,exclaims
exclamation: exclamations
exclude: exclude,excluded,excludes,excluding
exclusion: exclusion
exclusive: exclusive
exclusively: exclusively
excommunicate: excommunicated
excommunication: excommunication,excommunications
excruciating: excruciating
exculpate: exculpated
excur: excur
excursus: excursus
excuse: excuse,excused,excuses
execrable: execrable
execrate: execrated,execrates
execute: execute,executed,executing
execution: execution,executions
executioner: executioner,executioners
exemplary: exemplary
exemplify: exemplifies
exempt: exempt,exempted,exempts
exemption: exemption,exemptions
exercise: exercise,exercised,exercises,exercising
exert: exert,exerted,exerting
exertion: exertion,exertions
exhaust: exhaust,exhausted
exhausted: exhausted
exhibit: exhibit,exhibited,exhibiting,exhibits
exhibition: exhibition
exhort: exhorted,exhorting,exhorts
exhortation: exhortation,exhortations
exigency: exigencies
exile: exile,exiled,exiles
exist: exist,existed,existing,exists
existence: existence
existent: existent
exorbitant: exorbitant
exorcist: exorcists
expatiate: expatiate,expatiated,expatiates,expatiating
expect: expect,expected,expecting
expectation: expectation,expectations
expected: expected
expedient: expedient,expedients
expedition: expedition,expeditions
expeditious: expeditious
expel: expelled
expend: expend,expended
expense: expense,expenses
expensive: expensive
experience: experience,experienced
experienced: experienced
experiment: experiment
experimental: experimental
experimentally: experimentally
expiate: expiate,expiated,expiates
expiation: expiation
expiration: expiration
expire: expire,expired,expires,expiring
explain: explain,explained,explaining,explains
explanation: explanation,explanations
explicit: explicit
explicitly: explicitly
explode: exploded
exploit: exploit,exploits
explore: explore,explored
explosion: explosion,explosions
export: exporting
exportation: exportation
expose: expose,exposed,exposes,exposing
exposition: exposition
expound: expounding
express: express,expressed,expresses,expressing
expression: expression,expressions
expressive: expressive
expressly: expressly
expulsion: expulsion
exquisite: exquisite
extant: extant
extend: extend,extended,extending,extends
extended: extended
extension: extension
extensive: extensive
extent: extent
extenuate: extenuate,extenuating
extenuation: extenuation
exterior: exterior
exterminate: exterminate,exterminated
externa: externa
external: external
extinct: extinct
extinction: extinction
extinguish: extinguish,extinguished
extirpate: extirpate,extirpated,extirpating
extirpation: extirpation
extort: extort,extorted,extorts
extortion: extortion
extra: extra
extract: extract,extracted,extracting,extracts
extraction: extraction
extraordinary: extraordinary
extravagance: extravagance
extravagancy: extravagancies
extravagant: extravagant
extreme: extreme,extremes
extremely: extremely
extremity: extremities,extremity
extricate: extricate,extricated,extricating
exult: exult,exulting
exultation: exultation
eye: eye,eyes
ezekiel: ezekiel
fab: fab
fable: fable,fables
fabric: fabric
fabricate: fabricating
fabulous: fabulous
facetious: facetious
facilitate: facilitate,facilitated
facility: facility
faction: faction,factions
factious: factious
factum: factum
faculty: faculties,faculty
fail: fail,failed,fails
failing: failings
failure: failure
faint: faint,fainted,fainter,faintest,fainting
faintly: faintly
fair: fair,fairest
fairness: fairness
faith: faith
faithful: faithful
faithfully: faithfully
faithless: faithless
fall: fall,fallen,falling,falls,fell
fallacious: fallacious
fallen: fallen
false: false
falsehood: falsehood
falsely: falsely
fam: fam
fama: fama
fame: fame,fames
familiar: familiar
familiarity: familiarity
familiarize: familiarized
familiarly: familiarly
family: families,family
famine: famine
famished: famished
famous: famous
fanatic: fanatic,fanatics
fanatical: fanatical
fanaticism: fanaticism
fancied: fancied
fanciful: fanciful
fancy: fancy
fantastic: fantastic
fare: fare
farm: farm,farmed,farms
farth: farthest
fascine: fascines
fashion: fashion
fashionable: fashionable
fast: fasted,fasts
fasti: fasti
fastidious: fastidious
fasting: fasting
fat: fat
fatal: fatal
fatality: fatality
fatally: fatally
fate: fate
father: father,fathers
fatigue: fatigue,fatigues
fault: fault,faults
favor: favor,favored,favors
favorable: favorable
favorably: favorably
favored: favored
favorite: favorite,favorites
fear: fear,feared,fears
fearless: fearless
fearlessly: fearlessly
feast: feast,feasts
feat: feat
feather: feathers
feature: features
february: february
fecit: fecit
fecundity: fecundity
federal: federal
fee: fees
feeble: feeble
feebly: feebly
feed: fed,feed
feel: feel,feels
feeling: feelings
feign: feigned
felicity: felicity
felix: felix
fell: fell,felled
fellow: fellow
female: female,females
femme: femme
fere: fere
fergus: fergus
ferocious: ferocious
ferox: ferox
fertile: fertile
fertility: fertility
fervent: fervent
fervor: fervor
festival: festival,festivals
festivity: festivity
fetter: fetters
feud: feud,feuds
feudal: feudal
fever: fever
fiance: fiance
fiction: fiction,fictions
fictitious: fictitious
fid: fid
fide: fide,fides
fidelity: fidelity
fiducia: fiducia
field: field,fields
fields: fields
fiend: fiend
fierce: fierce,fiercer,fiercest
fiercely: fiercely
fierceness: fierceness
fieri: fieri
fiery: fiery
fifteenth: fifteenth
fig: fig
fight: fight,fighting,fought
figurative: figurative
figuratively: figuratively
figure: figure,figures
file: file
filial: filial
fille: fille
filth: filth
fin: fin
final: final
finally: finally
finances: finances
fine: fine,fines,finest
finely: finely
fingal: fingal
finger: fingers
finish: finished
finished: finished
fireman: firemen
firm: firm,firmest
firmly: firmly
firmness: firmness
fiscal: fiscal
fish: fish,fishing
fisherman: fisherman,fishermen
fishery: fishery
fit: fit,fitter
fixing: fixing
fl: fl
flake: flakes
flame: flame,flames,flaming
flaminian: flaminian
flank: flank,flanked,flanks
flat: flat,flatter
flatter: flattered,flatters
flatterer: flatterer,flatterers
flattering: flattering
flattery: flattery
flavian: flavian
flavius: flavius
flaw: flaw
flaxen: flaxen
flay: flayed
flee: fled
