abandon: abandon,abandoned,abandoning
lo: lo
load: load,loaded,loading
loading: loading
locate: located
lodgment: lodgment
log: log,logs
logan: logan
logic: logic
logical: logical
lookout: lookouts
loren: loren
lose: lose,losing,lost
loss: loss
lot: lot
loud: loud
loudly: loudly
louisiana: louisiana
love: loved
lovely: lovely
lowell: lowell
loyal: loyal
luckily: luckily
lull: lull
lumber: lumber
lunt: lunt
luscious: luscious
luxurious: luxurious
lying: lying
lyon: lyon
mace: mace
machinery: machinery
macon: macon
maddened: maddened
madman: madman
madness: madness
magazine: magazine,magazines
magnificent: magnificent
magnify: magnifying
mahone: mahone
mail: mail
main: main
maine: maine
maintain: maintain,maintained
majesty: majesty
major: major
male: male
maledictory: maledictory
malignant: malignant
manchester: manchester
maneuver: maneuvering
manfully: manfully
manifest: manifest
manly: manly
manned: manned
manner: manner
manoeuvre: manoeuvre
mar: mar
marble: marble
march: march,marched,marches,marching
marching: marching
marianna: marianna
marine: marines
mariner: mariner
marked: marked
market: market
marshal: marshal
marshy: marshy
martial: martial
martin: martin
maryland: maryland
mask: mask
mass: mass,massed,masses
massachusetts: massachusetts
mast: masts
master: masters
mastiff: mastiff
match: matches
mate: mate
material: material
mathematical: mathematical
matted: matted
matter: matter
mcdonald: mcdonald
meal: meal
measure: measure
measurement: measurement
medical: medical
medicine: medicine
medium: medium
medley: medley
meet: meet,met
meeting: meeting
mell: mell
melt: melted
memorable: memorable
mend: mending
mendacious: mendacious
mere: mere
meridian: meridian
meritorious: meritorious
merry: merry
mess: mess
message: messages
messenger: messenger,messengers
messer: messer
meteor: meteors
method: method
mexican: mexican
mexico: mexico
michael: michael
middle: middle
midnight: midnight
midst: midst
mighty: mighty
mile: mile,miles
miles: miles
militarily: militarily
military: military
milk: milk
mills: mills
mind: mind
minie: minie
minneapolis: minneapolis
minor: minor
minute: minute,minutes
misadventure: misadventure
miscarry: miscarried
misconception: misconception
miserable: miserable
misleading: misleading
missent: missent
missing: missing
mission: mission
mississippi: mississippi
mississippian: mississippian
mississippians: mississippians
mistake: mistaken
mob: mob,mobs
modest: modest
modestly: modestly
modification: modification
moment: moment
momentarily: momentarily
momentary: momentary
momentum: momentum
money: money
monition: monitions
monitor: monitor
monotonous: monotonous
monotony: monotony
monroe: monroe
montague: montague
month: month,months
monument: monument
moonless: moonless
moonlight: moonlight
morale: morale
morning: morning
moro: moro
morris: morris
mortal: mortal
mortally: mortally
mortar: mortar,mortars
morton: morton
moses: moses
mosquito: mosquito,mosquitoes
mott: mott
mount: mount,mounted
mounting: mountings
mournfully: mournfully
mourning: mourning
mouth: mouth,mouths
mouthed: mouthed
movement: movement,movements
mow: mowing
mud: mud
muffle: muffled
mule: mules
mullen: mullen
murderous: murderous
murmur: murmured
mush: mush
music: music
musician: musician
musket: musket
musketry: musketry
mustache: mustache
muster: muster,mustered,mustering
mustered: mustered
mutilate: mutilated
mutiny: mutiny
muzzle: muzzle,muzzles
mystery: mysteries,mystery
mystic: mystic
nap: napping
naples: naples
napoleon: napoleon
narrow: narrow,narrowing
nasty: nasty
nathan: nathan
national: national
naturally: naturally
nature: nature
natured: natured
nautical: nautical
naval: naval
navy: navy
nearest: nearest
necessity: necessity
neck: neck,necks
neglect: neglected
negotiation: negotiations
negro: negro,negroes
neighborhood: neighborhood
nelson: nelson
nerve: nerves
nest: nest
neutrality: neutrality
newly: newly
newport: newport
news: news
nick: nick
nickels: nickels
night: night,nights
nineteen: nineteen
nineteenth: nineteenth
ninth: ninth
noise: noise
noisily: noisily
nonplussed: nonplussed
noon: noon
noontime: noontime
norfolk: norfolk
north: north
northeast: northeast
northeastern: northeastern
northern: northern
northward: northward
northwest: northwest
nose: nose,noses
notable: notable
notch: notch,notched,notches
note: note,notes
notify: notified
nov: nov
november: november
numbering: numbering
numerical: numerical
numerically: numerically
numerous: numerous
oak: oak
oakland: oakland
oaks: oaks
obedience: obedience
obey: obey,obeyed
object: object,objects
objective: objective
oblige: obliged
oblique: obliquing
observation: observation,observations
observe: observe,observed,observing
occasion: occasion,occasioned
occasionally: occasionally
occupant: occupant,occupants
occupation: occupation
occupy: occupied,occupy,occupying
occur: occurred
occurrence: occurrence
ocean: ocean
oct: oct
october: october
offence: offences
offense: offense
offensive: offensive
offer: offering,offers
office: office
officer: officer,officered,officers
official: official
officially: officially
ohio: ohio
ominous: ominous
oncoming: oncoming
onset: onset
onslaught: onslaught
ooze: oozing
operate: operate,operated,operating
operation: operation,operations
opinion: opinion
opponent: opponent
opportunity: opportunity
oppose: oppose,opposing
opposition: opposition
orderly: orderlies,orderly
ordinary: ordinary
ordnance: ordnance
organization: organization
organize: organized
original: original
orthodox: orthodox
oscar: oscar
otis: otis
outer: outer
outlook: outlooks
outlying: outlying
outnumber: outnumbered
outpost: outposts
outraged: outraged
outwork: outwork,outworks
oven: ovens
overcome: overcome
overdue: overdue
overlook: overlooking
overmuch: overmuch
overrun: overrun
overtake: overtake,overtook
overthrow: overthrow
overwhelmed: overwhelmed
overwhelming: overwhelming
owe: owed
owner: owner
oyster: oyster
pace: pace
pack: pack,packed
packed: packed
paddy: paddy
pain: pains
palmetto: palmetto
pan: pans
pandemonium: pandemonium
panic: panic
panting: panting
paper: paper,papers
parade: parade,parades
paragraph: paragraph
parallel: parallel
parapet: parapet,parapets
parish: parish
park: park
parole: paroled
parrot: parrot
parsons: parsons
partial: partial
participant: participant,participants
participate: participate
partly: partly
partook: partook
party: parties,party
pass: pass,passed,passing
passage: passage
passion: passion
patch: patch
patent: patent
path: path
patrick: patrick
patriot: patriots
patriotically: patriotically
pay: paid,pay
paymaster: paymaster
peace: peace
peaceful: peaceful
pearl: pearls
peck: peck
peculiar: peculiar
peep: peeping
peer: peer,peering
pell: pell
pelt: pelt
penalty: penalty
pend: pending
penetrate: penetrating
peninsula: peninsula
pennsylvania: pennsylvania
penobscot: penobscot
perceive: perceiving
perfect: perfect,perfecting
perfectly: perfectly
perform: performed
perilous: perilous
period: period
permission: permission
permit: permit
perry: perry
persist: persist,persisted
person: people,person
personal: personal
personally: personally
personnel: personnel
pete: pete
peter: peter
petersburg: petersburg
philadelphia: philadelphia
philosophy: philosophy
phineas: phineas
phrase: phrase,phrases
pick: pick,picked
picket: picket,pickets
pickle: pickled
picture: picture
piece: piece,pieces
pier: pier
pierce: pierce,pierced
pig: pig
pike: pike
pile: piled
pillow: pillows
pilot: piloting
pilotage: pilotage
pine: pine,pines
pit: pit,pits
pitch: pitched,pitching
pivot: pivot
placid: placid
plague: plague
plain: plain,plains
plainly: plainly
plains: plains
plan: plan,planned,plans
plank: plank
plant: planted,planting,plants
plantation: plantation,plantations
planting: planting
plate: plate,plates
play: play,playing
pleasant: pleasant
pleased: pleased
pleasure: pleasure
plentiful: plentiful
plentifully: plentifully
plod: plodded,plodding
plunge: plunge,plunged,plunging
ply: plied
pocket: pocket
pointer: pointer
pompous: pompous
ponton: ponton
poor: poor
pope: pope
porcine: porcine
pork: pork
port: port
porter: porter
portion: portion,portions
portland: portland
position: position,positions
possession: possession
post: post,posts
pot: pot
potomac: potomac
pound: pound
pour: pour,poured,pouring
powder: powder
power: power
powerful: powerful
practicable: practicable
practical: practical
practically: practically
practice: practice,practiced
practise: practised
praise: praises
precarious: precarious
precede: preceding
precedence: precedence
precious: precious
predecessor: predecessors
prefer: preferred,preferring
preferred: preferred
preliminary: preliminary
prematurely: prematurely
preparation: preparation,preparations
prepare: prepare,prepared,preparing
prepared: prepared
presence: presence
president: president
presidential: presidential
press: press,pressed,pressing
pressed: pressed
pressure: pressure
prestige: prestige
pretty: pretty
prevail: prevailed
prevent: prevent,prevented
previous: previous
pride: pride
prince: prince
print: printed,printing
prison: prison
prisoner: prisoner,prisoners
private: private,privates
privates: privates
privation: privations
privilege: privilege
prize: prize
pro: pro
probable: probable
proceed: proceed,proceeded,proceeding
process: process
proctor: proctor
produce: produced
proficiency: proficiency
programme: programme
progress: progress,progressing
prohibitionist: prohibitionist
project: project
projectile: projectile
projection: projection
prom: prom
prominent: prominent
promise: promise
promising: promising
promote: promoted
promoted: promoted
promotion: promotion
prompt: prompt
promptness: promptness
promulgate: promulgated
proof: proof,proofs
proper: proper
prophesy: prophesying
propose: proposed
prospect: prospect
prostrate: prostrated
protect: protect,protected,protecting
protection: protection
protract: protracted
protrude: protruding
prouder: prouder
proudly: proudly
prove: proved,proving
provender: provender
provide: providing
providence: providence
provision: provisions
provisional: provisional
provost: provost
puff: puff,puffs
punch: punched
punishment: punishment
pupil: pupils
purpose: purpose,purposes
pursue: pursue,pursued,pursuing
pursuit: pursuit
push: push,pushed,pushing
pusillanimous: pusillanimous
pyrotechnics: pyrotechnics
quantity: quantities
quarrel: quarrel
quarter: quarter,quarters
quartermaster: quartermaster
queen: queen
question: question
questioner: questioners
quick: quick,quicked
quiet: quiet,quieting
quietly: quietly
quietude: quietude
quilt: quilts
quit: quit
quiver: quiver
race: race
rage: rage,raging
ragged: ragged
raid: raid
rail: rails
railroad: railroad,railroads
rain: rain
rainbow: rainbow
rainy: rainy
raise: raise,raised,raising
rally: rallied,rally
range: range
rank: rank,ranking,ranks
ranking: ranking
ransom: ransom
rapid: rapid
rapidity: rapidity
rapidly: rapidly
rapids: rapids
rarely: rarely
rate: rate
ration: ration,rations
rattle: rattle,rattling
rattling: rattling
ravine: ravine
raw: raw
ray: ray
reach: reach,reached,reaching
read: read,reading,reads
readiness: readiness
ready: ready
real: real
realize: realize,realizing
rear: rear
rearrange: rearranged,rearranging
rearrangement: rearrangement
reason: reason,reasons
rebel: rebel,rebels
rebellion: rebellion
rebuild: rebuilt
recall: recall,recalled
recapture: recapture,recaptured
receive: receive,received,receiving
receptacle: receptacles
recklessly: recklessly
recognition: recognition
recognize: recognized,recognizing
recollection: recollection
reconnoissance: reconnoissance
reconnoitering: reconnoitering
reconnoitre: reconnoitre
record: record,records
recover: recovered
recruit: recruiting,recruits
recruiting: recruiting
recuperation: recuperation
red: red
redan: redans
redouble: redoubling
redoubt: redoubt
reduce: reduce,reduced
reduction: reduction
reembark: reembarked
reenforce: reenforced,reenforcing
reenforcement: reenforcement
reenlist: reenlisted
reenlisted: reenlisted
reenlistment: reenlistment,reenlistments
reenter: reenter
reestablish: reestablished
refer: refers
refrain: refrain
refresh: refreshing
refuse: refused,refusing
regain: regain,regained
regale: regaled
regard: regard
regiment: regiment,regiments
regimental: regimental
regiments: regiments
regret: regret
regular: regular
regularly: regularly
regulations: regulations
rein: rein
reinforce: reinforce,reinforced,reinforcing
reinforcement: reinforcements
rejoin: rejoin,rejoined,rejoining
relay: relays
release: released
relief: relief
relieve: relieve,relieved,relieving
relieved: relieved
relinquish: relinquished,relinquishing
reload: reload,reloading
reluctantly: reluctantly
remain: remain,remained,remaining
remainder: remainder
remains: remains
remark: remarks
remarkable: remarkable
remember: remember,remembered
remembrance: remembrance
remonstrate: remonstrate
remove: remove,removed
render: rendered
rendering: rendering
rendezvous: rendezvoused
renew: renewing
repeat: repeat
repel: repel,repelled,repelling
replenish: replenish
reply: reply,replying
report: report,reported,reporting
represent: representing
representation: representation
repress: repressed
repulse: repulsed,repulsing
reputation: reputations
request: requested
require: required,requiring
rescue: rescue
resemble: resembling
reserve: reserve
residence: residence
resign: resigned
resignation: resignation
resist: resist
resistance: resistance
resolve: resolved
respected: respected
respectful: respectful
response: response
responsibility: responsibility
rest: rest,resting
restlessness: restlessness
restore: restored
restrain: restrain
result: result
resume: resumed
retain: retained,retaining
retake: retake
retire: retire,retired,retiring
retirement: retirement
retransfer: retransferred
retreat: retreat,retreated,retreating
retrograde: retrograde
return: return,returned,returning
returned: returned
reveille: reveille
revel: revelling
reverse: reverse
review: review,reviewed,reviewing,reviews
revolution: revolution
revolver: revolver
reward: rewarded
rice: rice
richard: richard
richardson: richardson
richly: richly
richmond: richmond
ride: ride,riding,rode
rider: rider
ridge: ridge
ridiculously: ridiculously
rifle: rifle,rifles
rightly: rightly
rioting: rioting
ripe: ripe
rise: rise,rises,rising,rose
risk: risk
river: river,rivers
road: road,roads
roadside: roadside
roadstead: roadstead
roar: roar,roared,roaring
roaring: roaring
rob: robbed
robert: robert
robinson: robinson
rocks: rocks
rod: rod,rods
rogers: rogers
rolfe: rolfe
roll: roll,rolled,rolling,rolls
rolling: rolling
ross: ross
roster: roster
rouge: rouge
rough: rough
route: route,routed,routes,routing
routine: routine
royal: royal
rude: rude
ruefully: ruefully
rufus: rufus
rugged: rugged
ruin: ruin,ruined,ruins
rule: rule
rumble: rumble
rummage: rummaged
rumor: rumors
runaway: runaways
runner: runner,runners
ruse: ruse
rush: rush,rushed,rushes,rushing
saber: saber
saco: saco
sacred: sacred
sacrifice: sacrifices
sacrilegiously: sacrilegiously
saddle: saddle
sadly: sadly
sadness: sadness
safe: safe
safely: safely
safety: safety
sail: sail,sailed,sailing
sailor: sailor,sailors
sake: sake
salient: salient
sally: sallies,sally
sallyport: sallyport
salt: salt
salute: salute
samuel: samuel
san: san
sand: sand
sands: sands
sanford: sanford
sanguinary: sanguinary
sanguine: sanguine
satisfaction: satisfaction
satisfied: satisfied
satisfy: satisfied,satisfying
savage: savage
savannah: savannah
save: save,saved,saving
scabbard: scabbards
scale: scales
scanty: scanty
scarce: scarce
scarcely: scarcely
scared: scared
scatter: scatter,scattered,scattering
scene: scene
school: school
scoop: scooped
scoundrelly: scoundrelly
scout: scout,scouting,scouts
scratch: scratch
screech: screech,screeching
scud: scudding
scuttle: scuttled
sea: sea,seas
seaboard: seaboard
seafaring: seafaring
sealing: sealing
seam: seamed
seaman: seamen
search: search
seasoned: seasoned
seat: seat,seated
secluded: secluded
secrecy: secrecy
secure: secured
security: security
seek: sought
seemingly: seemingly
seize: seize,seized
select: selected
semicircle: semicircle
seminole: seminole
send: send,sending
seniority: seniority
sense: sense
sentence: sentence,sentenced
sentiment: sentiment
sentimental: sentimental
sentry: sentry
separate: separated,separating
sept: sept
september: september
serenade: serenade
sergeant: sergeant,sergeants
sergeants: sergeants
sergt: sergt
series: series
serve: serve,served,serves,serving
service: service,services
services: services
session: sessions
set: set,setting
settle: settled
seventh: seventh
severe: severe,severest
severely: severely
shade: shaded
shake: shaking
shallow: shallow
shame: shame
shape: shaped,shapes
share: share,shares
sharp: sharp
sharply: sharply
sharpshooter: sharpshooters
shatter: shattered
shattered: shattered
shaw: shaw
sheep: sheep
sheer: sheer
sheet: sheet,sheets
shelter: shelter,sheltered,sheltering
sherman: sherman
shingle: shingle
ship: ship,ships
shirk: shirked
shirt: shirt
shiver: shivered,shivering
shock: shocked
shoot: shoot,shooting,shot
shooter: shooter,shooters
shooting: shooting
shore: shore
short: short,shorter,shortest
shortly: shortly
shot: shot,shots
shoulder: shoulder,shoulders
shout: shout,shouted,shouting,shouts
shovel: shovel
shoveler: shovelers
shower: shower,showering
shrewdly: shrewdly
shriek: shrieked,shrieking
shrieking: shrieking
shrill: shrill
shrink: shrinking
shuttlecock: shuttlecock
sick: sick
sickness: sickness
sidewalk: sidewalks
sidney: sidney
siege: siege
sift: sifted
sight: sight,sights
sign: signing,signs
signal: signal
silas: silas
silence: silence,silenced,silencing
silent: silent
simeon: simeon
simmer: simmering
simon: simon
sing: singing
singing: singing
single: single
sink: sinking,sunk,sunken
sinking: sinking
sir: sir
sister: sisters
sit: sit,sitting
situate: situated
situation: situation
sixteen: sixteen
sixth: sixth
skeleton: skeleton
sketch: sketch,sketches
skill: skill
skim: skim
skin: skin
skirmish: skirmish
skirmisher: skirmishers
skirmishing: skirmishing
sky: sky
skylarking: skylarking
slabby: slabby
slacken: slackened
slackened: slackened
slash: slashing
slashing: slashings
sledge: sledge
sleep: sleep,sleeping,sleeps,slept
sleepless: sleepless
sleepy: sleepy
sleeve: sleeves
slice: slices
slight: slight
slip: slipped
slope: slope
slow: slow
slowly: slowly
slowness: slowness
slumber: slumbers
slumbering: slumbering
smack: smacking
smart: smart
smile: smiling
smith: smith
smithsonian: smithsonian
smoke: smoke
smoking: smoking
smooth: smooth
smoothness: smoothness
smother: smothered
smudge: smudge
snake: snake,snakes
snarl: snarling
snow: snow
snugly: snugly
soak: soaked
sober: sober
society: society
sodden: sodden
soft: soft
soil: soil
sojourn: sojourn
soldier: soldier,soldiers
soldierly: soldierly
solve: solve
son: son
soothing: soothing
sort: sort
sound: sound,sounded
soundness: soundness
south: south
southeastern: southeastern
southerly: southerly
southern: southern
southwest: southwest
sow: sow
space: space,spaces
spade: spade,spades
span: span,spans
spare: spare,spared
sparkle: sparkling
sparkling: sparkling
speak: spoke
speech: speeches
speechless: speechless
speed: sped,speed
speedily: speedily
speedy: speedy
spend: spend,spending,spent
spick: spick
spike: spiking
spill: spilled
spirit: spirit,spirited,spirits
spiritual: spiritual
spit: spat
spite: spite
splendid: splendid
splintered: splintered
split: split
sporting: sporting
spot: spot,spots
spray: spray
spread: spread
spring: sprang,spring,springing,sprung
springfield: springfield
springing: springing
spur: spurred
spy: spies
squad: squad
squadron: squadron,squadrons
square: square
squared: squared
squat: squatting
stack: stack,stacked
staff: staff,staffs
stage: stage
stagger: staggered
stake: stakes
stalwart: stalwart
stampede: stampeded
stand: stand,standing,stands,stood
standpoint: standpoint
stanley: stanley
staples: staples
stare: staring
start: start,started
startled: startled
startling: startling
statement: statement
station: station,stationed,stationing,stations
statistical: statistical
stay: stay
steadily: steadily
steady: steady
steal: stealing,stole,stolen
steam: steam,steamed,steaming
steamboat: steamboat
steamer: steamer,steamers
steel: steel
steep: steep
steeple: steeple
steer: steer
stentorian: stentorian
step: step,stepped,steps
stephen: stephen
sterling: sterling
stern: stern
sternly: sternly
stew: stew
steward: steward
stewart: stewart
stick: sticks
stiffen: stiffened
stock: stock
stone: stone
stonily: stonily
store: store,stored
storm: storm
stormy: stormy
story: stories,story
stout: stout
stove: stoves
straggling: straggling
straight: straight
strange: strange
stranger: stranger
strapped: strapped
straw: straw
strawberry: strawberry
street: street,streets
strength: strength
strengthen: strengthen,strengthened,strengthening
stretch: stretch,stretched
strew: strewed
stricken: stricken
strict: strict
stride: stride
strike: strike,striking,struck
string: string,strung
strip: strip
strive: strove
stroke: stroke
strong: strong,strongest
stronghold: stronghold
structure: structures
struggle: struggle,struggled
stuart: stuart
stubborn: stubborn
stubbornly: stubbornly
study: studied
stuff: stuff,stuffed
stupidity: stupidity
sturdily: sturdily
style: style
subject: subjected
subsistence: subsistence
succeed: succeed,succeeded,succeeding
success: success
successful: successful
succession: succession
sudden: sudden
suddenly: suddenly
suddenness: suddenness
suffer: suffered
suffering: suffering
sufficient: sufficient
sugar: sugar
suggestive: suggestive
suitable: suitable
sullenly: sullenly
summer: summer
sumner: sumner
sun: sun
sunday: sunday
sundown: sundown
sunlight: sunlight
sunrise: sunrise
sunset: sunset
superficially: superficially
superintendent: superintendent
superior: superior
supper: supper
supperless: supperless
supplement: supplemented
supply: supplies,supply
support: support,supported,supporting
suppose: suppose,supposed,supposing
surface: surface
surge: surging
surgeon: surgeons
surly: surly
surplus: surplus
surprise: surprise,surprising
surprised: surprised
surrender: surrender,surrendered,surrendering
surround: surrounded,surrounding
suspend: suspend
suspense: suspense
suspicion: suspicion,suspicions
sustain: sustain
sutler: sutler
swallow: swallow
swamp: swamp,swamps
swan: swan
swarm: swarming
swarthy: swarthy
sway: sway,swaying
swear: sworn
sweep: sweep,sweeping,swept
sweeping: sweeping
sweet: sweet
swell: swelling
swelter: sweltering
swift: swift,swiftest
swiftly: swiftly
swing: swing
swinging: swinging
sword: sword
symbol: symbol
symmetry: symmetry
sympathetic: sympathetic
sympathy: sympathy
table: table
tabulate: tabulated
tack: tack
tactic: tactics
tail: tails
tale: tale,tales
talk: talked,talking
tall: tall,tallest
tame: tamed
tangible: tangible
tangle: tangled
tangled: tangled
target: target
taste: taste
tattered: tattered
tavern: tavern
taylor: taylor
tea: tea
tear: tearing,tears,torn
technical: technical
telegram: telegrams
telegraph: telegraphed
teller: tellers
telling: telling
temper: temper
temple: temples
temporarily: temporarily
temptation: temptation
tenacious: tenacious
tendency: tendency
tenderhearted: tenderhearted
tent: tent,tents
tenth: tenth
term: term,terms
terra: terra
terrible: terrible
terribly: terribly
terrier: terrier
terror: terror
terry: terry
testify: testifies
testimony: testimony
thanksgiving: thanksgiving
theological: theological
theory: theory
therefor: therefor
thicken: thickening
thicket: thickets
thinker: thinker
thinly: thinly
thirsty: thirsty
thomas: thomas
thompson: thompson
thoughtlessly: thoughtlessly
threaten: threaten,threatened,threatening
threatening: threatening
thrice: thrice
thriving: thriving
throat: throat,throats
throng: thronging,throngs
throw: threw,throw,throwing,thrown
thunder: thunder
thunderbolt: thunderbolt
tick: tick
tideway: tideway
tie: tied
tighten: tighten
timber: timber
time: time,times
timely: timely
times: times
timothy: timothy
tin: tin
tinge: tinge
tired: tired
title: title
tobacco: tobacco
token: token
ton: tons
tongue: tongue
toot: tooted
toothed: toothed
torrent: torrents
tortuous: tortuous
totally: totally
touch: touch,touched,touching
tour: tour
tow: tow
town: town,towns
trace: tracing
track: track,tracks
trade: trades,trading
tragedy: tragedy
train: train,trained,trains
tramp: tramping
trample: trampling
trampled: trampled
trans: trans
transcriber: transcriber
transfer: transferred
transmit: transmitted
transport: transport,transports
transportation: transportation
travel: traveled
tread: tread,treading
treasurer: treasurer
treatment: treatment
tree: tree,trees
tremendous: tremendous
trench: trenches
trial: trial
tribulation: tribulations
tribune: tribune
tributary: tributary
tribute: tribute
trickle: trickling
triumphantly: triumphantly
trooper: trooper,troopers
troops: troops
trouble: troubled
truce: truce
true: true
trunk: trunk
trust: trusting
trustworthy: trustworthy
truth: truth
tub: tubs
tucker: tucker
tugboat: tugboat
tuition: tuition
tumble: tumbled,tumbling
turk: turk
turner: turner
turnpike: turnpike
typographical: typographical
unaccounted: unaccounted
unaccustomed: unaccustomed
unarmed: unarmed
unavoidable: unavoidable
unceasing: unceasing
unceremoniously: unceremoniously
uncertain: uncertain
uncharged: uncharged
unclerical: unclerical
uncomfortable: uncomfortable
uncommon: uncommon
unconnected: unconnected
uncooked: uncooked
undaunted: undaunted
underbrush: underbrush
undergo: undergone
understand: understand,understood
undisciplined: undisciplined
undisturbed: undisturbed
undoubtedly: undoubtedly
uneasy: uneasy
unequalled: unequalled
unexpected: unexpected
unexpectedly: unexpectedly
unfortunate: unfortunate
unguarded: unguarded
unheralded: unheralded
unhitch: unhitched
uninterrupted: uninterrupted
union: union
unite: unite
united: united
unity: unity
unknown: unknown
unlimbered: unlimbered
unload: unload
unmolested: unmolested
unoccupied: unoccupied
unpleasant: unpleasant
unrealized: unrealized
unroll: unrolled
unseen: unseen
unsuccessful: unsuccessful
unsuccessfully: unsuccessfully
unsupported: unsupported
unswerving: unswerving
untenable: untenable
untouched: untouched
unwilling: unwilling
upper: upper
upraise: upraised
upright: uprights
uproar: uproar
upward: upward
urge: urging
useless: useless
usual: usual
utmost: utmost
vacate: vacated
vain: vain
valley: valley
valor: valor
valuable: valuable,valuables
van: van
vary: varying
venture: venture
venturesome: venturesome
veritable: veritable
vermont: vermont
vessel: vessel
vet: vet
veteran: veteran,veterans
vicinity: vicinity
viciously: viciously
victim: victim
victor: victors
victorious: victorious
victory: victory
victuals: victuals
vie: vying
view: view,viewed
vigor: vigor
vigorous: vigorous
vigorously: vigorously
village: village
vincent: vincent
vine: vines
violence: violence
virginia: virginia
virginians: virginians
virtually: virtually
visible: visible
visibly: visibly
visit: visited,visiting
voice: voice,voicing
voiced: voiced
volition: volition
volley: volley,volleys
volume: volume
voluntarily: voluntarily
voluntary: voluntary
volunteer: volunteer,volunteered,volunteers
volunteering: volunteering
volunteers: volunteers
von: von
vote: vote
vow: vowing
wagner: wagner
wagon: wagon,wagons
wagoner: wagoner
wagoners: wagoners
wait: wait,waited,waiting
wake: waking
walk: walking
walker: walker
wall: walls
wander: wandered,wandering
war: war
wardrobe: wardrobes
warfare: warfare
warlike: warlike
warm: warm,warmed
warn: warned
warning: warning
warrant: warrant
warren: warren
warrior: warrior
warwick: warwick
wash: washing
washing: washing
washington: washington
watch: watch,watched,watching
water: water,watered
waterway: waterways
watson: watson
waver: wavered
waxen: waxen
wayne: wayne
wd: wd
weak: weak,weakest
weaken: weaken
weakness: weakness
wear: wearing,worn
wearily: wearily
weary: weary
weather: weather
wedge: wedged
week: week,weeks
weigh: weighed
weight: weight
welch: welch
weld: welded
wesley: wesley
west: west
western: western
wet: wet
weymouth: weymouth
wheat: wheat
wheel: wheel,wheels
whip: whip,whips
whirl: whirl,whirling
whiskey: whiskey
whisper: whispered
whistle: whistles,whistling
white: white
whiting: whiting
whitworth: whitworth
wholesome: wholesome
wicked: wicked
wide: wide
wild: wild
wildly: wildly
william: william
williams: williams
windmill: windmill
window: windows
wing: wing
wink: winked,winking
winter: winter
wipe: wiped
wisconsin: wisconsin
wise: wise
witham: witham
withdraw: withdraw,withdrawn,withdrew
withdrawal: withdrawal
wither: withering
withstand: withstand,withstood
witness: witness
woman: woman,women
wood: wood,woods
woodbury: woodbury
wooded: wooded
wooden: wooden
woodman: woodman
wooster: wooster
word: word
worth: worth
worthy: worthy
wound: wound,wounded,wounding,wounds
wounded: wounded
wounds: wounds
wrap: wrap
wrath: wrath
wrathfully: wrathfully
wreck: wreck,wrecked
wright: wright
write: written
writer: writer,writers
yankee: yankee
yankees: yankees
yard: yards
yawning: yawning
yell: yell,yelled,yelling,yells
yesterday: yesterday
yield: yield,yielded
yoke: yoke
york: york
youth: youth
zealously: zealously
zip: zip,zipping
zipped: zipped
