abandon: abandon,abandoned,abandoning
engroove: engroove
engulf: engulfed
enhance: enhance,enhanced,enhancing
enjoy: enjoy,enjoyed,enjoying,enjoys
enjoyment: enjoyment,enjoyments
enlarge: enlarge,enlarged
enlighten: enlighten,enlightened
enormous: enormous
enormously: enormously
enquiry: enquiries,enquiry
enrage: enraged
enrapture: enraptured,enrapturing
enraptured: enraptured
enrapturing: enrapturing
ensue: ensue,ensued
ensure: ensure
entangle: entangle
enter: enter,entered,entering
entering: entering
enterprising: enterprising
entertain: entertain,entertained
entice: enticing
enticing: enticing
enticingly: enticingly
entire: entire
entitle: entitled
entrail: entrails
entrails: entrails
entrance: entrance,entranced,entrances
entreat: entreated
entreaty: entreaties
entree: entree
entresol: entresol
entrust: entrusted
entry: entry
entwine: entwined
envelop: enveloped
envelope: envelope,envelopes
envied: envied
environs: environs
envy: envied,envies,envy
episode: episode,episodes
epithet: epithet
epoch: epoch
equal: equal,equalled
equality: equality
equally: equally
eradicate: eradicating
erect: erect,erected
erection: erection
erective: erective
eros: eros
erotic: erotic
erotically: erotically
errand: errand
erudition: erudition
escapade: escapades
escape: escape,escaped
escort: escort,escorted
especial: especial
essence: essence
establish: established
estate: estate
esteem: esteem
esteemed: esteemed
estimable: estimable
estimation: estimation
eternal: eternal
europe: europe
evacuate: evacuate
evade: evading
evasion: evasion,evasions
eve: eve
evelyn: evelyn
evening: evening
event: event,events
eventually: eventually
evergreen: evergreen
everyday: everyday
evidence: evidence,evidenced,evidences
evident: evident
evidently: evidently
evil: evil,evils
evince: evinced
exact: exact
exacter: exacter
exacting: exacting
exaction: exactions
exaggeration: exaggeration
examination: examination,examinations
examine: examine,examined,examining
exceed: exceed,exceeded,exceeding
exceedingly: exceedingly
excel: excelled
excellence: excellence,excellences
excellent: excellent
exceptional: exceptional
excess: excess,excesses
excessive: excessive
excessively: excessively
exchange: exchange,exchanged,exchanging
excitable: excitable
excite: excite,excited,excites
excited: excited
excitedly: excitedly
excitement: excitement,excitements
exciter: exciter
exciting: exciting
exclaim: exclaim,exclaimed,exclaiming
exclamation: exclamation,exclamations
exclude: excluding
exclusive: exclusive
exclusiveness: exclusiveness
excoriate: excoriated
excruciating: excruciating
excursion: excursion
excuse: excuse,excused,excusing
execrable: execrable
execute: executed
executor: executor
exercise: exercise,exercised,exercising
exert: exert,exerted,exerting
exertion: exertion,exertions
exhale: exhaled
exhaust: exhaust,exhausted,exhausting
exhausted: exhausted
exhausting: exhausting
exhaustion: exhaustion
exhibit: exhibit,exhibited,exhibiting
exhibition: exhibition
exigency: exigencies
exile: exile
exist: exist,existed,existing,exists
existence: existence
exit: exit
expand: expand,expanded,expanding
expanse: expanse
expansive: expansive
expect: expect,expected,expecting
expectant: expectant
expectation: expectation,expectations
expedition: expedition
expense: expenses
experience: experience,experienced,experiences,experiencing
experienced: experienced
experiment: experiment
expire: expire,expired
explain: explain,explained,explaining
explanation: explanation
explanatory: explanatory
explicit: explicit
exploit: exploit
exploration: explorations
explore: explored
expose: expose,exposed,exposing
expostulate: expostulated
exposure: exposure
express: express,expressed,expressing
expression: expression,expressions
expressly: expressly
exquisite: exquisite
exquisitely: exquisitely
extatic: extatic
extend: extend,extended,extends
extensive: extensive
extent: extent
exterior: exterior
externally: externally
extinguish: extinguished
extra: extra
extraordinarily: extraordinarily
extraordinary: extraordinary
extravagance: extravagance,extravagances
extravagancy: extravagancies
extravagant: extravagant
extreme: extreme
extremely: extremely
extremest: extremest
exuberance: exuberance
exude: exude,exuded
eye: eye,eyes
eyebrow: eyebrows
eyeglass: eyeglass
facile: facile
facilitate: facilitate,facilitated
facility: facilities,facility
fade: fading
fail: fail,failed,failing
fain: fain
faint: faint,fainted,faintest,fainting
fainting: fainting
fair: fair,fairer,fairest
fairness: fairness
fairy: fairy
fait: fait
faithful: faithful
faithfully: faithfully
fall: fall,fallen,falling,falls,fell
falling: fallings
fallow: fallow
false: false
falsehood: falsehood
falter: faltered,faltering
falteringly: falteringly
fame: fame
familiar: familiar
familiarity: familiarities,familiarity
familiarize: familiarized
familiarly: familiarly
family: families,family
famous: famous
fan: fanned
fancy: fancied,fancies,fancy,fancying
fanny: fanny
fantasy: fantasies
farewell: farewell
farmer: farmer
fart: fart,farts
fascinating: fascinating
fashion: fashion
fashioned: fashioned
fast: fast,faster,fastest
fasten: fasten,fastened
fastidious: fastidious
fat: fat,fatter
fatal: fatal
fate: fate
father: father,fathers
fathom: fathom
fatigue: fatigue,fatigues,fatiguing
fatigued: fatigued
fault: fault,faults
faute: faute
favour: favour,favoured,favouring,favours
favourable: favourable
favourably: favourably
favourer: favourer
favourite: favourite
fear: fear,feared,fearing,fears
fearful: fearful
feast: feast,feasted
feature: feature,features
febrile: febrile
feeble: feeble
feebly: feebly
feed: fed
feel: feel,feeling,feels
feeling: feeling,feelings
feign: feign,feigned
feigned: feigned
felicity: felicity
fellow: fellow,fellows
female: female,females
feminine: feminine
femme: femme
fender: fender
ferocious: ferocious
ferocity: ferocity
ferret: ferreted
fervently: fervently
fervour: fervour
fetch: fetch
fete: fetes
fever: fever
field: field,fields
fierce: fierce,fiercer,fiercest
fiercely: fiercely
fiery: fiery
fight: fight,fighting,fought
figure: figure
fillip: fillip
filmy: filmy
final: final
finale: finale
finally: finally
finding: finding
fine: fine,finer,finest
finely: finely
fineness: fineness
finger: finger,fingered,fingering,fingers
fingering: fingerings
finish: finish,finished,finishes,finishing
finished: finished
finishing: finishing
firm: firm,firmer
firmly: firmly
firmness: firmness
fish: fish
fishing: fishing
fist: fist
fit: fit,fitted
fitting: fitting
flabbergast: flabbergasted
flabbily: flabbily
flag: flag
flagellation: flagellation
flap: flap
flash: flash,flashed
flat: flat,flatter
flatter: flattered
flattered: flattered
flatterer: flatterer
flattering: flattering
flatteringly: flatteringly
flattery: flatteries,flattery
fledged: fledged
flee: fled
fleece: fleece
fleecy: fleecy
flesh: flesh,fleshed
fleshy: fleshiest,fleshy
flight: flight
flinch: flinch,flinched,flinching
flinching: flinching
fling: fling,flung
flirtation: flirtations
flit: flitting
float: float
flog: flog,flogged,flogging
flogger: flogger
flogging: floggings
flood: flood,floods
floor: floor
flop: flop
florence: florence
flow: flow,flowed,flowing,flows
flower: flower,flowers
fluently: fluently
fluid: fluid
flush: flush,flushed,flushing
fly: flew,flies,flown,fly,flying
foam: foam,foaming
foil: foil
fold: fold,folded,folding,folds
foliage: foliage
follow: follow
folly: folly
fond: fond,fonder
fondle: fondle,fondled,fondling
fondling: fondling
fondly: fondly
food: food
foolishly: foolishly
foot: feet,foot
football: football
footing: footing
footman: footman
footstep: footsteps
footstool: footstool
forage: foraging
forbid: forbade,forbid,forbidden
forbidden: forbidden
force: force,forced,forces,forcing
forcible: forcible
forcibly: forcibly
forefinger: forefinger,forefingers
forehead: forehead
foreign: foreign
foreland: foreland
forelock: forelock
forerunner: forerunner
foresee: foresaw
foresight: foresight
foreskin: foreskin
forest: forest
foretell: foretold
forethought: forethought
forget: forget,forgot,forgotten
forgetfulness: forgetfulness
forgive: forgive
form: form,formed,forms
formation: formation,formations
formidable: formidable
forsooth: forsooth
forthwith: forthwith
fortnight: fortnight
fortress: fortress
fortunate: fortunate
fortunately: fortunately
fortune: fortune
forwards: forwards
foster: foster
foundation: foundation
fountain: fountain
fourteen: fourteen
fourth: fourth
fragrant: fragrant
frame: frame,frames
frank: frank
frankfort: frankfort
frankly: frankly
frantic: frantic
frantically: frantically
fray: fray
fred: fred
freedom: freedom,freedoms
freely: freely
freight: freights
french: french
frenzy: frenzy
frequent: frequent,frequented
frequently: frequently
fresh: fresh
freshened: freshened
freshness: freshness
friction: friction
friend: friend,friends
friendly: friendly
friendship: friendship
frig: frig,frigged
frigging: frigging
fright: fright
frighten: frightened
frightened: frightened
frightfully: frightfully
frivolous: frivolous
fro: fro
frock: frock
frolic: frolic
froth: froth
fructification: fructification
fruit: fruit,fruits
fuck: fuck,fucked,fucking,fucks
fucker: fucker
fucking: fucking
fugitive: fugitive
fulcrum: fulcrum
fulfil: fulfilled
fullness: fullness
fun: fun
fund: fund,funds
fundament: fundament
funny: funny
furious: furious
furiously: furiously
furnace: furnace
furnish: furnish,furnished
furnished: furnished
furnishing: furnishing
furniture: furniture
furtively: furtively
fury: furies,fury
future: future
gaiety: gaiety
gain: gain,gained,gaining
gallant: gallant
gallantly: gallantly
gallantry: gallantry
gallop: gallop
game: game,games
gang: gang
ganymede: ganymedes
gap: gap
gape: gaping
garden: garden
gardener: gardeners
gardens: gardens
garland: garland
garter: garter,garters
gash: gash
gasp: gasped
gate: gate
gather: gather,gathered
gauche: gauche
gaunt: gaunt
gauze: gauze
gaze: gaze,gazed,gazing
gear: gear
generation: generation
generative: generative
generous: generous
genoa: genoa
genteel: genteel
gentil: gentil
gentle: gentle,gentlest
gentleman: gentleman,gentlemen
gentlemanly: gentlemanly
gentleness: gentleness
gently: gently
gentry: gentry
geographical: geographical
george: george
german: german
germany: germany
gesture: gesture
giant: giants
giddy: giddier,giddy
gift: gift,gifted,gifts
gifted: gifted
gig: gig
gimlet: gimlet
giovanni: giovanni
girdle: girdle
girl: girl,girls
girlish: girlish
glad: glad
glade: glade
gladly: gladly
glance: glance,glancing
gland: gland
glare: glared
glass: glass,glasses
glide: glide,glided
glimmer: glimmer
glimpse: glimpse,glimpses
glisten: glistened
gloat: gloated,gloating
globe: globes
gloom: gloom
glorious: glorious
gloriously: gloriously
glory: glories,glory
glossy: glossy
glove: glove,gloves
glow: glow,glowing
glowing: glowing
glue: glued,glueing
glutinous: glutinous
glutton: glutton
gluttonous: gluttonous
gluttonously: gluttonously
glycerine: glycerine
gobble: gobbled
god: god,gods
goddess: goddess
godfather: godfather,godfathers
godmother: godmother
godsend: godsend
gold: gold
goodly: goodly
goodness: goodness
gorge: gorged,gorging
gorged: gorged
gorgeous: gorgeous
governess: governess,governesses
gown: gown
grace: grace,graces
graceful: graceful
gracefully: gracefully
gracious: gracious
graciously: graciously
gradual: gradual
gradually: gradually
grain: grain
grammar: grammar
granary: granary
grand: grand,grander
granddaughter: granddaughter
grandeur: grandeur
grandly: grandly
grandparent: grandparents
grange: grange
grano: grano
grant: grant,granted,granting
grasp: grasp,grasped,grasping
grass: grass
grate: grating
grateful: grateful
gratification: gratification
gratified: gratified
gratify: gratified,gratify,gratifying
grave: grave,graves
gravel: gravel
gravely: gravely
grease: greased
greased: greased
greasy: greasy
greatly: greatly
greatness: greatness
greece: greece
greedily: greedily
greedy: greedy
greek: greek
greenhouse: greenhouse
grenadier: grenadier,grenadiers
grey: grey
grief: grief
grieve: grieve,grieved,grieves
grimace: grimace,grimaces
grimacing: grimacing
grin: grinning
grind: ground
grip: grip
groove: groove
grope: groping
gross: gross,grossest
grossly: grossly
grossness: grossness
grotto: grotto
ground: ground,grounded
grounds: grounds
groundwork: groundwork
grove: grove
grow: grew,grow,growing,grown,grows
grown: grown
growth: growth
grudge: grudged
grumblingly: grumblingly
guard: guard,guarded
guardian: guardian
guardianship: guardianship
guess: guess,guessed,guessing
guest: guest
guide: guide,guided,guiding
guile: guile
gulp: gulped
gush: gush
gusto: gusto
gyration: gyrations
habiliment: habiliments
habit: habit,habits
habitable: habitable
habituate: habituated
habituated: habituated
hair: hair,hairs
haired: haired
hairiness: hairiness
hairy: hairier,hairiest,hairy
halfway: halfway
hall: hall
hallo: hallo
halt: halt,halted,halting,halts
halting: halting
ham: hams
hammer: hammer
hand: hand,handed,hands
handful: handfuls
handkerchief: handkerchief,handkerchiefs
handle: handle,handled,handling
handling: handling,handlings
handsome: handsome,handsomest
hang: hang,hanging,hangs,hung
hankering: hankerings
happen: happen,happened,happening
happily: happily
happiness: happiness
happy: happier,happiest,happy
hard: hard,harder,hardest
harden: harden,hardened
hardness: hardness,hardnesses
harm: harm
harness: harnessed
harp: harp
harry: harry
harshly: harshly
hast: hast
haste: haste
hasten: hasten,hastened
hastily: hastily
hasty: hasty
hate: hate
haul: hauled
haunch: haunches
hazard: hazard
hazelwood: hazelwood
head: head,heads
headache: headache
headlong: headlong
headstrong: headstrong
health: health
healthy: healthy
heap: heap
hear: hear,heard,hearing
hearing: hearing
heart: heart,hearts
heartily: heartily
heat: heat,heated
heated: heated
heave: heave,heaved
heaven: heaven,heavens
heavenly: heavenly
heavily: heavily
heaving: heaving
heavy: heavier,heavy
hectic: hectic
hedge: hedge
heed: heeded
heel: heels
height: height
heighten: heightened
heir: heir
hen: hens
henceforth: henceforth
henceforward: henceforward
henry: henry
heretofore: heretofore
heroic: heroic
heroically: heroically
hesitate: hesitate
hesitatingly: hesitatingly
hesitation: hesitation
hidden: hidden
hide: hidden,hide,hides
hiding: hiding
hie: hied
highly: highly
hill: hill,hills
hillock: hillock,hillocks
hilt: hilt,hilted,hilting
hinder: hinder
hindrance: hindrance
hinge: hinges
hint: hint,hinted,hints
hip: hip,hips
hipped: hipped
historical: historical
history: history
hit: hit,hitting
hitherto: hitherto
hog: hog
hold: held,hold,holding,holds
holder: holder
holding: holding
hole: hole,holes
holiday: holiday,holidays
hollow: hollow
holy: holy
homage: homage
homburg: homburg
homeward: homeward
honeymoon: honeymoon
honour: honour,honours
hooding: hooding
hoodwink: hoodwink
hope: hope,hoped,hopes,hoping
hopeless: hopeless
hopelessly: hopelessly
horrible: horrible
horribly: horribly
horrid: horrid
horrified: horrified
horrify: horrifies
horror: horror,horrors
horse: horse,horsed
host: host
hot: hot,hotter,hottest
hotel: hotel,hotels
hotly: hotly
hour: hour,hours
house: house,housed,houses,housing
household: household
housing: housing
hue: hue
hug: hug,hugged,hugging
huge: huge
human: human
humanity: humanity
humid: humid
humour: humour,humoured,humours
hung: hung
hungry: hungry
hurried: hurried
hurry: hurried,hurry,hurrying
hurt: hurt,hurting,hurts
hurtful: hurtful
husband: husband,husbands
hush: hushed,hushing
hussy: hussies
hyde: hyde
hymen: hymen
hysteric: hysteric
hysterical: hysterical
hysterically: hysterically
ice: ice
idea: idea,ideas
idiosyncracy: idiosyncracy
idiot: idiot
idle: idle
idleness: idleness
idler: idler
idolize: idolized
ignoramus: ignoramus
ignorance: ignorance
ignorant: ignorant
ignore: ignore
iii: iii
illness: illness
illuminate: illuminate
illustrate: illustrated
illustration: illustrations
image: image
imaginable: imaginable
imaginary: imaginary
imagination: imagination,imaginations
imagine: imagine,imagined,imagining
imbed: imbedded
imitation: imitation
immense: immense
immensely: immensely
immensity: immensity
immunity: immunity
impale: impaled,impaling
impart: impart,imparted
impassioned: impassioned
impatience: impatience
impatient: impatient
impatiently: impatiently
impediment: impediment,impediments
imperative: imperative
imperceptibly: imperceptibly
imperfectly: imperfectly
impertinent: impertinent
impetuous: impetuous
implacable: implacable
implant: implanted
implement: implements
implicitly: implicitly
implore: implore,implored,implores
imploringly: imploringly
import: import
importune: importuned
impose: imposed
impossible: impossible
impress: impress,impressed,impressing
impressed: impressed
impression: impression
imprint: imprinted
imprison: imprison,imprisoned
imprisonment: imprisonment
improper: improper
improperly: improperly
improve: improve,improved,improves
improvement: improvement,improvements
imprudence: imprudence
imprudent: imprudent
imprudently: imprudently
impudence: impudence
impudent: impudent
impuissance: impuissance
impulse: impulse
impunity: impunity
inactive: inactive
inactivity: inactivity
inadvertently: inadvertently
inanimate: inanimate
inanimation: inanimation
inanition: inanition
inattention: inattention
inaugurate: inaugurated
incapable: incapable
incentive: incentive
incest: incest
incestuous: incestuous
incestuously: incestuously
inch: inch,inches
incident: incident,incidents
incidentally: incidentally
incite: inciting
inclination: inclination
incline: inclined
inclined: inclined
include: include,included,including
incoherent: incoherent
income: income
incommode: incommoded
incomparable: incomparable
inconsolable: inconsolable
incontinently: incontinently
inconvenience: inconvenience,inconveniences
increase: increase,increased,increases,increasing
increased: increased
increasingly: increasingly
incredulous: incredulous
inculcate: inculcate,inculcating
incur: incur
indebted: indebted
indecent: indecent
indefatigable: indefatigable
indefeasibly: indefeasibly
indefinable: indefinable
indemnify: indemnify
indentation: indentation
indented: indented
independence: independence
independent: independent
indescribable: indescribable
indescribably: indescribably
indicator: indicators
indifferent: indifferent
indifferently: indifferently
indiscretion: indiscretion
indiscriminately: indiscriminately
indistinct: indistinct
indoctrinate: indoctrinate
induce: induce,induced
inducement: inducement
indulge: indulge,indulged,indulging
indulgence: indulgence,indulgences
indulgency: indulgencies
indurate: indurated
ineffable: ineffable
inefficacious: inefficacious
inert: inert
inestimable: inestimable
inevitable: inevitable
inexorable: inexorable
inexperienced: inexperienced
inexpressible: inexpressible
inexpressibly: inexpressibly
infallible: infallible
infamous: infamous
infamy: infamy
infancy: infancy
infantile: infantile
infantine: infantine
infatuate: infatuated
infatuation: infatuation,infatuations
infer: infer,inferred
inference: inference,inferences
inferior: inferior
inferiority: inferiority
infidelity: infidelity
infinite: infinite
infinitely: infinitely
inflame: inflame,inflamed
inflamed: inflamed
inflict: inflict,inflicted,inflicting
infliction: infliction,inflictions
influence: influence,influences
inform: inform,informed,informing
infuse: infusing
ing: ing
ingenious: ingenious
ingenuity: ingenuity
ingenuous: ingenuous
inherit: inherit,inherited
initiate: initiate,initiated,initiating
initiation: initiation
initiative: initiative
initiator: initiator
initiatory: initiatory
injure: injure,injures,injuring
inkling: inkling
inmost: inmost
inn: inn
innermost: innermost
innkeeper: innkeepers
innocence: innocence
innocent: innocent
innocently: innocently
innumerable: innumerable
innyard: innyard
inordinate: inordinate
inquiry: inquiries,inquiry
insatiability: insatiability
insatiable: insatiable
insatiably: insatiably
insatiate: insatiate
inscribe: inscribed
insect: insect
insensate: insensate
insensibility: insensibility
insensible: insensible
insensibly: insensibly
insert: insert,inserted,inserting
insertion: insertion
insidious: insidious
insignificant: insignificant
insinuate: insinuated,insinuating
insist: insist,insisted
inspect: inspect,inspected
inspection: inspection
inspiration: inspirations
inspire: inspire,inspired,inspires
install: installed
instance: instance
instant: instant
instantaneous: instantaneous
instantly: instantly
instep: instep
instinct: instinct,instincts
instinctive: instinctive
instinctively: instinctively
instruct: instruct,instructed,instructing
instruction: instruction,instructions
instructive: instructive
instructor: instructor
instructress: instructress
instrument: instrument,instruments
insubordinate: insubordinate
insubordination: insubordination
insupportable: insupportable
insure: insure
intact: intact
intelligence: intelligence
intelligent: intelligent
intend: intend,intended,intending
intended: intended
intense: intense,intensest
intensely: intensely
intensity: intensity
intent: intent
intention: intention,intentions
intently: intently
interchange: interchange,interchanges,interchanging
intercourse: intercourse
interfere: interfere,interfered
interference: interference
interior: interior,interiors
interlaced: interlaced
intermediary: intermediary
interminable: interminable
intermingle: intermingled
internal: internal
internally: internally
interpolate: interpolating
interpose: interposed
interrupt: interrupt,interrupted,interrupting
interruption: interruption
intersperse: interspersed
intertwine: intertwined
interval: interval,intervals
intervene: intervened
interview: interview,interviews
intimacy: intimacy
intimate: intimate,intimating
intoxicate: intoxicate
intoxicating: intoxicating
intoxication: intoxication
intractable: intractable
intrigue: intrigue,intrigues
introduce: introduce,introduced,introducing
introduction: introduction
introductory: introductory
intrusion: intrusion
invade: invaded
invariable: invariable
invariably: invariably
investigation: investigation
invisible: invisible
invitation: invitation
invite: invite,invited,inviting
involuntarily: involuntarily
involuntary: involuntary
inwardly: inwardly
inwards: inwards
iron: iron
irregularity: irregularity
irresistible: irresistible
irritable: irritable
irritated: irritated
irritation: irritation
isolate: isolated
issue: issued
italian: italian
italy: italy
itching: itching
iv: iv
ivory: ivory
jacket: jacket
jam: jammed
james: james
jane: jane
jaw: jaw,jaws
jealous: jealous
jealously: jealously
jealousy: jealousy
jerk: jerk,jerks
jet: jet
jewel: jewel
jewelry: jewelry
jingle: jingle
john: john
joint: joint
joke: joke,joked,jokes,joking
jollification: jollification
jolly: jolly
jolt: jolt
jolting: jolting
jouissance: jouissance
journey: journey
jove: jove
joy: joy,joys
joyous: joyous
judge: judge,judged
juice: juice
juicy: juicy
july: july
jump: jump,jumped,jumping
junction: junction
june: june
junior: junior,juniors
juno: juno
jupiter: jupiter
jury: jury
justice: justice
justify: justified,justifies
jut: jutted,jutting
keen: keen
kensington: kensington
kent: kent
key: key
keyhole: keyhole
kick: kick,kicked
kid: kid
kill: kill,killed,killing,kills
kindly: kindly
kindness: kindness
king: king
kiss: kiss,kissed,kisses,kissing
kissing: kissing
kitchen: kitchen
knee: knee,knees
kneel: kneel,kneeling,knelt
knife: knife,knives
knit: knitting
knob: knob
knobbed: knobbed
knock: knocked,knocking
knowingly: knowingly
knowledge: knowledge
knuckle: knuckles
labia: labia
labour: laboured
lace: lace,laced
lacerate: lacerated
lad: lad
lady: ladies,lady
lag: lagging
lake: lake,lakes
lame: lame
land: land,landed
landing: landing,landings
landlady: landlady
landlord: landlord
landscape: landscape
language: language,languages
langue: langue
languid: languid
languidly: languidly
languish: languishing
languor: languor
lap: lap
lapse: lapse
lascivious: lascivious
lasciviously: lasciviously
lasciviousness: lasciviousness
lastly: lastly
latch: latch
late: late
lateness: lateness
latent: latent
latin: latin
laugh: laugh,laughed,laughing
laughingly: laughingly
laughter: laughter
lave: lave,laved
laving: laving
lavish: lavish,lavished
law: law,laws
lay: laid,lay,laying
laziness: laziness
lazy: lazy
lead: lead,leading,leads,led
leaf: leaf,leaves
lean: lean,leant
learn: learn,learned,learning,learnt
lease: lease
leave: leave,leaving,left
lech: lech
lecher: lecher
lecherous: lecherous
lecherously: lecherously
lechery: lechery
lecture: lecture,lecturing
leeds: leeds
leer: leer
left: left
leg: leg,legs
legacy: legacies
legally: legally
legitimate: legitimate
leisurely: leisurely
lend: lend,lending,lends,lent
lengthen: lengthen,lengthened,lengthening
leniently: leniently
lesson: lesson,lessons
letch: letch
letter: letter,letters
level: level
lewd: lewd,lewder,lewdest
lewder: lewder
lewdest: lewdest
lewdly: lewdly
lewdness: lewdness
liable: liable
liaison: liaison
libation: libation,libations
liberally: liberally
liberty: liberties,liberty
libidinous: libidinous
libidinously: libidinously
library: library
license: license
lick: lick,licked,licking
licking: licking
lid: lid
lie: lain,lie,lies,lying
life: life,lives
lifeblood: lifeblood
lifeless: lifeless
lift: lift,lifted,lifting
light: light,lighted,lightest,lighting,lights
lightly: lightly
liking: liking
limb: limb,limbs
limit: limit,limits
limited: limited
limp: limp,limper
linen: linen
lining: lining
lip: lip,lips
lipped: lipped
liqueur: liqueur
liquid: liquid
liquor: liquor
lisbon: lisbon
listen: listen,listened,listening
listener: listeners
listlessly: listlessly
literal: literal
literally: literally
literature: literature
live: live,lived,living
lively: liveliest,lively
lizzie: lizzie
loath: loath
local: local
locality: locality
lock: lock,locked,locking,locks
locked: locked
lodge: lodge,lodged
lodgement: lodgement
lodger: lodger,lodgers
lodging: lodging
lodgings: lodgings
loft: lofts
lofty: lofty
log: log
loin: loins
loiter: loitered
loitering: loitering
london: london
lonely: lonely
longing: longing,longings
looker: looker
lookout: lookout
loophole: loopholes
loose: loose
loosen: loosen
lordly: lordly
lose: lose,losing,lost
loss: loss
lost: lost
lot: lot
loud: loud,loudest
loudly: loudly
loudness: loudness
lovable: lovable
love: love,loved,loves,loving
loved: loved
lovely: lovely
lover: lover,lovers
loving: loving
lovingly: lovingly
lubberly: lubberly
lubricate: lubricate,lubricated,lubricating
lubricated: lubricated
lubricity: lubricity
luck: luck
lucky: lucky
luggage: luggage
lunch: lunched
luncheon: luncheon
lunge: lunge,lunges
lurk: lurked,lurking
luscious: luscious
lusciously: lusciously
lusciousness: lusciousness
lust: lust,lusts
lustful: lustful
lustfully: lustfully
lustily: lustily
lustrous: lustrous
lusty: lusty
luxuriate: luxuriating
luxurious: luxurious
luxuriously: luxuriously
luxury: luxuries,luxury
lyon: lyon
machine: machine
machinery: machinery
mad: mad
madam: madam
madame: madame
madden: maddened,maddening,maddens
maddening: maddening
madly: madly
madness: madness
magdalen: magdalen
maggiore: maggiore
magic: magic
magical: magical
magnificence: magnificence
magnificent: magnificent
magnificently: magnificently
magnitude: magnitude
maid: maid
maiden: maiden
maidenhead: maidenhead,maidenheads
main: main
mainstay: mainstay
maintain: maintaining
majesty: majesty
majority: majority
maker: maker
malade: malade
male: male
mamma: mamma
manage: manage,managed
manfully: manfully
manhood: manhood
manifestation: manifestation
manipulate: manipulated,manipulating
manipulation: manipulations
manly: manly
manner: manner
manners: manners
manoeuvre: manoeuvre
marble: marble
marc: marc
march: march
mark: mark,marked,marks
marked: marked
marriage: marriage
married: married
marry: married,marries,marry
marrying: marrying
mars: mars
mary: mary
masculine: masculine
mass: mass
massive: massive
massy: massy
master: master,mastered,masters
masterpiece: masterpiece
masturbation: masturbation
match: match,matches
mate: mate
maternal: maternal
matrimony: matrimony
matron: matrons
matter: matter,mattered,matters
mattress: mattresses
maxim: maxims
meal: meal
meaning: meaning
measure: measure,measured,measures,measuring
meat: meat
mechanically: mechanically
meditate: meditate
meet: meet,meeting,met
meeting: meeting,meetings
melancholy: melancholy
melt: melted
melting: melting
mem: mem
membrane: membrane,membranes
memoirs: memoirs
memorable: memorable
memorial: memorial
memory: memories,memory
menses: menses
menstruate: menstruated
menstruation: menstruation
mentally: mentally
mention: mention,mentioned,mentioning
merchant: merchant
mercy: mercy
mere: mere,merest
merit: merit,merits
merry: merry
mesh: meshes
mess: mess
method: method,methods
metropolitan: metropolitan
mettle: mettle
midday: midday
middle: middle
middling: middlings
midnight: midnight
midst: midst
midsummer: midsummer
mighty: mighty
milan: milan
mild: mild
mile: mile,miles
military: military
milk: milk,milked
milksop: milksops
milky: milky
mind: mind,minds
mingle: mingled
miniature: miniature
minion: minion,minions
ministration: ministrations
minute: minute,minutes,minutest
minutely: minutely
minuteness: minuteness
minx: minx
miracle: miracle
mirror: mirrors
mirth: mirth
misbehaviour: misbehaviour
mischief: mischief
misconduct: misconduct
miserable: miserable
misfortune: misfortune,misfortunes
mistake: mistake
mistaken: mistaken
mistress: mistress,mistresses
mitigate: mitigate
mixture: mixture
moan: moaned
mock: mock
mode: mode
model: model,models
moderate: moderate,moderated,moderating
moderately: moderately
moderation: moderation
modern: modern
modest: modest
modesty: modesty
moist: moist
moisten: moisten,moistened,moistening
moistened: moistened
moisture: moisture
mollify: mollified
moment: moment,moments
momentarily: momentarily
momentary: momentary
mon: mons
monday: monday
mondays: mondays
money: money
monk: monk,monks
monopolize: monopolize
monsieur: monsieur
monster: monster
monstrous: monstrous
mont: mont
monte: monte
month: month,months
monthly: monthlies,monthly
moon: moon
moonlight: moonlight
moral: moral
morning: morning,mornings
morpheus: morpheus
morsel: morsel
mort: mort
mortal: mortal,mortals
mortice: morticed
moses: moses
moss: moss
mossy: mossy
mother: mother,mothers
motherly: motherly
motion: motion
motive: motive
mould: mould,moulded
mound: mound
mount: mount,mounted,mounting,mounts
mountain: mountain
mountainside: mountainside
mournful: mournful
mourning: mourning
mouse: mouse
moustache: moustache
mouth: mouth,mouths
mouthful: mouthful
movement: movement,movements
mucous: mucous
muff: muff
munch: munched
mundane: mundane
murder: murder,murdered
murmur: murmur,murmured,murmuring,murmurs
murmuring: murmuring
muscle: muscle,muscles
muscular: muscular
music: music
muslin: muslin
mutinous: mutinous
mutter: muttered,muttering
mutual: mutual
mutually: mutually
mystery: mysteries,mystery
nail: nail,nails
nailless: nailless
naive: naive
naively: naively
naked: naked
nakedness: nakedness
naples: naples
napoleon: napoleon
narrate: narrated
narrative: narrative
narrow: narrow,narrower
nastiness: nastiness
nasty: nasty
native: native
natural: natural
naturally: naturally
nature: nature,natures
naughty: naughty
nausea: nausea
navel: navel
nearer: nearer
neat: neat
neatly: neatly
neatness: neatness
necessity: necessity
neck: neck
necked: necked
nectar: nectar
needless: needless
neglect: neglect,neglected,neglecting
negligent: negligent
neighbour: neighbour,neighbouring,neighbours
neighbourhood: neighbourhood
nephew: nephew
nerve: nerved,nerves
nervous: nervous
nervously: nervously
nest: nest
nestle: nestled,nestling
newly: newly
newness: newness
news: news
nibble: nibble,nibbled
nice: nice
