abandon: abandoned
lord: lord
lose: lost
loss: loss
lot: lot
loud: loud,louder,loudest
love: love,loved,loving
lovely: lovely
lover: lover,lovers
loving: loving
loyal: loyal
lucky: luckiest,lucky
lumbago: lumbago
lumber: lumbering
lung: lungs
machine: machine
mad: mad
magic: magic
magnify: magnifying
magnitude: magnitude
mahogany: mahogany
main: main
maintain: maintaining
majestic: majestic
maker: makers
malice: malice
maliciously: maliciously
manage: managed
management: management
mane: mane
manger: manger
manly: manly
manner: manner
mansion: mansion
mantel: mantel
mantle: mantle
mark: mark,marked,marks
market: market
marriage: marriage,marriages
married: married
marrow: marrow
marry: married,marry
marvel: marvels
mary: mary
mask: masks
master: master
mastiff: mastiff
match: match,matches
maternal: maternal
matron: matron,matrons
matronly: matronly
matter: matter,mattered,matters
maudlin: maudlin
maximum: maximum
meadow: meadow
meagre: meagre
meal: meal
meaning: meaning
measure: measure
mechanical: mechanical
meditate: meditating
meditation: meditation
medium: medium
meet: meet,meeting,met
melancholy: melancholy
mellow: mellow
melodious: melodious
mentally: mentally
mention: mention
merchant: merchant
merchantability: merchantability
mercy: mercy
mere: mere
merit: merit,merits
merrily: merrily
merry: merrier,merry
messenger: messenger
method: method,methods
mettle: mettle
mexican: mexicans
michael: michael
middle: middle
midst: midst
midsummer: midsummer
mild: milder
mildly: mildly
mile: mile,miles
milestone: milestone
mince: mincing
mind: mind,minding
mindful: mindful
mineral: mineral
mingle: mingled
minute: minute,minutes
mire: mire
mirror: mirror
miserable: miserable
miserably: miserably
misery: misery
misgiving: misgivings
mislay: mislaid
mission: mission
mississippi: mississippi
mist: mist,mists
mistake: mistake
mistress: mistress
misunderstand: misunderstood
mitre: mitre
mockingly: mockingly
model: model
moderate: moderate
modification: modification
modify: modified
moist: moist
moment: moment,moments
money: money
monosyllable: monosyllable
monster: monster,monsters
monstrous: monstrous
month: month,months
mood: mood
moon: moon
moorish: moorish
moral: moral
morally: morally
morning: morning,mornings
morosely: morosely
moroseness: moroseness
morrow: morrow
moss: moss
mother: mother,mothers
motherless: motherless
motherly: motherly
motion: motion
motionless: motionless
motive: motives
moulder: mouldering
mound: mound
mount: mount
mourn: mourning
mournful: mournful
mouth: mouth
mouthful: mouthful
movable: movable
mow: mowed
mower: mower
muffled: muffled
muffler: mufflers
multitude: multitude
mum: mum
murder: murder
murky: murky
murmur: murmured
muse: mused,musing
music: music
musical: musical
musing: musing
muslin: muslin
mutinous: mutinous
mutter: muttered
mutton: mutton
mysterious: mysterious
mystify: mystified
nail: nailing
nankeen: nankeen
narrate: narrate
narrative: narrative
narrow: narrow
narrowly: narrowly
natural: natural
naturally: naturally
nature: nature
natured: natured
nearer: nearer
neat: neat
neatness: neatness
neck: neck
needful: needful
needle: needle
needlework: needlework
negligence: negligence
neighbour: neighbouring,neighbours
neighbourhood: neighbourhood
nerve: nerved
nervous: nervous
nestle: nestled,nestling
network: network
newly: newly
newsletter: newsletter
nice: nice
niece: niece
nigh: nigh
night: night
nightingale: nightingale
nightly: nightly
nightmare: nightmare
nimble: nimble
noah: noah
nobility: nobility
noble: noble
nod: nod,nodded,nodding
noise: noise,noises
noisy: noisy
nonce: nonce
nonproprietary: nonproprietary
noon: noon
north: north
nose: nose
nostril: nostrils
notch: notch
note: note
notice: notice,noticed
notify: notifies
notion: notion
noun: nouns
novelty: novelty
november: november
nudge: nudge
nudging: nudging
numerous: numerous
nuptials: nuptials
nurse: nurse,nurses
nursing: nursing
nut: nut,nuts
nuts: nuts
nutshell: nutshell
oats: oats
obdurate: obdurate
obedient: obedient
obey: obeys
object: object,objects
objectionable: objectionable
oblige: obliged
observation: observation
observe: observe,observed,observing
obsolete: obsolete
obstacle: obstacles
obstinate: obstinate
obstruction: obstruction
obtrusive: obtrusive
occasion: occasion,occasions
occasional: occasional
occasionally: occasionally
occupation: occupation
occupy: occupied
occur: occur,occurred
occurrence: occurrence
odd: odd
offensive: offensive
offer: offered,offers
office: office,offices
officer: officer
official: official
officious: officious
ogre: ogre
omnipotence: omnipotence
online: online
operation: operation,operations
opinion: opinion
opportunely: opportunely
opportunity: opportunities,opportunity
orange: oranges
ordinary: ordinary
organize: organized
origin: origin
original: original
originate: originated
originator: originator
ornament: ornament
outdated: outdated
outer: outer
outpost: outposts
outraged: outraged
overawe: overawed
overcharge: overcharged
overflow: overflow,overflowing
overflowing: overflowing
overrule: overruled
ow: ow
owe: owed
owl: owl
owner: owner
oy: oy
pace: pace
pacing: pacing
pack: pack,packed
package: packages
paid: paid
pain: pain
painful: painful
paint: painted
painter: painter
painting: painting
pair: pair
palace: palace
pale: pale
palpitating: palpitating
panel: panels
pang: pang
pant: panted
paper: paper
paperwork: paperwork
paragraph: paragraph,paragraphs
parcel: parcel,parcels
pardon: pardon
parent: parents
parliament: parliament
parliamentary: parliamentary
parrot: parrots
parson: parson
partake: partake
partial: partial
partner: partners
party: party
pass: pass,passed
passage: passage
passenger: passengers
passion: passion
pastry: pastry
pat: patted
patch: patches
paternal: paternal
pathetic: pathetic
patient: patient
patronise: patronising
patten: patten,pattens
pause: pause,paused,pausing
pavement: pavement
paw: paw
pay: paid,pay,paying,pays
payment: payments
peace: peace
peaceable: peaceable
peculiarly: peculiarly
peel: peeled,peeling
peep: peep,peeped
peer: peering
peevish: peevish
peg: pegging,pegs
penetrate: penetrate,penetrating
penitence: penitence
penitent: penitent
pensively: pensively
perceive: perceived,perceiving
perception: perception
perfect: perfect
perfection: perfections
perfectly: perfectly
perfidious: perfidious
perform: perform,performed,performing
performance: performance,performances
peril: perils
periodic: periodic
permanent: permanent
permission: permission
permit: permit,permitted
perpetual: perpetual
perpetually: perpetually
perplex: perplexed
perplexity: perplexity
persevere: persevered
person: people,person,persons
personal: personal
perspective: perspective
persuade: persuade
pertinacity: pertinacity
pertly: pertly
perverse: perverse
pets: pets
petty: petty
philanthropic: philanthropic
philosopher: philosopher
phrase: phrase
physical: physical
pic: pic
pickle: pickled
picture: picture
pie: pie,pies
piece: piece,pieces
pierce: piercing
pig: pig,pigs
pigeon: pigeons
pillow: pillow
pimple: pimple
pinch: pinch,pinched
pine: pined
pipe: pipe,pipes
pitch: pitch
pitcher: pitcher
piteously: piteously
pitfall: pitfall
pitiable: pitiable
pity: pity,pitying
plain: plain
plainly: plainly
plan: plan,plans
plaster: plaster
plate: plates
play: play,played,plays
playful: playful
plead: plead,pleaded,pleading,pleads
pleading: pleading
pleasant: pleasant
pleasantly: pleasantly
pleased: pleased
pleasure: pleasure
plenty: plenty
plod: plodded
plodding: plodding
pluck: plucking
plume: plume
plummer: plummer
plunge: plunged,plunging
plural: plural
ply: plied,plying
pocket: pocket,pockets
poetical: poetical
poetry: poetry
poison: poisoned
poke: poking
ponder: pondering
pony: pony
poor: poor
poplar: poplar
popular: popular
portal: portal
portrait: portrait
portraiture: portraiture
position: position,positions
positive: positive
possess: possessed
possession: possession
possibility: possibility
post: post,posted,posting,posts
postman: postman
postpone: postponing
pot: pot,pots
potato: potatoes
potent: potent
pouch: pouch
pour: pouring
pout: pouting
power: power
powers: powers
practical: practical
practically: practically
practice: practice
pray: pray,prayed
prayer: prayers
precaution: precaution
precept: precepts
precious: precious
precisely: precisely
preferred: preferred
prematurely: prematurely
premise: premises
prepare: prepare,prepared
prepared: prepared
presence: presence
presently: presently
preserve: preserve,preserved
press: press,pressed,pressing
pressure: pressure
presumptuous: presumptuous
pretend: pretend,pretending
pretension: pretensions
pretty: pretty
prevent: prevent,prevented
previous: previous
price: price
prick: pricked
pride: pride
primitive: primitive
principal: principal
principle: principle
print: print,printed
private: private
privilege: privileges
proceed: proceeded,proceeding
proceedings: proceedings
process: process
processing: processing
prodigious: prodigious
prodigiously: prodigiously
produce: produce,produced,producing
production: production
professional: professional
professor: professor
profit: profit,profits
prohibit: prohibited
prohibition: prohibition
project: project,projecting
prominent: prominent
prominently: prominently
promise: promise
promote: promoting
promotion: promotion
proofread: proofread
property: property
proportion: proportion
propose: propose,proposed
proposition: proposition
proprietary: proprietary
propriety: proprieties
prose: prose
protect: protect
protection: protection
proudly: proudly
prove: prove,proved,proving
provide: provide,providing
provision: provision,provisions
provocation: provocation
provoking: provoking
proxy: proxy
public: public
puff: puffed
pull: pull,pulling
punitive: punitive
pure: pure
purpose: purpose
purse: purse
pursuance: pursuance
pursue: pursued,pursuing
pursuit: pursuit
push: pushing
puzzled: puzzled
pyramid: pyramid
quaint: quaint
quality: qualities
quarrelsome: quarrelsome
quarter: quarter,quarters
querulous: querulous
question: question,questions
quick: quick
quiet: quiet
quietly: quietly
race: race
rack: rack
radiant: radiant
rag: rag
rail: rails
rain: rain
rainbow: rainbows
raise: raised
rambling: rambling
rap: rapped,rapping,raps
rapidity: rapidity
rapture: rapture
rapturous: rapturous
rare: rare
rash: rash
rationally: rationally
rattle: rattled,rattling
raven: ravens
raw: raw
ray: ray
reach: reach,reached,reaching
read: read,reading
readable: readable
readiness: readiness
reading: reading
ready: readiest,ready
real: real
reality: reality
reason: reason
reasonable: reasonable
rebellious: rebellious
recall: recalled,recalling
receipt: receipt
receive: receive,received,receiving
recipe: recipes
recognition: recognition,recognitions
recoil: recoiled,recoiling
recollect: recollect
recollection: recollection
recommend: recommend
reconcile: reconciled
record: record,recording
recover: recovering
recovery: recovery
recreation: recreation
red: red
redeem: redeem
redistribute: redistribute,redistributing
redistributing: redistributing
redistribution: redistribution
reduce: reduced
reed: reed
refer: refer
reference: reference,references
reflect: reflect
reflection: reflection,reflections
refreshment: refreshment
refund: refund
regard: regard
region: region
register: registered
regret: regret
regular: regular
regularly: regularly
regulate: regulating
rein: reins
reject: rejected,rejecting
rejoicing: rejoicing
rejoin: rejoined
relate: relate
release: release,released,releasing
relief: relief
relieve: relieve
religious: religious
reluctantly: reluctantly
rely: relied
remain: remain,remained,remaining,remains
remark: remark,remarked,remarks
remarkable: remarkable
remarkably: remarkably
remedy: remedies
remember: remember,remembered
remembrance: remembrance
remind: reminding
remorseful: remorseful
remote: remote
remove: remove,removed,removing
rename: renamed
render: render,rendered,renders
renew: renew,renewed
rent: rent
reparation: reparation
repast: repast
repeat: repeated,repeating
replace: replace
replacement: replacement
reply: replied,reply
report: reported,reports
represent: represented
representation: representations
reproach: reproach
reproduce: reproducing
request: request
require: require,required
requirement: requirements
resemblance: resemblance
reserve: reserve
residence: residences
resist: resist,resisted,resisting
resistance: resistance
resistless: resistless
resound: resounded
resource: resource,resources
respect: respect
respectable: respectable
respective: respective
respects: respects
rest: rest,rested,resting
restless: restless
restlessness: restlessness
restorative: restorative
restore: restored,restoring
restriction: restrictions
result: result
resume: resumed,resuming
retire: retired,retiring
retreat: retreated
return: return,returned,returning,returns
reveal: reveal,revealed
revel: revelled
revenge: revenge
revenue: revenue
reverence: reverence
reverse: reversed
review: review
rheumatic: rheumatics
rib: ribs
rich: richer,richest
rigid: rigid
rise: rise,risen,rising,rose
river: river
rivet: riveted
road: road
roadside: roadside
roar: roared,roaring
robinson: robinson
rock: rocking
rocker: rocker
rocking: rocking
romantically: romantically
roof: roof
rope: ropes
rose: rose
rosy: rosy
rot: rotting
rote: rote
rotten: rotten
rough: rough
roughly: roughly
roughness: roughness
rouse: rouse
royal: royal
royalty: royalties,royalty
rub: rub,rubbed
ruddy: ruddy
rude: rude
rugged: rugged
ruin: ruined
rule: rules
rummage: rummaged
running: running
rush: rush,rushed,rushes
rustic: rustic
rusting: rusting
rusty: rusty
sack: sack
sacred: sacred
sacrifice: sacrifice,sacrificed
sad: sad
sadly: sadly
safe: safe
safely: safely
safety: safety
sagacity: sagacity
sage: sage,sages
sailor: sailor
saint: saint
sake: sake
salmon: salmon
salt: salt
salute: saluted
sample: samples
samson: samson
sanctuary: sanctuary
sarcastic: sarcastic
satin: satin
satisfaction: satisfaction
satisfactory: satisfactory
satisfied: satisfied
saucer: saucers
savage: savage
save: save
scale: scale
scanty: scanty
scarcely: scarcely
scarcity: scarcity
scare: scare,scared
scatter: scattered
scene: scenes
school: school
schoolfellow: schoolfellow
schools: schools
scorch: scorching
score: score,scores
scorn: scorned
scourge: scourges
scout: scouted
scrap: scraps
scratching: scratching
screw: screw,screwed,screwing
scrunch: scrunch
scrupulous: scrupulous
scrutinise: scrutinising
scuffle: scuffle
scythe: scythe,scythes
search: search
season: season
seat: seat
secret: secret,secrets
secretly: secretly
secure: secure
seek: seek,sought
seize: seize,seized
seldom: seldom
select: selecting
selfishness: selfishness
seminary: seminary
send: send,sending
sender: senders
sensation: sensation
sense: sense
sentence: sentence,sentences
sentiment: sentiment,sentiments
september: september
serve: served
service: service
set: set,sets,setting
settle: settle,settled
settlement: settlements
shabbiness: shabbiness
shade: shade,shaded
shadow: shadow,shadows
shadowy: shadowy
shake: shake,shaken,shaking,shook
shape: shape,shapes
share: share,shared,sharing
sharp: sharp,sharpest
sharply: sharply
shaver: shaver
shawl: shawl
shelf: shelf,shelves
shelter: shelter
sheriff: sheriff
shield: shield,shielded,shields
shine: shining,shone
ship: ship
shirt: shirt
shock: shock
shoe: shoe
shoot: shoot
short: short
shortly: shortly
shoulder: shoulder,shouldered,shoulders
shout: shouted
shriek: shriek,shrieked,shrieking
shrill: shrill
shrine: shrines
shrink: shrinking
shrug: shrug
shrunken: shrunken
shut: shut
sick: sick
sickness: sickness
sideways: sideways
sigh: sigh,sighed
sight: sight
sightless: sightless
sign: sign,signed
signify: signify
silence: silence
silent: silent
sillily: sillily
silly: silly
silver: silver
simmer: simmered
simple: simple
sing: sang,sing,sings
singing: singing
single: single
singly: singly
singular: singular
singularly: singularly
sink: sinking,sunk
sir: sir
sister: sister,sisters
sit: sat,sit,sitting
sixpence: sixpence
size: size,sizes
skate: skating
skeleton: skeletons
skelter: skelter
skill: skill
skim: skims
skirt: skirt,skirts
skurry: skurry
sky: sky
slap: slapped
sleep: sleep
sleeper: sleeper
sleety: sleety
slide: slides,sliding
slight: slight,slighted
slippy: slippy
slow: slow
slowly: slowly
slushy: slushy
sly: sly
smart: smart
smile: smile,smiled,smiling
smite: smitten
smoke: smoke,smoking
smooth: smooth,smoothing
smother: smother
snail: snail
snare: snare
snatch: snatch
sneer: sneer
sneeze: sneeze
snort: snorts
snug: snug
sob: sobbed,sobbing
sober: sober
soberly: soberly
sociability: sociability
sociable: sociable
social: social
society: society
sofa: sofas
soft: soft,softer
soften: softened
softly: softly
solemn: solemn
solicit: solicit
solicitation: solicitation
solid: solid
solitary: solitary
solo: solo
son: son,sons
song: song
soothing: soothing
sorcerer: sorcerer
sordid: sordid
sorrow: sorrow
sorrowful: sorrowful
sorrowfully: sorrowfully
sorrowing: sorrowing
sort: sort,sorts
soul: soul
sound: sound,sounded,sounding,sounds
sour: sour
south: south
sow: sown
space: space
spare: spare,spared
sparingly: sparingly
sparkling: sparkling
spasm: spasms
speak: speak,speaking,speaks,spoke,spoken
speaker: speaker
spear: spears
special: special
species: species
specific: specific
spectacle: spectacle
spectacles: spectacles
spectatress: spectatress
spectral: spectral
speculator: speculator
speech: speech
speedily: speedily
spell: spelling
spencer: spencer
spend: spend
sphere: sphere
spin: spun
spirit: spirit,spirits
spirits: spirits
spite: spite
splash: splashed
splutter: spluttered
spoil: spoil,spoilt
spoilt: spoilt
spot: spot
spotted: spotted
spout: spout
spread: spread
sprightly: sprightly
spring: sprung
sprucely: sprucely
squeeze: squeeze
stable: stable
staff: staff
stage: stage,stages
stagger: staggering
staid: staid
stair: stair,stairs
staircase: staircase
stand: stand,standing,stands,stood
star: star,stars
starch: starch
stare: stare,stared,staring
start: start,started,starting,starts
startle: startle,startled
statement: statements
station: stations
status: status
staunch: staunch
stay: stay,staying,stays
steadfast: steadfast
steady: steadier,steady
steal: steal,stealing
stem: stem
step: step,steps
stern: stern
sternness: sternness
stick: stick,sticking,sticks,stuck
stiff: stiff
stiffly: stiffly
stifle: stifle
stimulus: stimulus
stir: stirred
stock: stock
stocking: stockings
stolid: stolid
stone: stone,stones
stool: stool
stoop: stoop
stoppage: stoppages
store: stored
stormy: stormy
story: story
stout: stout
straight: straight
strait: strait
strange: strange
strangely: strangely
stranger: stranger
straw: straw
streak: streak
stream: stream
streaming: streaming
street: street
strenuous: strenuous
stretch: stretched,stretching
strew: strew
stricken: stricken
strict: strict
stride: stride,strode
strike: strike,strikes,striking,struck
striking: striking
strive: striving
stroke: stroke
stroll: strolling
strong: strong,stronger
structure: structure
struggle: struggle,struggling
stubble: stubble
stubborn: stubborn
student: student
study: studied,study
stuff: stuff
stumbling: stumbling
stupendously: stupendously
stupid: stupid
sturdy: sturdy
subject: subject,subjects
subscribe: subscribe
subside: subsided
substance: substance,substances
substitute: substituted
suburban: suburban
succession: succession
sudden: sudden
suddenly: suddenly
suffer: suffer,suffered,suffering
suffering: suffering,sufferings
suggestive: suggestive
suit: suit
suited: suited
sullen: sullen
sum: sum
summary: summary
summer: summer
summing: summing
summon: summon,summoned
sun: sun
sunburnt: sunburnt
superiority: superiority
supernatural: supernatural
supplication: supplication
support: support,supporting
suppose: suppose,supposed
suppression: suppression
surely: surely
surface: surface
surgical: surgical
surprise: surprise,surprised
surprising: surprising
surround: surrounded
survey: surveyed
survive: survive
suspect: suspected,suspecting
suspend: suspended
suspicion: suspicion,suspicions
swamp: swamp
swan: swans
swarm: swarming
swear: swear,sworn
sweep: sweeping,swept
sweet: sweet
sweeten: sweetened
sweetheart: sweetheart
swell: swell
swindle: swindling
sword: swords
symmetrically: symmetrically
symmetry: symmetry
sympathy: sympathy
synonymous: synonymous
table: table,tables
tail: tail,tails
tailor: tailor
tale: tale
talent: talent
talk: talk,talked,talking
talker: talker
tall: tall,taller
tangle: tangled
tap: tap,tapping
tape: tape
tart: tart
task: task,tasks
taste: taste,tasted,tastes
tax: tax,taxes
tea: tea
teaboard: teaboard
teach: teach
teaching: teaching
team: team
teapot: teapot
tear: tear,tearing,tears,torn
tearful: tearful
tedious: tedious
teens: teens
telescope: telescope
temper: temper,tempered
temple: temples
tempt: tempting
tend: tend,tended,tending
tender: tender,tenderest
tenderly: tenderly
tenderness: tenderness
tenement: tenements
term: term,termed,terms
terribly: terribly
terrified: terrified
terror: terror
thankfulness: thankfulness
thaw: thaw
thee: thee
theme: theme
thinking: thinking
thirsty: thirsty
thoroughbred: thoroughbred
thoughtful: thoughtful
thoughtfully: thoughtfully
thoughtfulness: thoughtfulness
thoughtless: thoughtless
thread: thread,threads
threshold: threshold
thrice: thrice
thrill: thrilled
thrive: thriving
thriving: thriving
throat: throat
throw: threw,throw,throwing
thrust: thrust
thursday: thursday
thy: thy
tick: ticked
tie: tied
tight: tight
tilly: tilly
tilt: tilt
time: time,timed,times
timid: timid
tinder: tinder
tiny: tiny
tippet: tippet
tire: tire
tired: tired
title: title
toadstool: toadstools
toast: toast
tobacco: tobacco
toe: toe,toes
tolerable: tolerable
toll: toll
tom: tom
tone: tone
tongue: tongue,tongues
topsy: topsy
torpid: torpid
torture: torture,tortured
totter: tottered
touch: touch,touched,touching
touchstone: touchstone
town: town
toy: toy,toys
toymaker: toymaker
track: track
trade: trade
trademark: trademark
trail: trailed
train: train
tramp: tramp
tranquil: tranquil
tranquillity: tranquillity
transaction: transactions
transcendent: transcendent
transcribe: transcribe,transcribed
transcription: transcription
transfix: transfixed
transform: transformed,transforming
transport: transports
trap: trap
traveller: travellers
treachery: treachery
tread: tread
treasure: treasure
treat: treated
treatment: treatment
tree: tree,trees
tremble: tremble,trembled,trembling
tremendous: tremendous
trial: trial
tribe: tribe
trick: trick
trifle: trifle,trifles
trigger: trigger
trill: trill
trim: trimmed
trip: trip
triumphant: triumphant
triumphantly: triumphantly
trivial: trivial
triviality: trivialities
trodden: trodden
troll: trolled
troop: trooping
troops: troops
trot: trot,trotting
trouble: trouble,troubled
troubled: troubled
truce: truce
true: true
trumpet: trumpet
trunk: trunk
trust: trust,trusted,trusting
truth: truth
truthful: truthful
tube: tube
tuck: tucked
tug: tugging
tumble: tumbled
tumbler: tumblers
tumult: tumult
tune: tune
turnip: turnips
turnpike: turnpike
turvy: turvy
twilight: twilight
twin: twin
twinkle: twinkle,twinkled
twinkling: twinkling
twist: twist,twisted
twisting: twisting
type: type,types
ubiquity: ubiquity
ugly: ugly
unaccountable: unaccountable
unanswerable: unanswerable
unbeknown: unbeknown
uncertain: uncertain
uncomfortable: uncomfortable
uncomfortably: uncomfortably
uncommon: uncommon
uncommonly: uncommonly
unconnected: unconnected
unconscious: unconscious
uncontrollable: uncontrollable
undeceived: undeceived
undeniable: undeniable
undeniably: undeniably
understand: understand,understood
undertake: undertake
undiminished: undiminished
undivided: undivided
undying: undying
uneasiness: uneasiness
uneasy: uneasy
unenforceability: unenforceability
unequal: unequal
unexpected: unexpected
unexpectedly: unexpectedly
unfinished: unfinished
unfortunate: unfortunate
ungenteel: ungenteel
unhappy: unhappy
unheard: unheard
unheeded: unheeded
uniform: uniform
unimpeachable: unimpeachable
uninterested: uninterested
united: united
universe: universe
unknown: unknown
unlink: unlink
unlooked: unlooked
unmitigated: unmitigated
unpolished: unpolished
unprotected: unprotected
unquestionably: unquestionably
unroll: unrolled
unscrew: unscrew
unseen: unseen
unsolicited: unsolicited
unspeakable: unspeakable
unstopped: unstopped
unsuspicious: unsuspicious
unusual: unusual
unwilling: unwilling
unwillingness: unwillingness
unwonted: unwonted
update: updated
upholstery: upholstery
upright: upright
uprose: uprose
upset: upset
upturn: upturning
upward: upward
urge: urged
user: user
usual: usual
ut: ut
utter: uttered
utterly: utterly
vacant: vacant
vacantly: vacantly
vacation: vacation
vaccinate: vaccinated
vagabond: vagabond
vague: vague
vain: vain
vainly: vainly
valve: valve
vampire: vampire
vanilla: vanilla
vanish: vanished
vanity: vanities
variety: variety
vast: vast
veal: veal
vegetable: vegetable
vehemently: vehemently
venerable: venerable
vent: vent
venture: venture
verily: verily
verse: verse
version: version
vessel: vessel
vestment: vestment
vex: vexed
viand: viands
vice: vice
victim: victim
view: view,viewed,viewing,views
vigilance: vigilance
vigour: vigour
vilely: vilely
villain: villain
vindicate: vindicate
violate: violates
violence: violence
violent: violent
violently: violently
virus: virus
visibly: visibly
vision: visions
visit: visit,visited,visiting
visitor: visitor
vital: vital
vivacity: vivacity
vocal: vocal
vocation: vocation
voice: voice,voices
voices: voices
void: void
volunteer: volunteer,volunteers
vowel: vowel
waggon: waggon
waist: waist
waistcoat: waistcoat
wait: wait,waited,waiting
wake: woke
walk: walk,walked,walking,walks
walker: walker
walking: walking
wall: wall,walls
wander: wandered,wandering
ware: ware
warm: warm,warmed,warmer
warning: warning
warranty: warranties,warranty
wary: wary
wash: washed,washing
watch: watch,watched,watching
water: water
wave: wave,waved,waving
wax: wax
waxy: waxy
weak: weak
weakness: weakness
wealth: wealth
weapon: weapon
wear: wear,wearing,wears,wore,worn
weariness: weariness
wearisome: wearisome
weather: weather
wedding: wedding
weed: weeds
week: weeks
weep: wept
weigh: weigh,weighs
weight: weight,weights
weird: weird
welsh: welsh
west: west
wet: wet
wharf: wharf
whatsoever: whatsoever
wheedle: wheedling
wheel: wheels
wheels: wheels
whereon: whereon
wheresoever: wheresoever
whimsical: whimsical
whir: whirring
whisk: whisks
whisker: whiskers
whisper: whisper,whispered,whispering
whispering: whisperings
whit: whit
white: white
whiten: whitening
wholesome: wholesome
wholly: wholly
wicked: wicked
wide: wide,widest
widen: widening
wield: wield
wife: wife,wifes,wives
wild: wild
wildly: wildly
win: winning
wind: wind
winded: winded
window: window,windows
wink: winking
winter: winter
wiry: wiry
wisp: wisp
wistful: wistful
wistfully: wistfully
wit: wit
withal: withal
withdraw: withdrew
wither: withering
withered: withered
withstand: withstood
witness: witness,witnessed
woeful: woeful
woman: woman,women
wonderful: wonderful
wonderfully: wonderfully
wondrous: wondrous
wood: wood
wooden: wooden
word: word
workaday: workaday
workbox: workbox
worm: worm
worn: worn
worry: worrying
worth: worth
worthy: worthy
wound: wounded
wrap: wrapped
wrapper: wrappers
wrath: wrath
wretched: wretched
wring: wring,wrung
write: writing,written
writing: writing
wrong: wrong
wry: wry
yard: yard
yawn: yawning
yesterday: yesterday
yield: yielded,yielding
yoke: yoking
yonder: yonder
youth: youth
zeal: zeal
zealous: zealous
