abandon: abandon,abandoned,abandoning
flower: flower,flowers
flunkey: flunkey
flurried: flurried
flush: flush,flushed
flute: flutes
fly: flew,flies,fly,flying
flying: flying
foam: foaming
fob: fob
foe: foes
fog: fogs
fold: folded,folds
foliage: foliage
folk: folk,folks
follow: follow
folly: follies,folly
food: food
fool: fool
foolhardy: foolhardy
foolish: foolish
foot: feet,foot
foothold: foothold
footlights: footlights
footstep: footsteps
forbid: forbidden
force: force,forced,forces,forcing
ford: ford
foreboding: forebodings
foreground: foreground
forehead: forehead
foreign: foreign
foresail: foresail
foresee: foresaw,foreseen
forest: forest,forests
forge: forged
forget: forget,forgetting,forgot,forgotten
forgive: forgive
form: form,formed,forming
formality: formalities
formidable: formidable
fort: fort,forts
forthwith: forthwith
fortieth: fortieth
fortification: fortifications
fortified: fortified
fortunate: fortunate
fortunately: fortunately
fortune: fortune,fortunes
foundation: foundation
founder: founder
foundry: foundries
fourteen: fourteen
fourth: fourth
frail: frail
frame: frame,framed,frames
france: france
francis: francis
francisco: francisco
frank: frank
frankly: frankly
frantic: frantic
fray: fray
freely: freely
freeze: frozen
freezing: freezing
freight: freight
french: french
frenchman: frenchman
frenchmen: frenchmen
frequent: frequent,frequented
frequently: frequently
fresh: fresh
freshen: freshened
freshness: freshness
friar: friars
friction: friction
friday: friday
friend: friend,friends
friendly: friendly
friendship: friendships
fright: fright
frighten: frightened
frightening: frightening
frightful: frightful
fro: fro
frolic: frolicked
frothy: frothy
frozen: frozen
fruit: fruit,fruits
fuel: fuel,fuelling
fugitive: fugitives
fulfil: fulfil
fume: fumes
functionary: functionary
fund: fund,funds
funeral: funeral
funnel: funnel
funny: funny
fur: furred,furs
furious: furious
furl: furled
furnace: furnace,furnaces
furnish: furnish,furnished
furrow: furrowed
fury: fury
future: future
gaiety: gaiety
gaily: gaily
gain: gain,gained,gaining,gains
gainsay: gainsay
gait: gait
gale: gale,gales
gallant: gallant
gallery: gallery
galley: galleys
gallop: gallop
galvanise: galvanised
gamble: gambled
gambler: gamblers
game: game,games
gamut: gamut
gange: ganges
ganges: ganges
gape: gaping
garden: garden,gardens
gardens: gardens
garment: garments
garnish: garnished
garret: garret
garrison: garrison
gas: gas
gasp: gasped
gate: gate,gates
gather: gathered
gaunt: gaunt
gauze: gauze
gaze: gaze,gazed,gazing
gem: gems
generosity: generosity
generous: generous
generously: generously
genial: genial
genius: genius
gentile: gentiles
gentleman: gentleman,gentlemen
gentlemanly: gentlemanly
gentleness: gentleness
gentler: gentler
gently: gently
genuine: genuine
genuineness: genuineness
geographical: geographical
geography: geography
germany: germany
gesture: gesture,gestures
ghaut: ghauts
ghostly: ghostly
giant: giant
giblet: giblet
gibraltar: gibraltar
gift: gifted
gigantic: gigantic
gilded: gilded
gin: gin
girl: girls
glad: glad
glade: glade
glance: glance,glances
glare: glare
glasgow: glasgow
glass: glass,glasses
glide: glided
glimpse: glimpse,glimpses
glisten: glistened,glistening
glitter: glitter,glittering
globe: globe
glorious: glorious
glove: gloves
glow: glow,glowing
gnash: gnashed
goa: goa
goal: goal
goat: goat
god: god,gods
goddess: goddess
godlike: godlike
golconda: golconda
gold: gold
golden: golden
gong: gongs
goodly: goodly
goodness: goodness
gooseberry: gooseberry
gorgeous: gorgeous
gorgeously: gorgeously
gothic: gothic
gour: gour
gourmand: gourmands
govern: governed
government: government
governor: governor,governors
gown: gowns
gowned: gowned
graceful: graceful
gracefully: gracefully
gracious: gracious
grade: grade,grades
gradually: gradually
grand: grand
grandfather: grandfather
grant: grant,granted
grasp: grasp,grasped
grateful: grateful
gratefully: gratefully
grating: gratings
gratitude: gratitude
grave: grave,gravest
gravitate: gravitated
gray: gray
greatly: greatly
green: green,greenest
greenness: greenness
greenwich: greenwich
greeting: greeting
grenadier: grenadier
grey: grey
greyish: greyish
grief: grief,griefs
grimace: grimace,grimaces
grin: grin,grinning
groan: groans
groin: groin
grossly: grossly
grotto: grottoes
ground: ground
grounds: grounds
grove: groves
grow: grew,grow,growing,grown,grows
growl: growl,growls
growling: growling
grudge: grudge,grudges
grumble: grumbled
grunt: grunted
guard: guard,guards
guess: guess,guessed
guest: guest,guests
guidance: guidance
guide: guide,guided
guilty: guilty
guinea: guineas
gulf: gulf,gulfs
gull: gulls
gun: guns
gunshot: gunshots
gust: gusts
gymnast: gymnast,gymnasts
gymnastic: gymnastic
gymnastics: gymnastics
habiliment: habiliments
habit: habit,habited,habits
habitual: habitual
hack: hack
hag: hag
haggard: haggard
hail: hailed
hair: hair,hairs
hall: hall
halt: halt,halted
hamburg: hamburg
hamlet: hamlet
hand: hand,handed,handing,hands
handful: handful,handfuls
handsome: handsome
handsomely: handsomely
hang: hanging,hung
happen: happen,happened
happily: happily
happiness: happiness
happy: happiest,happy
harbour: harbour
hard: hard
harden: hardened
hardened: hardened
hardship: hardships
hardy: hardy
harm: harm
harmonic: harmonic
harmonious: harmonious
harmonise: harmonised
harmony: harmony
harvest: harvest
haste: haste
hasten: hasten,hastened
hastily: hastily
hasty: hasty
hat: hat,hats
hatless: hatless
hauberk: hauberks
haul: hauled
haunt: haunted
hawk: hawks
haymarket: haymarket
hazard: hazards
head: head,headed,heads
headless: headless
headquarters: headquarters
headway: headway
healthy: healthy
heap: heaped
hear: hear,heard,hearing
hearer: hearers
hearing: hearing
heart: heart,hearts
heartily: heartily
heartless: heartless
hearty: hearty
heat: heated
heaven: heaven,heavens
heavens: heavens
heavenward: heavenward
heavily: heavily
heavy: heavy
hedge: hedges
heel: heel,heels
heh: heh
height: height
heighten: heightened
heinous: heinous
helm: helm
helpless: helpless
hemp: hemp
henrietta: henrietta
herd: herd
hero: heroes
heroine: heroine
heron: herons
hesitate: hesitate,hesitated,hesitating
hesitatingly: hesitatingly
hesitation: hesitation
hew: hewed
hide: hidden
hideous: hideous
highly: highly
highway: highways
hilarious: hilarious
hill: hill,hills
hilly: hilly
himalaya: himalaya
hindoo: hindoo
hint: hints
hip: hip
hiram: hiram
hire: hire
hiss: hissing
historian: historians
historic: historic
history: history
hit: hit,hitting
hitch: hitch
hitherto: hitherto
hoist: hoist,hoisted
hold: held,hold,holding
hole: hole
holland: holland
holy: holiest,holy
homeward: homeward
honest: honest
honesty: honesty
hong: hong
honour: honour,honoured,honours
honourable: honourable
honoured: honoured
hood: hood
hook: hook
hope: hope,hoped,hopes,hoping
hopeful: hopeful
horizon: horizon
horrible: horrible
horribly: horribly
horror: horror
horse: horse,horses
horseback: horseback
horsecar: horsecar
horseman: horsemen
hospitable: hospitable
hospital: hospitals
hostile: hostile
hot: hot
hotel: hotel,hotels
hour: hour,hours
house: house,houses
howdah: howdahs
howl: howl,howling
hubbub: hubbub
huddle: huddled
hudson: hudson
hue: hue
hugo: hugo
hulk: hulk
hull: hull,hulled
hum: hum
human: human
humanity: humanity
humiliate: humiliated
humiliation: humiliation
humour: humour
humph: humph
hunger: hunger
hunt: hunting
hurrah: hurrah,hurrahs
hurriedly: hurriedly
hurry: hurried,hurry
hurt: hurt
husband: husband
hush: hushed
hustle: hustled
hut: hut,huts
hypogea: hypogea
ice: ice
icy: icy
idea: idea,ideas
ideal: ideal
idealise: idealised
identical: identical
identity: identity
idiot: idiot
idiotic: idiotic
ignorant: ignorant
iii: iii
illinois: illinois
illuminate: illuminated
illumine: illumined
illustrated: illustrated
illustrious: illustrious
imaginable: imaginable
imagination: imagination
imagine: imagine,imagined
imitation: imitation
immense: immense
immortal: immortal
immovable: immovable
impart: impart,imparted,imparting
imparted: imparted
impassibility: impassibility
impassible: impassible
impatience: impatience
impatient: impatient
impatiently: impatiently
impede: impeded,impeding
impel: impelled
impenetrable: impenetrable
imperial: imperial
imperil: imperil
impersonation: impersonation
imperturbable: imperturbable
impetus: impetus
implicate: implicated
import: imported
importunate: importunate
impose: imposed,imposing
impossible: impossible
impracticable: impracticable
impress: impressed
imprint: imprint
imprison: imprisoned,imprisoning
imprisonment: imprisonment
improbable: improbable
improvise: improvised
imprudent: imprudent
impunity: impunity
inaccessible: inaccessible
inanimate: inanimate
inaugurate: inaugurated
inauguration: inauguration
incendiary: incendiaries
incessant: incessant
incessantly: incessantly
incident: incident,incidents
incline: inclined
inclined: inclined
include: included,including
inconvenience: inconvenience
increase: increase,increased,increasing
incredulous: incredulous
indefatigably: indefatigably
indemnify: indemnified
independence: independence
independent: independent
india: india
indian: indian,indians
indiana: indiana
indifference: indifference
indignant: indignant
indignation: indignation
indigo: indigo
indispensable: indispensable
indistinctly: indistinctly
individual: individuals
induce: induce,induced
indus: indus
inevitably: inevitably
inexactness: inexactness
infected: infected
infest: infested
influence: influence,influenced
inform: inform,informed
ingenious: ingenious
ingot: ingot
inhabit: inhabit,inhabited
inhabitant: inhabitants
inhale: inhaled,inhaling
injuriously: injuriously
injury: injuries,injury
inn: inn
innocence: innocence
innocent: innocent
inns: inns
innumerable: innumerable
inquire: inquire
inquiry: inquiry
inscribe: inscribed
insect: insects
inseparable: inseparable
insert: inserted
insist: insist,insisted,insisting
insolent: insolent
insolently: insolently
inspect: inspecting
inspection: inspection
inspiration: inspiration
inspire: inspired
install: installed,installing
instance: instance
instant: instant
instantaneous: instantaneous
instantly: instantly
instinct: instinct
instinctively: instinctively
institution: institution,institutions
instruct: instructed
instruction: instruction,instructions
instrument: instrument,instruments
insufficient: insufficient
insult: insulted
insurmountable: insurmountable
insurrection: insurrection
intelligence: intelligence
intelligent: intelligent
intend: intend,intended,intending,intends
intense: intense
intensely: intensely
intensify: intensified
intention: intention
intently: intently
intercept: intercepted
interference: interference
interior: interior
interminable: interminable
international: international
interpret: interpreted
interrupt: interrupt,interrupted,interrupting
interrupted: interrupted
interruption: interruption
interval: interval,intervals
intervention: intervention
interview: interview
intimacy: intimacy
intimate: intimate
intimately: intimately
intoxicate: intoxicated
intoxication: intoxication
intractable: intractable
intrigue: intrigue
intrude: intrude
invade: invaded
invariably: invariably
inveigh: inveigh
inveigle: inveigled
inveterate: inveterate
invisible: invisible
invitation: invitation
invite: invited
involuntary: involuntary
ionic: ionic
iowa: iowa
irish: irish
iron: iron
irregular: irregular
irresistible: irresistible
irresistibly: irresistibly
irretrievable: irretrievable
irrevocably: irrevocably
irrigate: irrigated
irritate: irritating
irritated: irritated
island: island,islands
islands: islands
islet: islets
israel: israel
issue: issue,issued
italian: italian
itinerant: itinerant
itinerary: itinerary
iv: iv
ivory: ivory
ix: ix
jaded: jaded
jagged: jagged
jail: jail
james: james
japan: japan
japanese: japanese
jealousy: jealousy
jean: jean
jeer: jeering
jerk: jerk
jersey: jersey
jet: jet
jetty: jetty
jew: jew
jewel: jewels
jewellery: jewellery
jews: jews
jib: jib
jingle: jingled
joe: joe
john: john
joke: joke,joking
jolly: jolly
jolt: jolted
jordan: jordan
joseph: joseph
jostle: jostled
journal: journal
journey: journey,journeying,journeys
joy: joy,joys
joyful: joyful
joyfully: joyfully
judge: judge
judgment: judgment
judicial: judicial
juggernaut: juggernaut
juggle: juggled
juggler: jugglers
juggling: juggling
jules: jules
jump: jump,jumped,jumping
jumper: jumper
junction: junction
jungle: jungles
junior: junior
junk: junks
justice: justice
justify: justified,justify
justly: justly
kali: kali
kama: kama
kansas: kansas
keel: keel
keen: keen,keenest
kent: kent
key: key
keyhole: keyhole
kidnap: kidnapped
kill: kill,killed
kindly: kindly
kindness: kindness
king: king
kingdom: kingdom
kinswoman: kinswoman
kitchen: kitchens
knave: knave
knee: knees
knife: knife,knives
knit: knit
knock: knock,knocked,knocking
knot: knot,knots
kong: kong
laboriously: laboriously
lac: lac
lace: lace
lack: lack
ladder: ladders
lady: ladies,lady
lake: lake,lakes
lamp: lamp
land: land,landed
landing: landing
landlord: landlord
landmark: landmarks
landscape: landscape
landward: landward
lantern: lanterns
lapse: lapse
laramie: laramie
largeness: largeness
lash: lash,lashes
lashing: lashings
late: late
laugh: laugh,laughed,laughing
laughter: laughter
launch: launched
lavish: lavish
lavishly: lavishly
law: law,laws
lay: laid,lay,laying
lead: leading,led
leaf: leaves
lean: leaned,leaning
leap: leap,leaped,leaping
learn: learn,learned
leave: leave,leaved,leaves,leaving,left
lecture: lecture
left: left
leg: leg,legs
legally: legally
legend: legends
legendary: legendary
legged: legged
legislator: legislators
leisurely: leisurely
lend: lend,lending
leotard: leotard
lessen: lessened
lessening: lessening
letter: letter
level: level,levelled
liability: liability
liberal: liberal
liberate: liberated
liberty: liberty
library: libraries,library
lie: lain,lie,lies,lying
lieutenant: lieutenant,lieutenants
life: life,lives
lift: lift,lifted
light: light,lighted,lighter,lights,lit
lighthouse: lighthouse
lightly: lightly
lightning: lightning
likelihood: likelihood
limb: limbs
limit: limit
limitless: limitless
limpid: limpid
lincoln: lincoln
linen: linen
link: link
lip: lips
liquid: liquid
liquor: liquor
list: list
listen: listen,listened,listening
listener: listener
literature: literature
litter: litters
live: live,lived,lives,living
lively: lively
liverpool: liverpool
load: loaded
loading: loading
loan: loan
lobby: lobby
local: local
locality: localities,locality
lock: lock,locked
locomotion: locomotion
locomotive: locomotive,locomotives
locust: locusts
lodge: lodge,lodged
lofty: lofty
log: log
logical: logical
london: london
londoner: londoner
longing: longing
looker: lookers
loom: loomed,looming
loop: looped
loosen: loosen,loosened
loquacious: loquacious
lord: lord
lose: lose,losing,lost
loss: loss
lot: lot
lotus: lotus
loud: loud
lounge: lounging
love: love
lovely: loveliest
lover: lovers
luck: luck
luckless: luckless
luggage: luggage
lugubrious: lugubrious
luminous: luminous
lump: lumps
lunatic: lunatic
lunch: lunch
lurch: lurch,lurches
lustily: lustily
luxuriant: luxuriant
luxurious: luxurious
lyre: lyre
macao: macao
machine: machine
machinery: machinery
mackintosh: mackintosh
mad: mad
madam: madam
madame: madame
madman: madman
madness: madness
madras: madras
magic: magic
magistrate: magistrate,magistrates
magnificent: magnificent
mahomet: mahomet
maiden: maiden
mail: mail,mails
main: main
maintain: maintain
majestic: majestic
majority: majority
malabar: malabar
malacca: malacca
malays: malays
male: males
malediction: maledictions
mall: mall
manage: manage,managed,managing
management: management
manchester: manchester
mango: mangoes
manifest: manifest,manifested,manifesting
manner: manner
mannered: mannered
manners: manners
mansion: mansion,mansions
mantel: mantel
mantle: mantle
manufacturer: manufacturer
manufacturing: manufacturing
manuscript: manuscript
march: march,marched,marching
mariner: mariner,mariners
mark: mark,marked,marking,marks
market: market
marriage: marriage
marry: married,marry
martyr: martyr
marvel: marvels
marvellous: marvellous
mask: masks
mass: mass,massing
massive: massive
mast: mast,masts
master: master,masters
masterpiece: masterpieces
match: match,matched
material: material
materially: materially
mathematical: mathematical
mathematically: mathematically
matter: matter,mattered
mayor: mayor
meal: meal,meals
measure: measures
meat: meat
mechanic: mechanics
mechanically: mechanically
medicine: medicine
meditate: meditating
meditation: meditation
medium: medium
meet: meet,meeting,met
meeting: meeting
melancholy: melancholy
mell: mell
melodious: melodious
melody: melody
melt: melted,melting
memorable: memorable
memorandum: memoranda,memorandum
memory: memories
menace: menaced
mental: mental
mentally: mentally
mention: mention
merchandise: merchandise
merchant: merchant,merchants
mercury: mercury
mercy: mercy
mere: mere
meridian: meridian,meridians
merry: merry
message: message
messenger: messenger,messengers
met: met
metal: metal
metallic: metallic
meteorologist: meteorologist
method: method,methods
methodical: methodical
methodically: methodically
metropolitan: metropolitan
mew: mew
mexico: mexico
michigan: michigan
midday: midday
middle: middle
midnight: midnight
midst: midst
mighty: mighty
mikado: mikado
mild: mild
mile: mile,miles
military: military
milk: milk
mimosa: mimosa
minaret: minarets
mind: mind,minds
minerva: minerva
mingle: mingle,mingled,mingling
minimum: minimum
minute: minute,minutes
minutely: minutely
miracle: miracle
miraculous: miraculous
misadventure: misadventures
misdemeanour: misdemeanour
miserable: miserable
misery: misery
misfortune: misfortune
misgive: misgiving
misgiving: misgivings
mishap: mishap
missing: missing
mission: mission
missionary: missionary
mississippi: mississippi
missouri: missouri
mist: mist
mistake: mistake,mistaken
mistaken: mistaken
mistrust: mistrust
misty: misty
mitre: mitres
mix: mixed
mixed: mixed
mocha: mocha
mode: modes
model: modelled
moderate: moderate
modern: modern
modest: modest
modesty: modesty
modify: modified
moist: moist
moment: moment,moments
monastery: monasteries
monday: monday
money: money
moneyed: moneyed
mongolia: mongolia
monkey: monkey,monkeys
monsieur: monsieur
monstrous: monstrous
mont: mont
montgomery: montgomery
month: month,months
monument: monument
moon: moon
moonshine: moonshine
moor: moored
mormon: mormon
mormonism: mormonism
mormons: mormons
morning: morning
morrow: morrow
morsel: morsel
mortal: mortal
mortally: mortally
mosaic: mosaic
mosque: mosques
motion: motion,motions
motionless: motionless
motive: motive
motley: motley
mould: mould
mount: mounted,mounting
mountain: mountain,mountains
mountainous: mountainous
mountains: mountains
mountebank: mountebank,mountebanks
mournfully: mournfully
moustache: moustache
mouth: mouth
movable: movable
moveable: moveable
movement: movement,movements
mud: mud
muddy: muddy
multiply: multiplied
multitude: multitude,multitudes
mummy: mummy
murder: murders
murderer: murderer
murmur: murmur,murmured,murmurs
murmuring: murmuring
muscular: muscular
mushroom: mushrooms
music: music
musical: musical
musician: musicians
musket: muskets
muslin: muslin
mutter: muttered,muttering
mutton: mutton
mutual: mutual
muzzle: muzzle
mysterious: mysterious
mystery: mysteries,mystery
mystical: mystical
nagasaki: nagasaki
nail: nail
naked: naked
nakedness: nakedness
nankin: nankin
narcotic: narcotic
narrate: narrated
narrative: narrative
narrow: narrow,narrowed
narrowly: narrowly
nation: nations
nationality: nationalities,nationality
native: native,natives
natural: natural
naturally: naturally
nature: nature
navigator: navigators
neat: neat
nebraska: nebraska
necessity: necessity
neck: neck
needless: needless
negotiable: negotiable
negro: negroes
neighbour: neighbour,neighbouring
neptune: neptune
nerve: nerve
nervous: nervous
nervously: nervously
nest: nests
neutrality: neutrality
nevada: nevada
newcomer: newcomer
newfoundland: newfoundland
news: news
newspaper: newspapers
nicholas: nicholas
nigh: nigh
night: night,nights
nineteen: nineteen
ninth: ninth
nizam: nizam
noble: noble
nod: nodded
noise: noise
noiselessly: noiselessly
noisily: noisily
nominate: nominate
nonsense: nonsense
noon: noon
north: north
northeasterly: northeasterly
northern: northern
northward: northward
northwest: northwest
norway: norway
nose: nose,noses
note: note,notes,noting
notice: notice,noticed,notices
noticeable: noticeable
notify: notify
nourished: nourished
nourishment: nourishment
november: november
nowadays: nowadays
numerous: numerous
nutmeg: nutmeg
oakland: oakland
oath: oath,oaths
obadiah: obadiah
obedience: obedience
obedient: obedient
obey: obey,obeyed
object: object,objected,objects
obligation: obligation
oblige: oblige,obliged,obliging
obscure: obscure
observation: observation
observe: observe,observed,observing
observer: observer
obstacle: obstacle,obstacles
obstinate: obstinate
obstinately: obstinately
obstruct: obstruct
occasion: occasion,occasioned
occasional: occasional
occasionally: occasionally
occupant: occupant,occupants
occupation: occupation
occupy: occupied,occupying
occur: occur,occurred
occurrence: occurrences
ocean: ocean
ochre: ochre
octave: octave
october: october
odd: odd
oddity: oddity
odorous: odorous
odourless: odourless
offence: offence
offend: offended
offensive: offensive
offer: offer,offered,offering
office: office
officer: officer,officers
official: official,officials
ogre: ogre
ohio: ohio
oil: oil
omaha: omaha
omnibus: omnibus,omnibuses
operation: operation,operations
opinion: opinion
opium: opium
opponent: opponent
opportune: opportune
opportunity: opportunity
orbit: orbit
orchestra: orchestra
ordinary: ordinary
oregon: oregon
oriental: oriental
original: original
ornament: ornament,ornamented,ornaments
ornamentation: ornamentation
orphan: orphan
otter: otter
outlaw: outlaws
outlet: outlet
outline: outline,outlines
outraged: outraged
outrageously: outrageously
outright: outright
outspoken: outspoken
outward: outward
overcast: overcast
overcoat: overcoat
overcome: overcome
overflow: overflowing
overhang: overhanging
overhear: overheard
overlook: overlooked
overnight: overnight
overspread: overspread
overtake: overtake,overtaken
overturn: overturned,overturning
overwhelm: overwhelmed
overwhelmed: overwhelmed
owe: owed,owes
owner: owner,owners
oxidise: oxidised
oyster: oyster
pablo: pablo
pace: pace,paces
pacific: pacific
pacing: pacing
pack: pack,packed,packs
package: package,packages
packet: packet
paddle: paddle,paddles
pagoda: pagoda,pagodas
pain: pains
paint: painted
painting: paintings
pair: pair,pairs
palanquin: palanquin,palanquins
palatable: palatable
palatial: palatial
pale: pale
paling: palings
palisade: palisades
pall: pall
pallor: pallor
palm: palm,palms
panorama: panorama
panther: panthers
pantry: pantries
paper: paper,papers
papuan: papuans
papyrus: papyrus
par: par
parade: parade
paradise: paradise
parallel: parallel,parallels
paralytic: paralytic
parbleu: parbleu
pardon: pardon
pardonable: pardonable
paris: paris
parish: parish
parisian: parisian
park: park
parliament: parliament
paroxysm: paroxysm
parsee: parsee
partake: partake,partaken
parterre: parterres
partner: partner,partners
partridge: partridge
party: parties,party
pass: pass,passed,passes,passing
passage: passage
passenger: passenger,passengers
passer: passers
passing: passing
passion: passion,passions
passionate: passionate
passport: passport,passports
passports: passports
pastime: pastime,pastimes
path: path,paths
pathetically: pathetically
patience: patience
patiently: patiently
patrol: patrol
patronage: patronage
pattern: pattern
pavilion: pavilions
pawnees: pawnees
pay: paid,pay,paying
payment: payment
peace: peace
peaceable: peaceable
peacefully: peacefully
peak: peak
pearl: pearls
pebble: pebble
peculiar: peculiar
pecuniary: pecuniary
peer: peering
pelican: pelicans
pelisse: pelisse
pell: pell
pen: pens
pendulum: pendulum
penetrate: penetrated,penetrating
peninsula: peninsula
peninsular: peninsular
pennsylvania: pennsylvania
penny: penny
pensive: pensive
people: peopled
pepper: pepper
perambulate: perambulating
perceive: perceive,perceived,perceiving
percentage: percentage
perceptible: perceptible
perch: perched
perfect: perfect
perfectly: perfectly
perform: performed,performing
performance: performance,performances
performer: performer
perfume: perfume,perfumes
perilous: perilous
period: period
perish: perish
peristyle: peristyles
permanently: permanently
permission: permission
permit: permit,permitted,permitting
pernicious: pernicious
perpendicular: perpendicular
perpetual: perpetual
perplexed: perplexed
persecution: persecutions
persecutor: persecutors
persian: persians
persist: persisted
persistency: persistency
persistent: persistent
persistently: persistently
person: people,person,persons
personage: personage,personages
personal: personal
personally: personally
personify: personified
perspective: perspective
persuade: persuade,persuading
pert: pert
peru: peru
perusal: perusal
pet: pet
petroleum: petroleum
phantom: phantom
phase: phases
philosophically: philosophically
phlegm: phlegm
phlegmatic: phlegmatic
phosphorescent: phosphorescent
photograph: photograph
phrase: phrase,phrases
physical: physical
piano: pianos
pick: pick,picked
pickaroon: pickaroon
picturesque: picturesque
piece: piece,pieces
pier: pier
pierce: pierce,pierced
pigeon: pigeons
pilgrim: pilgrims
pillage: pillage,pillaged
pillaging: pillaging
pillow: pillows
pilot: pilot
pin: pins
pinch: pinch
pine: pines
pioneer: pioneer
pious: pious
pipe: pipe,pipes
pirate: pirate
pistol: pistols
piston: piston
pitch: pitch,pitched,pitches
pitching: pitching
pity: pitied,pity
placard: placard
placid: placid
placidly: placidly
plain: plain,plains
plainly: plainly
plaintively: plaintively
plan: plan,planning,plans
plank: plank,planks
plant: plant,plants
plantation: plantations
plate: plates
platform: platform,platforms
plausible: plausible
play: play,played,playing,plays
player: player,players
playing: playing
pleasant: pleasant
pleased: pleased
plentiful: plentiful
plentifully: plentifully
plenty: plenty
plough: ploughed
plum: plum
plumed: plumed
plunder: plunder
plunge: plunged,plunges,plunging
ply: plied,ply,plying
pocket: pocket,pocketed,pockets
poet: poet
poetical: poetical
pole: pole,poles
police: police
policeman: policeman,policemen
policy: policy
polished: polished
polite: polite
politely: politely
politeness: politeness
political: political
politics: politics
polygamist: polygamists
polygamy: polygamy
polygonal: polygonal
ponderous: ponderous
pony: ponies
poodle: poodles
poop: poop
poor: poor
popular: popular
populate: populated
population: population
porcelain: porcelain
porch: porches
pork: pork
porphyry: porphyry
port: port,ports
porter: porter,porters
portico: portico
portion: portion
portly: portly
portrait: portrait
portuguese: portuguese
position: position
positively: positively
possess: possessed
possession: possession,possessions
possibility: possibilities
post: post
poster: posters
postpone: postpone,postponed
pounce: pounce
pound: pounding,pounds
powdering: powdering
power: power,powers
powerful: powerful
practicable: practicable
practically: practically
practice: practice,practices
practise: practised
prairie: prairie,prairies
preach: preach
preamble: preamble
precaution: precaution,precautions
precede: preceded
precious: precious
precipice: precipices
precipitate: precipitated
precisely: precisely
precision: precision
predecessor: predecessor
predict: predict,predicted
prediction: prediction,predictions
prefer: preferred
premature: premature
prematurely: prematurely
premium: premium
preoccupied: preoccupied
preparation: preparations
prepare: prepared,preparing
prepared: prepared
prescribe: prescribed
presence: presence
presentable: presentable
presentiment: presentiment
presently: presently
preserve: preserve,preserved,preserving
presidency: presidency
president: president
press: press,pressed,pressing
pressure: pressure
presumption: presumptions
pretend: pretend,pretended,pretending
pretension: pretensions
pretext: pretext
pretty: pretty
prevail: prevail
prevent: prevent,preventing
price: price
prickly: prickly
pride: pride,prided
priest: priest,priests
priests: priests
prince: prince,princes
principal: principal
principally: principally
print: printed
prior: prior
prison: prison
prisoner: prisoner,prisoners
private: private
prize: prize,prizes
probability: probabilities
probable: probable
proceed: proceed,proceeded,proceeding
proceeding: proceeding
proceedings: proceedings
process: process
procession: procession,processions
proctor: proctor
procure: procure,procured
prodigal: prodigal
prodigious: prodigious
prodigiously: prodigiously
prodigy: prodigy
produce: produced
product: product,products
profession: profession,professions
professional: professional
professor: professor
proffer: proffered
profile: profile
profit: profit,profiting
profitable: profitable
profoundly: profoundly
programme: programme
progress: progress,progressing
project: project,projects
prolonged: prolonged
promenade: promenade,promenading
promise: promised,promising
promontory: promontory
prompt: prompt
pronounce: pronounce,pronounced,pronouncing
proof: proof
proper: proper
properly: properly
prophecy: prophecies
prophet: prophet,prophets
propitiate: propitiating
propitious: propitious
proposal: proposal
propose: propose,proposed
proposer: proposer
proprietor: proprietor
proselyte: proselytes
prospect: prospect
prosperity: prosperity
prosperously: prosperously
prostrate: prostrate,prostrated
prostration: prostration
protect: protect,protected,protects
protection: protection
protector: protector
protest: protested
protrude: protruding
proudly: proudly
prove: prove,proved,proving
provide: provide
province: province,provinces
provision: provisions
provocation: provocation
prudence: prudence
prudent: prudent
psalm: psalm
pshaw: pshaw
public: public
publish: published
puff: puffing,puffs
pugilistic: pugilistic
pull: pull,pulled
pulp: pulp
pulsation: pulsations
pump: pump
punctual: punctual
punctuality: punctuality
punctually: punctually
punish: punished,punishes
pupil: pupils
purchase: purchase,purchased,purchases,purchasing
pure: pure,purest
purely: purely
purity: purity
purple: purple
purpose: purpose,purposes
purposely: purposely
purse: purse,purses
purser: purser
pursue: pursue,pursued,pursuing
pursuit: pursuit
push: push,pushed,pushing
puzzle: puzzled
puzzled: puzzled
pyramid: pyramid
pyre: pyre
quail: quails
quaint: quaint
quality: qualities,quality
quarrel: quarrel
quarter: quarter,quarters
quay: quay,quays
queen: queen
queer: queer
queerly: queerly
quench: quenching
query: queried
quest: quest
question: question,questioned,questions
quiet: quiet
quietly: quietly
quit: quit,quitted,quitting
quota: quota
quote: quoted
rabbit: rabbit
race: race,races
racehorse: racehorse
racing: racing
radiant: radiant
raft: rafts
rag: rags
rage: rage,raged,rages,raging
ragged: ragged
rail: rail,rails
railing: railing,railings
raillery: raillery
railroad: railroad
railroads: railroads
railway: railway,railways
rain: rain,rains
raise: raised,raising
raja: rajahs
rajah: rajah
ralph: ralph
ranch: ranches
range: range,ranged
rangoon: rangoon
rank: ranks
rap: rap,rapped
rapid: rapid,rapids
rapidity: rapidity
rapidly: rapidly
rare: rare
rarely: rarely
rascal: rascal
rascally: rascally
rash: rash
rashly: rashly
rate: rate
rational: rational
rattle: rattled
ravages: ravages
raven: ravens
ravenously: ravenously
ravish: ravished
ray: rays
reach: reach,reached,reaches,reaching
read: read,reading
reader: reader,readers
readiness: readiness
reading: reading
ready: ready
real: real
realise: realise
reality: reality
reappear: reappear,reappeared
reappearance: reappearance
rear: rear,reared
rearguard: rearguard
reason: reason,reasoned,reasons
reassure: reassure,reassured
