abandon: abandon,abandons
dastard: dastard,dastards
datum: data
daughter: daughter,daughters
daunt: daunt
dauntless: dauntless
dawn: dawn,dawning,dawns
day: day,days
dazzle: dazzled,dazzling
dazzling: dazzling
dead: dead
deaden: deaden
deadly: deadly
deaf: deaf
deafening: deafening
deal: deal,dealing,deals,dealt
dearest: dearest
dearly: dearly
death: death,deaths
deathful: deathful
deathless: deathless
debate: debate,debates,debating
debt: debt
decade: decades
decay: decay,decays
decease: deceased
deceased: deceased
deceit: deceit,deceits
deceitful: deceitful
deceive: deceive,deceived,deceives
decent: decent
deception: deception,deceptions
decide: decide,decided
decisive: decisive
deck: deck,decks
declare: declare,declared,declares,declaring
decline: decline,declined,declines,declining
declivity: declivity
decorate: decorate,decorated,decorating
decree: decree,decreed,decrees
dedicate: dedicate,dedicates
deductible: deductible
deed: deed,deeds
deedless: deedless
deem: deem,deemed,deems
deep: deep,deeper,deepest,deeps
deepen: deepening,deepens
deeply: deeply
deer: deer
deface: deface,defaced
defaced: defaced
defame: defame
defeat: defeat,defeated
defect: defect,defects
defective: defective
defence: defence,defences
defend: defend,defended,defends
defender: defender,defenders
defending: defending
defensive: defensive
defer: defer,deferring
deference: deference
defiance: defiance
defile: defiled
definitively: definitively
deform: deform,deformed,deforms
deformity: deformities
defraud: defraud,defrauded,defrauding,defrauds
defy: defied,defies,defy,defying
degeneracy: degeneracy
degenerate: degenerate,degenerates
degrade: degrade
degree: degree,degrees
deign: deign
deiphobus: deiphobus
deity: deities,deity
dejected: dejected
del: del
delay: delay,delayed,delays
delegate: delegates
deletion: deletions
delian: delian
deliberate: deliberate
delicacy: delicacy
delicate: delicate
delicious: delicious
delight: delight,delighted,delighting,delights
delighted: delighted
delightful: delightful
deliver: deliver,delivered
deliverer: deliverer
delivery: delivery
delude: delude,deluded,deludes,deluding
deluge: deluge,deluged,deluges
demand: demand,demanded,demands
demi: demi
demodocus: demodocus
demon: demon
den: den,dens
denial: denial
denote: denotes
denounce: denounced,denouncing
dense: dense
deny: denied,denies,deny
depart: depart,departs
department: department
departure: departure,departures
depend: depend,depended,depends
dependent: dependent
depict: depicted
depicture: depictured
deplore: deplore,deplored
depopulate: depopulate,depopulates
deportment: deportment
deprecate: deprecate
depress: depress
deprive: deprive,deprived,deprives
depth: depth
depths: depths
depute: deputed,deputes
deride: deride,derides
derision: derision
derivative: derivative
derive: derive,derived,derives,deriving
derogate: derogated
derogatory: derogatory
descend: descend,descended,descending,descends
descendant: descendant,descendants
descent: descent
description: description,descriptions
descriptive: descriptive
descry: descried,descries,descry
desert: desert,deserted,deserting,deserts
deserted: deserted
deserter: deserters
deserting: deserting
deserve: deserve,deserved,deserves
deserved: deserved
deserving: deserving
design: design,designed,designing,designs
designate: designating
designedly: designedly
desire: desire,desired,desires,desiring
desirous: desirous
desist: desist,desists
desolate: desolate
desolated: desolated
desolation: desolation
despair: despair
despairing: despairing
despatch: despatch,despatched
desperate: desperate
despise: despise,despised
despoil: despoil,despoiled
despotism: despotisms
destin: destin
destine: destined
destiny: destinies,destiny
destitute: destitute
destroy: destroy,destroyed,destroying,destroys
destroyer: destroyer
destruction: destruction
destructive: destructive
destry: destrier
detach: detach
detain: detain,detained,detains
detect: detect,detected,detecting
deter: deterred,deters
determinate: determinate
determination: determination
determine: determine,determined,determines,determining
detest: detest,detested,detests
dethrone: dethrone
detract: detracts
detraction: detraction
deucalion: deucalion
develop: develop,developed
development: development
deviate: deviated,deviating
device: device,devices
devious: devious
devolve: devolve,devolves
devote: devoted
devoted: devoted
devotedness: devotedness
devotion: devotion
devotions: devotions
devour: devour,devouring,devours
devoutly: devoutly
dew: dew,dews
dewy: dewy
dexter: dexter
dexterous: dexterous
di: di
diadem: diadem
dialect: dialect,dialects
dian: dian
diana: diana
dictate: dictated,dictates
diction: diction
dictionary: dictionary
dido: dido
didst: didst
die: die,died,dies,dying
dier: dier
diet: diet
difference: difference,differences
difficult: difficult
difficulty: difficulties,difficulty
diffuse: diffused
digamma: digamma
digest: digest
dignified: dignified
dignity: dignity
diligence: diligence
diligently: diligently
dim: dim,dims
diminish: diminish
din: din
dine: dine
dinner: dinner
diogenes: diogenes
diomedes: diomedes
dion: dion
dione: dione
dionysus: dionysus
dip: dip
diphthong: diphthongs
dire: dire
direct: direct,directed,directs
directing: directing
direction: directions
direful: direful
dirt: dirt
disabled: disabled
disagree: disagree
disagreeable: disagreeable
disappear: disappears
disappoint: disappoints
disappointed: disappointed
disappointment: disappointment
disapprove: disapprove
disarm: disarm,disarms
disarray: disarray
disaster: disaster,disasters
discern: discern,discerned
discernible: discernible
discerning: discerning
discharge: discharge,discharged
discipline: discipline
disclaim: disclaim,disclaimed,disclaiming
disclaimer: disclaimer,disclaimers
disclose: disclose,disclosed
disconsolate: disconsolate
discontent: discontent
discontented: discontented
discontinue: discontinue
discord: discord
discourage: discouraged
discouraged: discouraged
discourse: discourse,discourses
discover: discover,discovered,discovering,discovers
discoverable: discoverable
discovery: discoveries,discovery
discreetly: discreetly
discrepancy: discrepancy
discretion: discretion
discus: discus
discussion: discussion,discussions
disdain: disdain,disdains
disdainful: disdainful
disease: disease,diseases
diseased: diseased
disengage: disengage
disfigure: disfigure
disfigured: disfigured
disgorge: disgorges
disgrace: disgrace
disgraced: disgraced
disgraceful: disgraceful
disguise: disguise,disguised
disguised: disguised
dishearten: disheartens
dishonest: dishonest
dishonour: dishonour,dishonoured
disjointed: disjointed
disk: disk
dislike: dislike
dismal: dismal
dismay: dismay
dismember: dismember
dismiss: dismiss,dismissed
disobedience: disobedience
disobey: disobey
disorder: disorder
dispel: dispel,dispels
dispensation: dispensations
dispense: dispense,dispensed,dispensing
disperse: disperse,dispersed,dispersing
dispirit: dispirit
display: display,displayed,displaying,displays
displease: displeased
displeased: displeased
displeasure: displeasure
disposal: disposal
dispose: dispose,disposed,disposes,disposing
disposed: disposed
disposer: disposer
disposition: disposition
disprove: disproving
dispute: dispute,disputed
disputed: disputed
disqualification: disqualification
disquiet: disquiet
disrespect: disrespect
disrobe: disrobes
dissatisfaction: dissatisfaction
dissect: dissected
dissemble: dissembled
dissertation: dissertation
dissolve: dissolve,dissolved,dissolving
dissuade: dissuade
distain: distain
distance: distance,distanced
distant: distant
distaste: distaste
distemper: distemper
distend: distend
distended: distended
distil: distil,distilling,distils
distill: distill
distinct: distinct
distinction: distinction,distinctions
distinctive: distinctive
distinctly: distinctly
distinguish: distinguish,distinguished,distinguishes,distinguishing
distinguished: distinguished
distinguishing: distinguishing
distort: distorted
distract: distract,distracted
distracted: distracted
distracting: distracting
distress: distress,distressed
distressed: distressed
distressful: distressful
distribute: distribute,distributed,distributes,distributing
distribution: distribution
distributor: distributor
disturb: disturb,disturbed,disturbs
disunite: disunite
ditch: ditch
dive: dive,dove
diver: divers
divergence: divergences
diverse: diverse
diversify: diversified
diversity: diversity
divert: diverting,diverts
divest: divests
divide: divide,divided,divides,dividing
divided: divided
divine: divine,divined
divinely: divinely
divinity: divinity
division: division
dizzy: dizzy
doctrine: doctrine
document: document
dodona: dodona
dodonaean: dodonaean
dog: dog,dogs
doleful: doleful
dolour: dolours
dolphin: dolphin,dolphins
domain: domain,domains
dome: dome,domes
domestic: domestic
dominion: dominion,dominions
domitian: domitian
donate: donate
donation: donation,donations
donne: donne
donor: donors
doom: doom,dooms
door: door,doors
doric: doric
doris: doris
dost: dost
dotard: dotards
doth: doth
doto: doto
double: double,doubled,doubling
doubling: doubling
doubly: doubly
doubt: doubt,doubted,doubting,doubts
doubtless: doubtless
dove: dove,doves
dower: dower
download: downloading
downward: downward
downy: downy
drag: drag,dragged,dragging,drags
dragon: dragon,dragons
drain: drain
drama: drama,dramas
dramatic: dramatic
dramatis: dramatis
dramatise: dramatised
draught: draught,draughts
draw: draw,drawing,drawn,draws,drew
drawing: drawings
dread: dread,dreads
dreadful: dreadful
dream: dream,dreamed,dreams,dreamt
drear: drear
dreary: dreary
dregs: dregs
drench: drench
dress: dress,dressed
drew: drew
drift: drifts
drink: drank,drink,drinks
drip: drip
drive: drive,driven,drives,driving,drove
driven: driven
driver: driver,drivers
droop: droop,drooping
drooping: drooping
drop: drop,dropping,drops
dropping: dropping
drove: droves
drown: drown,drowning,drowns
drudging: drudging
drunk: drunk
dry: dried,dries,dry
dryad: dryad
dryas: dryas
dryops: dryops
dubious: dubious
duci: duci
ductile: ductile
duel: duel
duke: duke
dull: dull,dulls
dulness: dulness
dumb: dumb
dung: dung
dungeon: dungeon,dungeons
durable: durable
duration: duration
durst: durst
dusky: dusky
dust: dust
dusty: dusty
duteous: duteous
duty: duties,duty
dwell: dwell,dwelling,dwells,dwelt
dweller: dwellers
dwelling: dwelling,dwellings
dyce: dyce
dye: dye,dyed,dyes
dynameter: dynameter
eager: eager
eagerly: eagerly
eagle: eagle,eagles
ear: ear,ears
earl: earl
earn: earned
earnest: earnest
earring: earrings
earth: earth
earthly: earthly
earthquake: earthquake,earthquakes
ease: ease,eased
easily: easily
east: east
eastern: eastern
easy: easier,easy
eat: ate,eating
ebb: ebbing
echo: echo,echoed,echoes,echoing
economy: economy
eddy: eddies
edge: edge,edged,edging
edict: edict
edition: edition,editions
editorial: editorial
edmund: edmund
educate: educated
education: education
educational: educational
edward: edward
eel: eels
efface: efface
effeminate: effeminate
effervescence: effervescence
efficacious: efficacious
effort: effort,efforts
effulgence: effulgence
effuse: effused
effusion: effusion
ego: ego
egypt: egypt
egyptian: egyptian
eighteenth: eighteenth
eighth: eighth
eiresione: eiresione
eject: ejecting,ejects
elaborate: elaborate
elapse: elapsed
elate: elate
elated: elated
elbow: elbow,elbows
eld: elder,eldest
elder: elder,elders
elect: elect,elected
electronic: electronic
electronically: electronically
electrum: electrum
elegance: elegance
elegant: elegant
elegiac: elegiac
element: element,elements
elevate: elevate,elevated
elevated: elevated
elevation: elevation
eleventh: eleventh
elicit: eliciting
ellipsis: ellipsis
elm: elm,elms
elocution: elocution
eloquence: eloquence
eloquently: eloquently
elude: elude,eluded,eludes
email: email
emanate: emanated
emanation: emanation
emancipate: emancipate
embalm: embalm
embark: embark,embarked
embarrassing: embarrassing
embassy: embassy
embattle: embattled
embattled: embattled
embellishment: embellishment,embellishments
ember: embers
emblaze: emblaze,emblazed
embody: embodied
embolden: embolden
emboss: emboss
embost: embost
embower: embowering
embrace: embrace,embraced,embraces,embracing
embroider: embroider
embroidery: embroidery
embrown: embrown
embrue: embrued
emendation: emendations
emerge: emerged,emerging
emergency: emergency
eminent: eminent
eminently: eminently
emit: emits
emotion: emotion,emotions
emphatic: emphatic
emphatically: emphatically
empire: empire,empires
employ: employ,employed,employing,employs
employee: employee,employees
employment: employments
empress: empress
empyreal: empyreal
emulate: emulate,emulated
emulation: emulation
en: en
enable: enable,enabled,enables,enabling
enact: enact,enacts
enamour: enamour
encamp: encamp,encamped
encase: encased
enchant: enchant
enchantment: enchantment
enchase: enchased
encircle: encircled
enclose: enclose,enclosed
encode: encoding
encompass: encompass,encompassed
encounter: encounter,encountering,encounters
encourage: encourage,encouraged,encourages
encourager: encouragers
encumber: encumber,encumbered
encycl: encycl
endanger: endangered
endearing: endearing
endeavour: endeavour,endeavoured,endeavouring
endless: endless
endowment: endowments
endue: endue,endued,endues
endure: endure,endured,enduring
enemy: enemies,enemy
energy: energy
enfeeble: enfeebled
enfold: enfold
engage: engage,engaged,engages
engaged: engaged
engagement: engagement,engagements
engaging: engaging
engine: engines
english: english
engrafted: engrafted
engross: engross
enhance: enhance,enhanced,enhancing
enigma: enigma
enjoin: enjoin,enjoins
enjoy: enjoy,enjoyed,enjoys
enjoyment: enjoyment
enlarge: enlarge,enlarged
enlighten: enlighten,enlightening
enlightenment: enlightenment
enlist: enlists
enlivened: enlivened
enmity: enmities
ennoble: ennobled,ennobling
ennobling: ennobling
enormous: enormous
enrage: enraged
enraged: enraged
enrich: enrich
ensanguined: ensanguined
enshrine: enshrined
ensign: ensign,ensigns
enslave: enslave,enslaved
ensue: ensue,ensues,ensuing
ensure: ensure,ensuring
entail: entails
entangled: entangled
enter: enter,entered,entering,enters
entering: entering
enterprise: enterprise
entertain: entertain,entertained,entertains
entertained: entertained
entertaining: entertaining
entertainment: entertainment
enthrone: enthroned
enthusiasm: enthusiasm
enthusiast: enthusiast
entire: entire
entity: entity
entrail: entrails
entrails: entrails
entrance: entrance,entranced
entrancing: entrancing
entreat: entreat,entreats
entreating: entreating
entreaty: entreaties,entreaty
entrenchment: entrenchments
entry: entry
enumerate: enumerate
enumeration: enumeration
enunciator: enunciator
envenom: envenom
envied: envied
envious: envious
environ: environs
envoy: envoy
envy: envied,envies,envy
enwrap: enwrap
epeus: epeus
ephialtes: ephialtes
epi: epi
epic: epic,epics
epical: epical
epigoni: epigoni
epigram: epigrams
episode: episode,episodes
epistle: epistle
epitaph: epitaph
epithet: epithet,epithets
epoch: epoch
equal: equal,equalled,equals
equality: equality
equally: equally
equipment: equipment
equivalent: equivalent
equivocation: equivocation
erase: erased
ere: ere
erect: erect,erected
eris: eris
err: err,erred,erring
error: error,errors
escape: escape,escaped,escapes,escaping
esoteric: esoteric
especial: especial
espouse: espoused,espousing
espy: espied,espies
essay: essay,essays
essential: essential
essentially: essentially
establish: established
esteem: esteem,esteemed
estimate: estimated
estimation: estimation
eternal: eternal
ether: ether
ethereal: ethereal
ethic: ethic
ethiopia: ethiopia
ethiopian: ethiopian,ethiopians
ethiops: ethiops
etiquette: etiquette
etymology: etymology
eulogize: eulogized
euripides: euripides
europa: europa
europe: europe
euryalus: euryalus
eurystheus: eurystheus
eurytus: eurytus
euxine: euxine
evade: evade
eve: eve
evening: evening
event: event,events
everlasting: everlasting
evidence: evidence,evidences
evident: evident
evidently: evidently
evil: evil,evils
evince: evinced
ewe: ewe
ewer: ewer
exact: exact
exacting: exacting
exaction: exactions
exactitude: exactitude
exactness: exactness
exaggeration: exaggeration
exalt: exalt,exalted,exalts
examination: examination,examinations
examine: examined,examines,examining
exceed: exceed,exceeding,exceeds
exceedingly: exceedingly
excel: excel,excelled,excels
excellence: excellence,excellences
excellent: excellent
excellently: excellently
exception: exception,exceptions
excess: excess
excessive: excessive
exchange: exchange
excite: excite,excites
exciting: exciting
exclaim: exclaim,exclaims
exclusion: exclusion
excursion: excursion
excusable: excusable
excuse: excuse,excused
execute: execute,executed
execution: execution
exempt: exempt,exempted
exercise: exercise,exercised,exercises
exert: exert,exerted,exerting,exerts
exhalation: exhalation,exhalations
exhale: exhale,exhaling
exhaust: exhaust
exhausted: exhausted
exhaustless: exhaustless
exhibit: exhibit,exhibited,exhibiting
exhort: exhort,exhorting,exhorts
exile: exile,exiled,exiles
exist: exist,existed,existing,exists
existence: existence
existent: existent
exit: exit
exp: exp
expand: expanded,expanding
expanse: expanse
expansion: expansion
expatiate: expatiate
expect: expect,expected,expecting,expects
expedient: expedient
expedition: expedition,expeditions
expel: expel,expelled,expels
expend: expend
expense: expense,expenses
experience: experience,experienced
experienced: experienced
expert: expert
expiate: expiate
expire: expire,expired,expires,expiring
explain: explain,explained,explains
explanation: explanation,explanations
explication: explications
exploit: exploits
explore: explore,explored,explores,exploring
export: exporting
exportation: exportation
expose: expose,exposed
exposition: exposition
express: express,expressed,expresses,expressing
expression: expression,expressions
expressive: expressive
expressly: expressly
expunge: expunging
exquisite: exquisite
extant: extant
extemporaneous: extemporaneous
extend: extend,extended,extending,extends
extended: extended
extension: extension
extensive: extensive
extent: extent
external: external
extinct: extinct
extinguish: extinguish
extirpate: extirpate
extoll: extoll
extract: extract,extracting,extracts
extraordinary: extraordinary
extravagance: extravagance
extreme: extremes
extremely: extremely
extremest: extremest
extremity: extremity
extricate: extricate
exuberant: exuberant
exult: exult,exulting,exults
exulting: exulting
eye: eye,eyes
eyeball: eyeballs
eyebrow: eyebrow
eyed: eyed
eyelid: eyelids
fa: fa
fab: fab
fable: fable,fables
fabled: fabled
fabric: fabric
facility: facilities,facility
faction: factions
factious: factious
faculty: faculty
fade: fade,faded,fades
fail: fail,failed,failing,fails
fain: fain
faint: faint,fainted,fainter,fainting,faints
fainting: fainting
faintly: faintly
fair: fair,fairer,fairest
fairy: fairies
faith: faith
faithful: faithful
faithless: faithless
falchion: falchion,falchions
falcon: falcon,falcons
fall: fall,fallen,falling,falls,fell
fallacious: fallacious
fallacy: fallacy
fallen: fallen
fallow: fallow
falls: falls
false: false
falsehood: falsehood
falsely: falsely
falter: faltering
fama: fama
fame: fame,famed
famed: famed
familiar: familiar
familiarize: familiarize
family: families,family
famine: famine
famish: famish
famous: famous
fan: fan,fans
fancied: fancied
fanciful: fanciful
fancifully: fancifully
fancy: fancied,fancy
fane: fane,fanes
fare: fare,fares
farewell: farewell
farm: farm
farth: farthest
fashion: fashion
fast: fast,faster,fasts
fasten: fasten,fastened,fastens
fat: fat,fattest
fatal: fatal
fate: fate,fated,fates
fated: fated
fateful: fateful
fates: fates
father: father,fathers
fatigue: fatigue
fatten: fatten
fault: fault,faults
faultless: faultless
favor: favor
favour: favour,favouring,favours
favourable: favourable
favoured: favoured
favouring: favouring
favourite: favourite
fawn: fawn,fawns
fear: fear,fears
fearful: fearful
fearless: fearless
feast: feast,feasted,feasts
feasting: feasting
feat: feats
feather: feather,feathers
feature: feature,features
fecundity: fecundity
fed: fed
federal: federal
fee: fee,fees
feeble: feeble,feebler
feebly: feebly
feed: fed,feed,feeding,feeds
feeding: feeding
feel: feel,feeling,feels
feeling: feeling,feelings
felicity: felicity
felix: felix
fell: fell,felling,fells
fellow: fellow,fellows
female: female,females
fen: fen,fens
fence: fenced,fences
fencing: fencing
fenny: fenny
ferocious: ferocious
feronia: feronia
ferret: ferret
fertile: fertile
fertilize: fertilizing
fervent: fervent
fervid: fervid
festering: festering
festival: festival,festivals
fetch: fetch,fetched
fetlock: fetlocks
fetter: fetters
feud: feuds
feudal: feudal
fever: fevers
fibre: fibres
fiction: fiction,fictions
fictitious: fictitious
field: field,fields
fiend: fiend,fiends
fierce: fierce,fiercer,fiercest
fiercely: fiercely
fiery: fiery
fifteenth: fifteenth
fig: fig,figs
fight: fight,fighting,fights,fought
fighting: fighting
figurative: figurative
figure: figure,figured,figures
figured: figured
file: file,files
filial: filial
fillet: fillets
film: film
filth: filth
final: final
finally: finally
financial: financial
fine: fine,finest
finely: finely
finger: finger,fingers
finish: finish,finished
fir: fir,firs
firm: firm,firmest
firmament: firmament
firmly: firmly
firmness: firmness
firs: firs
firstling: firstlings
fish: fish,fishes
fisherman: fisherman,fishermen
fit: fit,fits,fitted,fitting
fitness: fitness
fitting: fitting
flag: flagging
flaggy: flaggy
flagitious: flagitious
flaky: flaky
flame: flame,flamed,flames,flaming
flaming: flaming
flamy: flamy
flank: flank,flanked
flash: flash,flashes,flashing
flashing: flashing
flat: flat,flatter
flatness: flatness
flatterer: flatterers
flattering: flattering
flattery: flattery
flavourous: flavourous
flax: flax
flaxman: flaxman
flea: flea
flee: fled
fleece: fleece,fleeces
fleecy: fleecy
fleet: fleet,fleetest,fleets
fleeting: fleeting
fleetness: fleetness
flesh: flesh
flexion: flexions
flight: flight,flights
fling: fling,flings,flung
flinty: flinty
flit: flit,flits
float: float,floated,floating,floats
flock: flock,flocks
flocks: flocks
flood: flood,floods
floor: floor,floors
florian: florian
flounce: flounce,flouncing
flounder: floundering
flour: flour
flourish: flourish,flourished,flourishes
flow: flow,flowing,flows
flower: flower,flowering,flowers
floweret: flowerets
flowery: flowery
fluctuate: fluctuates
fluency: fluency
fluid: fluids
flung: flung
flush: flush
flute: flute
flutter: fluttering,flutters
flux: flux
fly: flew,flies,fliest,fly,flying
flying: flying
foal: foals
foam: foam,foaming,foams
foamy: foamy
foe: foe,foes
fold: fold,folded,folds
foliage: foliage
follow: follow
follower: followers
folly: follies,folly
fond: fond,fonder
fonder: fonder
fondly: fondly
food: food
foodful: foodful
fool: fool,fools
foolish: foolish
foot: feet,foot
footed: footed
footing: footing
footnote: footnotes
footstep: footstep,footsteps
footstool: footstool
forage: forage
forbear: forbear,forbears
forbearance: forbearance
forbid: forbade,forbid,forbidden,forbids
forbidden: forbidden
force: force,forced,forces,forcing
forceful: forceful
forcible: forcible
forcibly: forcibly
ford: ford,forded
fore: fore
forebode: foreboding
foredoom: foredoom
forefather: forefathers
forego: forego,foregoing
forehead: forehead,foreheads
foreign: foreign
foreknowledge: foreknowledge
foremost: foremost
forerun: foreruns
forerunner: forerunner
foresee: foresee,foreseen
forest: forest,forests
forewarn: forewarn
forfeit: forfeit,forfeited
forge: forge,forged,forges
forgery: forgeries
forget: forget,forgets,forgot,forgotten
forgetful: forgetful
forgive: forgive,forgives
fork: forked
forky: forky
forlorn: forlorn
form: form,formed,forming,forms
formal: formal
format: format,formats
formation: formation
formidable: formidable
formidably: formidably
forsake: forsake,forsakes,forsaking,forsook
forsook: forsook
forsworn: forsworn
fort: fort,forts
forthwith: forthwith
fortieth: fortieth
fortification: fortification,fortifications
fortify: fortifies,fortify
fortitude: fortitude
fortunately: fortunately
fortune: fortune,fortunes
forum: forum
forwarn: forwarn
fosse: fosse
foster: fostered
foul: foul
foundation: foundation,foundations
fount: fount
fountain: fountain,fountains
fountful: fountful
fourfold: fourfold
fourscore: fourscore
fourteenth: fourteenth
fourth: fourth
fowl: fowl,fowls
fragment: fragment,fragments
fragrance: fragrance
fragrant: fragrant
frail: frail
frailty: frailty
frame: frame,framed
framework: framework
france: france
frankness: frankness
franks: franks
frantic: frantic
fraud: fraud
fraudful: fraudful
fraudulent: fraudulent
fraught: fraught
fray: fray
freak: freaks
freedom: freedom
freely: freely
freeman: freeman
freeze: freeze
freight: freight
french: french
frenzy: frenzy
frequent: frequent,frequented
frequentation: frequentation
frequently: frequently
fresh: fresh
freshly: freshly
freshness: freshness
fret: fretted
friend: friend,friends
friendly: friendly
friendship: friendship,friendships
fries: fries
frieze: frieze
fright: fright,frighted
frighted: frighted
frigid: frigid
frigidity: frigidity
fringe: fringe
fro: fro
frogs: frogs
frontier: frontier
frost: frosts
frowardness: frowardness
frown: frown,frowning,frowns
frozen: frozen
frugal: frugal
fruit: fruit,fruits
fruitful: fruitful
fruitfulness: fruitfulness
fruitless: fruitless
frustrate: frustrate
fry: fry
fuel: fuel
fugitive: fugitive
fulfil: fulfil,fulfilled,fulfils
fulfill: fulfill
fulfilment: fulfilment
fulgid: fulgid
fulness: fulness
fume: fumes
function: functions
fund: fund
fundamental: fundamental
funeral: funeral,funerals
funereal: funereal
fur: fur,furs
furies: furies
furioso: furioso
furious: furious
furl: furl
furnace: furnace
furnish: furnish,furnished,furnishes
furnishing: furnishing
furrow: furrow,furrowed,furrows
furry: furry
fury: furies,fury
fustian: fustian
future: future
gabriel: gabriel
gain: gain,gained,gains
gainst: gainst
gait: gait
galatea: galatea
gale: gale,gales
galen: galen
gall: gall,galled
gallant: gallant
galley: galley,galleys
galling: galling
gambol: gambol
game: game,games
ganymede: ganymede
gap: gap,gaps
gape: gape,gaping
garden: garden,gardens
garland: garland,garlands
garlic: garlic
garment: garment,garments
garth: garth
gash: gash
gasp: gasping
gate: gate,gates
gather: gather,gathered,gathering,gathers
gatherer: gatherers
gathering: gathering
gaudy: gaudy
gaunt: gaunt
gauntlet: gauntlet,gauntlets
gay: gay
gaze: gaze,gazed,gazing
gem: gem,gems
genealogical: genealogical
genealogy: genealogy
generation: generations
generosity: generosity
generous: generous
generously: generously
genesis: genesis
genial: genial
genius: genius,geniuses
gentil: gentil
gentle: gentle,gentler,gentlest
gentleman: gentleman,gentlemen
gently: gently
genuine: genuine
genuineness: genuineness
genus: genus
geographical: geographical
george: george
georgics: georgics
germ: germ,germs
german: german
gesture: gesture
ghastly: ghastly
ghost: ghost,ghosts
giant: giant,giants
giddy: giddy
gift: gift,gifts
gifted: gifted
gigantic: gigantic
gild: gild,gilds
gilded: gilded
gird: gird,girds,girt
girdle: girdle
girl: girl,girls
girt: girt
glad: glad,glads
gladden: gladden
glade: glade
gladly: gladly
gladsome: gladsome
glance: glance,glanced,glancing
glare: glare,glared,glares,glaring
glaring: glaring
glass: glass
glassy: glassy
glaucus: glaucus
gleam: gleam,gleaming,gleams
gleamy: gleamy
glean: glean
glebe: glebe
glee: glee
glide: glide,glides,gliding
glimmer: glimmering,glimmers
glimmering: glimmering
glitter: glitter,glittering,glitters
globe: globe
gloom: gloom
gloomy: gloomy
glorious: glorious
gloriously: gloriously
glory: gloried,glories,glory,glorying
glossy: glossy
glove: gloves
glow: glow,glowing,glows
glowing: glowing
glut: glut,gluts
gluttons: gluttons
gnash: gnash,gnashing
gnaw: gnawed
goad: goading
goal: goal,goals
goat: goat,goats
goblet: goblet,goblets
god: god,gods
goddess: goddess,goddesses
godhead: godhead,godheads
godless: godless
godlike: godlike
gods: gods
gold: gold
golden: golden
goodliest: goodliest
goodly: goodly
goose: geese
gordius: gordius
gore: gore,gored
gorge: gorged
gorgeous: gorgeous
gorget: gorget
gorgon: gorgon
gorgons: gorgons
gory: gory
govern: govern
government: government,governments
gown: gown
grace: grace,graced,graces
graceful: graceful
gracefulness: gracefulness
graces: graces
gracious: gracious
gradual: gradual
gradually: gradually
grain: grain
grammarian: grammarian,grammarians
grand: grand
granddaughter: granddaughter
grande: grande
grandeur: grandeur
grandsire: grandsire
grandson: grandson
grant: grant,granted,granting,grants
graphic: graphic
grapple: grappling
grasp: grasp,grasping,grasps
grass: grass
grasshopper: grasshoppers
grassy: grassy
grateful: grateful
gratefully: gratefully
gratify: gratified,gratify
gratitude: gratitude
grave: grave,graved,graves
gravity: gravity
gray: gray
graze: graze,grazing
grazing: grazing
greatly: greatly
greatness: greatness
greave: greaves
grecian: grecian,grecians
greece: greece
greedy: greedy
greek: greek,greeks
green: green,greens
greet: greet,greeting,greets
grey: grey
grief: grief,griefs
grievance: grievance
grieve: grieve,grieved,grieves
grieving: grieving
grim: grim
grimly: grimly
grin: grinning,grins
grind: grinding,grinds,ground
gripe: gripe
grisly: grisly
groan: groan,groaning,groans
groaning: groaning
groans: groans
groin: groin
gross: gross,grosser
grote: grote
grotto: grotto
ground: ground,grounded
groundless: groundless
grounds: grounds
groundwork: groundwork
grove: grove,groves
grovel: grovel,grovelling
grow: grew,grow,growing,grown,grows
grown: grown
grudge: grudge
grudgingly: grudgingly
guard: guard,guarded,guards
guardian: guardian,guardians
guardianship: guardianship
guardless: guardless
guards: guards
guess: guess
guest: guest,guests
guidance: guidance
guide: guide,guided,guides,guiding
guideless: guideless
guides: guides
guileful: guileful
guilt: guilt
guiltless: guiltless
guilty: guilty
gulf: gulf,gulfs
gulfy: gulfy
gush: gush,gushing
gust: gust,gusts
gyges: gyges
habit: habit,habits
habitation: habitations
habitual: habitual
hack: hack
hades: hades
hadst: hadst
haggard: haggard
hail: hail,hails
hair: hair,hairs
haired: haired
hairy: hairy
halfpenny: halfpenny
halifax: halifax
hall: hall,halls
halt: halted,halting,halts
hamlet: hamlet
hammer: hammer
hand: hand,handed,hands
handle: handle,handles
handling: handling
handmaid: handmaid,handmaids
handsomely: handsomely
hang: hang,hanging,hangs,hung
hanger: hangers
hanover: hanover
hapless: hapless
happen: happen,happened
happiness: happiness
happy: happier,happiest,happy
harangue: harangued
harass: harassed
harbour: harbour
hard: hard
harden: harden,hardened
hardness: hardness
hardship: hardships
hardy: hardy
hare: hare
harefoot: harefoot
hark: hark
harm: harm,harms
harmless: harmless
harmonious: harmonious
harmoniously: harmoniously
harmonize: harmonize
harmony: harmonies,harmony
harness: harness
harold: harold
harp: harp
harpy: harpy
hart: hart
harvest: harvest,harvests
hast: hast,hasted
haste: haste,hastes
hasten: hasten,hastening,hastens
hastily: hastily
hasty: hasty
hate: hate,hated,hates
hateful: hateful
hath: hath
hatred: hatred
haughty: haughtiest,haughty
haul: haul
haunch: haunch
haunt: haunts
havoc: havoc
