abase: abasing
emphatically: emphatically
empire: empire
empiricist: empiricists
employ: employ,employed,employs
employee: employee,employees
employment: employment
empower: empowered
emptiness: emptiness
en: en
enchained: enchained
enchant: enchants
enchanted: enchanted
enchanting: enchanting
enchantment: enchantment
encircle: encircle
encode: encoding
encounter: encounter,encountered,encounters
encourage: encourage,encouraged
encouraged: encouraged
endeavour: endeavour,endeavoured,endeavouring
endless: endless
endorse: endorses
endow: endowed
endowment: endowment
endurable: endurable
endurance: endurance
endure: endure,endured,enduring
enemy: enemies,enemy
energy: energy
enervation: enervation
enforcement: enforcement
enfranchised: enfranchised
engender: engender,engenders
engendering: engendering
engenders: engenders
england: england
english: english
englishman: englishman,englishmen
englishwoman: englishwoman
engrossing: engrossing
enigma: enigma,enigmas
enigmatical: enigmatical
enjoin: enjoins
enjoy: enjoy,enjoyed,enjoys
enjoyment: enjoyment
enlarge: enlarges
enlighten: enlighten,enlightening
enlightened: enlightened
enlightenment: enlightenment
enmity: enmity
ennoble: ennobling
ennoblement: ennoblement
ennui: ennui
enormity: enormity
enormous: enormous
enormously: enormously
enrapture: enraptured
ensnare: ensnaring
ensure: ensuring
entail: entailed,entails
entangle: entangle,entangled
enter: enter,entered,enters
enterprise: enterprise,enterprises
entertain: entertain
enthusiasm: enthusiasm
enthusiast: enthusiast
enthusiastic: enthusiastic
entice: entices
enticement: enticements
entire: entire
entitle: entitled
entity: entity
entrance: entrance
enviable: enviable
environment: environment
envy: envy
eo: eo
epicurean: epicurean
epicurism: epicurism
epidemical: epidemical
epilepsy: epilepsy
epilogue: epilogue
episode: episode
epistemological: epistemological
epistles: epistles
epitome: epitome
epoch: epoch,epochs
equability: equability
equal: equal,equals
equality: equality
equalize: equalizing
equally: equally
equilibrium: equilibrium
equipment: equipment
equivalent: equivalent
equivocator: equivocator
era: eras
ere: ere
ernest: ernest
eros: eros
err: err
erroneous: erroneous
erroneousness: erroneousness
error: error,errors
escape: escape,escaped
esoteric: esoteric
espouse: espouses,espousing
esprit: esprit
essence: essence
essential: essential
essentially: essentially
est: est
establish: establish,established,establishing
established: established
esteem: esteem,esteemed,esteems
estimable: estimable
estimate: estimate,estimated,estimates,estimating
estimating: estimating
estimation: estimations
estrangement: estrangement
eternal: eternal
eternally: eternally
eternity: eternity
ethic: ethics
ethical: ethical
etiquette: etiquette
eudaemonism: eudaemonism
europe: europe
european: european,europeans
europeanism: europeanism
evasion: evasion
evening: evening
event: event,events
eventide: eventide
eventually: eventually
everlasting: everlasting
everyday: everyday
evidence: evidence
evident: evident
evidently: evidently
evil: evil
evoke: evoke,evoked
evolution: evolution
evolve: evolving
evolving: evolving
exaggerate: exaggerated
exaggerated: exaggerated
exaggeration: exaggeration,exaggerations
exalt: exalted
exaltation: exaltation
examination: examination
examine: examine,examines
exceed: exceeds
excellence: excellence
excellency: excellency
excellent: excellent
excepting: excepting
exception: exception,exceptions
exceptional: exceptional
excess: excess
excessive: excessive
excessively: excessively
exchange: exchange
excite: excite,excites
excitement: excitement
exclusion: exclusion
exclusive: exclusive
exclusively: exclusively
executive: executive
executor: executor,executors
exemplify: exemplified
exempt: exempt
exercise: exercise,exercised,exercises,exercising
exert: exert
exhaust: exhaust,exhausted
exhausted: exhausted
exhibit: exhibit,exhibiting
exhibition: exhibition
exhort: exhorted
exist: exist,existed,existing,exists
existence: existence
exit: exit
exoteric: exoteric
exotic: exotic
exoticism: exoticism
expand: expands
expanse: expanse
expect: expected
expectation: expectation
expediency: expediencies,expediency
expedient: expedient,expedients
expedition: expeditions
expel: expelled
expend: expend,expended
expenditure: expenditure
expense: expense,expenses
experience: experience,experienced,experiences
experienced: experienced
experiment: experiments
explain: explained,explaining
explainable: explainable
explanation: explanation,explanations
explicitly: explicitly
explicitness: explicitness
explode: exploding
exploit: exploit,exploited,exploiting
exploitation: exploitation
explosive: explosive
export: exporting
exposition: exposition
exposure: exposure
express: express,expressed,expresses
expression: expression,expressions
expressly: expressly
expulsion: expulsion
exquisite: exquisite
extend: extended,extending,extends
extended: extended
extensive: extensive
extent: extent
extenuate: extenuates
exterminate: exterminated
external: external
externally: externally
extinct: extinct
extinguish: extinguished
extol: extol
extraordinarily: extraordinarily
extraordinary: extraordinary
extravagance: extravagance
extravagant: extravagant
extreme: extreme
extremely: extremely
exuberance: exuberance
exuberant: exuberant
exult: exults
exulting: exulting
eye: eye,eyes
fable: fable
fabric: fabric
fabricate: fabricate
facility: facility
factor: factors
faculty: faculties,faculty
fade: fade,fading
faggot: faggot
fail: fail,failed
failure: failure,failures
fain: fain
fair: fair,fairer
fairbanks: fairbanks
faire: faire
fairness: fairness
fairy: fairy
fait: fait
faith: faith
faithful: faithful
fall: fall,fallen,falling,falls,fell
false: false,falsest
falsehood: falsehood
falsely: falsely
falseness: falseness
falsification: falsification,falsifications
falsify: falsified,falsifies,falsify,falsifying
falter: faltering
familiar: familiar
familiarity: familiarity
family: family
famish: famish
famous: famous
fanatic: fanatics
fanaticism: fanaticism
fancy: fancy
farce: farce
farth: farthest
fascinatingly: fascinatingly
fashion: fashion,fashioned,fashioning
fashioned: fashioned
fast: fast,fasts
fasten: fasten
fastidious: fastidious
fasting: fasting
fat: fat
fatal: fatal
fatalism: fatalism
fatalist: fatalists
fate: fate
father: father,fathers
fatherland: fatherland,fatherlands
fatigued: fatigued
fault: fault,faults
fauna: fauna
faust: faust
faut: faut
favour: favour,favoured
favourable: favourable
favourably: favourably
favourite: favourite
fear: fear,feared,fears
fearfulness: fearfulness
fearless: fearless
fearlessness: fearlessness
feast: feast,feasts
feature: feature,features
february: february
federal: federal
fee: fee,fees
feeble: feeble
feeding: feeding
feel: feel,feeling,feels
feeling: feeling,feelings
feign: feign
felix: felix
fellow: fellow,fellows
female: female
feminine: feminine
fertile: fertile
festal: festal
festival: festival
festive: festive
fetter: fettered,fetters
fever: fever,fevers
fiction: fiction,fictions
fight: fight,fights
fighting: fighting
figuratively: figuratively
figure: figure
file: file,files
film: film
filth: filth
filthy: filthiest
final: final
finally: finally
financial: financial
fine: fine,finer,finest
finery: finery
finger: finger,fingered,fingers
finish: finished,finishing
firework: fireworks
firmament: firmament
firmly: firmly
firstling: firstling,firstlings
firstly: firstly
fit: fit
fitness: fitness
fixedly: fixedly
flag: flags
flash: flashes
flat: flatter
flatter: flattered
flatterer: flatterers
flatterers: flatterers
flattering: flattering
flattery: flatteries
flaubert: flaubert
flavour: flavoured,flavours
flaw: flaw
flee: flee,fleeing,flees
fleeting: fleeting
flesh: flesh
flexibility: flexibility
flexible: flexible
flicker: flickering
flier: flier
flight: flight
flighty: flighty
fling: flung
float: floating
flood: flood,flooded,floods
florence: florence
florentine: florentine
florid: florid
flourish: flourished,flourishes,flourishing
flow: flow,flows
flower: flower
flute: flute
flutter: flutter
fly: flies,flown,fly,flying
flying: flying
foe: foe
fog: fog
fold: folds
folies: folies
follow: follow
follower: followers
folly: follies,folly
fond: fond
food: food
fool: fool,fools
foolhardiness: foolhardiness
foolish: foolish
foolisher: foolisher
foolishly: foolishly
foot: feet,foot
footnote: footnote,footnotes
footstep: footsteps
forbearance: forbearance
forbid: forbids
force: force,forced,forces
forcibly: forcibly
forego: foregoing
foreground: foreground,foregrounds
forehead: foreheads
foreign: foreign
foreigner: foreigners
forelock: forelock
foremost: foremost
forerunner: forerunners
forest: forest
forestall: forestalled
foresworn: foresworn
foretaste: foretaste
forfeit: forfeited
forfeiture: forfeiture
forge: forged
forget: forget,forgets,forgetting,forgotten
forgetful: forgetful
forgetfulness: forgetfulness
forgive: forgive,forgiven
forlorn: forlorn
form: form,forming,forms
formal: formal
formalize: formalize
format: format,formats
formation: formation
formless: formless
formula: formula,formulas
formulation: formulation
formulize: formulize
forsooth: forsooth
fortuitousness: fortuitousness
fortunate: fortunate
fortunately: fortunately
fortune: fortune
foster: fostered
foundation: foundation
fourth: fourths
fragile: fragile
fragrancy: fragrancy
fragrant: fragrant
frail: frail
frame: frame
france: france
frank: frank
frankness: frankness
franks: franks
frantically: frantically
fraternity: fraternity
fraud: fraud
fraught: fraught
fraus: fraus
freak: freak
frederick: frederick
freedom: freedom
freely: freely
freethinker: freethinker
french: french
frenchman: frenchman,frenchmen
frequent: frequent
frequently: frequently
fresh: fresh
friend: friend,friends
friendliness: friendliness
friendship: friendship,friendships
frightened: frightened
frightening: frightening
frightful: frightful
frightfully: frightfully
fringed: fringed
frippery: frippery
frivolity: frivolity
frivolously: frivolously
frog: frog
froglike: froglike
froth: froths
fructify: fructified,fructify
fruit: fruit,fruits
fruitful: fruitful
fugitive: fugitives
fulfil: fulfilling
fume: fumes,fuming
function: function,functions
fundamental: fundamental
fundamentally: fundamentally
funeral: funeral
furca: furca
furious: furious
furnish: furnish,furnished,furnishes
fuse: fused
future: future
futurity: futurity
gaiety: gaiety
gain: gain,gained,gains
gait: gait
gala: gala
gallery: galleries
galling: galling
gallop: gallop
game: game,games
gange: ganges
gap: gap
gape: gaping
garb: garb
garden: garden
garland: garlanded
garment: garment
gasp: gasp
gather: gather,gathered
gay: gay
gaze: gaze,gazes,gazing
generalism: generalism
generalization: generalization
generalize: generalize
generate: generated
generation: generation,generations
generative: generative
generous: generous
genesis: genesis
genie: genie
genii: genii
genius: genius,geniuses
gentle: gentle,gentler
gentleman: gentlemen
gentleness: gentleness
genuine: genuine
george: george
germ: germ
german: german,germans
germanism: germanism
germany: germany
gesture: gestures
ghost: ghost
gift: gift,gifts
gifted: gifted
gilded: gilded
girl: girl,girls
givers: givers
glacier: glacier,glaciers
glad: glad
gladly: gladly
glance: glance,glances
glib: glib
glide: gliding
glisten: glisten,glistening
gloom: gloom,glooms
gloominess: gloominess
gloomy: gloomy
gloria: gloria
glorification: glorification,glorifications
glorifier: glorifier
glorify: glorified,glorifies,glorify
glory: glory
glove: glove
glow: glows
gnash: gnash
gnashing: gnashing
goal: goal,goals
goat: goat
god: god,gods
godless: godless
godlike: godlike
gods: gods
godsend: godsends
goethe: goethe
gold: gold
golden: golden
goldenness: goldenness
goodness: goodness
goody: goody
gorgeous: gorgeous
govern: govern,governing
governess: governess,governesses
government: government
gown: gown
grace: grace
gradation: gradation,gradations
grade: grade,grades
gradually: gradually
grain: grain
gram: gram
grammar: grammar
grammatical: grammatical
grand: grand
grandchild: grandchildren
grandfather: grandfather,grandfathers
grandfatherly: grandfatherly
grandiose: grandiose
granite: granite
grant: grant,granted,granting
grasp: grasp,grasped,grasping,grasps
grateful: grateful
gratefully: gratefully
gratification: gratification
gratified: gratified
gratify: gratified,gratifying
gratitude: gratitude
gravity: gravity
greatness: greatness
greece: greece
greek: greek,greeks
green: green,greens
gregarious: gregarious
gregory: gregory
grenadier: grenadiers
grey: grey
grief: grief
grievous: grievous
grimace: grimace,grimaces
grind: ground
grisly: grisly
groan: groaning
gross: gross
grosser: grosser
grotesque: grotesque
grotesquely: grotesquely
grotto: grotto
ground: ground
grounds: grounds
grove: groves
grow: grew,grow,growing,grown,grows
growth: growth,growths
grudge: grudged
grumble: grumbling
grunt: grunting
guarantee: guarantee
guard: guard,guards
guardian: guardian
guess: guess,guesses
guest: guest,guests
guidance: guidance
guide: guide
guise: guise
gulf: gulf
gunpowder: gunpowder
habit: habit,habits
habitual: habitual
habituated: habituated
hack: hacked
hafis: hafis
hail: hail
haine: haine
hair: hair
halcyon: halcyon
hallow: hallow,hallowing
halt: halt
hamlet: hamlet
hammer: hammer
hamper: hampered
hand: hand,hands
handed: handed
handful: handful,handfuls
handle: handle
handsome: handsome
handy: handy
hang: hang
hanker: hankers
hankering: hankering
hans: hans
happen: happen,happened,happening
happily: happily
happiness: happiness
happy: happier,happiest,happy
harass: harassed
harbour: harbour,harboured
hard: hard,harder
harden: hardened
hardiment: hardiment
hardness: hardness
hardship: hardship
hardy: hardy
hark: hark
harmless: harmless
harmony: harmonies,harmony
harpies: harpies
harshness: harshness
hart: hart
hartmann: hartmann
hast: hast
hasty: hasty
hate: hate,hates
hatred: hatred
haughtiness: haughtiness
haunt: haunting
hazard: hazarded
hazardous: hazardous
head: head,heads
headed: headed
headstrong: headstrong
healing: healing
health: health
healthy: healthier,healthiest,healthy
hear: hear,heard,hears
hearer: hearers
hearing: hearing
hearken: hearken
heart: heart,hearts
hearted: hearted
heartfelt: heartfelt
heartily: heartily
heartiness: heartiness
heated: heated
heaven: heaven,heavens
heavenly: heavenly
heavily: heavily
heavy: heavy
hedonism: hedonism
height: height,heights
heights: heights
heiling: heiling
heinrich: heinrich
heir: heirs
helen: helen
hellenic: hellenic
hellenism: hellenism
helm: helm
helpful: helpful
helpless: helpless
helplessness: helplessness
hemlock: hemlock
henceforth: henceforth
herald: herald,heralds
herbert: herbert
hercules: hercules
herd: herd,herds
herding: herding
hereditarily: hereditarily
hereditary: hereditary
heredity: heredity
heritage: heritage
hermaphroditic: hermaphroditic
hero: hero
heroism: heroism
hesitate: hesitate,hesitates,hesitating
hesitatingly: hesitatingly
hesitation: hesitation
heuristic: heuristic
hidden: hidden
hide: hidden,hide,hides
hiding: hiding
highly: highly
highway: highways
hill: hill
hinder: hindering,hinders
hindrance: hindrance
hint: hint,hinted
hiss: hiss
historian: historian,historians
historical: historical
historically: historically
history: history
histrionic: histrionic
hit: hit
hitherto: hitherto
hoarse: hoarse
hoary: hoary
hocus: hocus
hohenstaufen: hohenstaufen
hold: hold,holds
holder: holder
hole: hole
holiness: holiness
holy: holies,holy
homer: homer
homeric: homeric
homesickness: homesickness
homme: homme
homo: homo
honest: honest
honestly: honestly
honesty: honesty
honey: honey
honeymoon: honeymoon
honour: honour,honoured,honours
honourable: honourable
honoured: honoured
hooped: hooped
hope: hope,hoped,hopes,hoping
hopeful: hopeful
horace: horace
horizon: horizon,horizons
horizontally: horizontally
horn: horned
horner: horner
horror: horror
horse: horse,horses
hospitable: hospitable
hospitality: hospitality
hostile: hostile
hostility: hostility
hot: hot
hotch: hotch
hound: hounds
hour: hour,hours
house: house
household: household
hover: hovers
howl: howling
hows: hows
hugo: hugo
human: human
humane: humane,humanest
humanely: humanely
humaner: humaner
humanise: humanising
humanitarian: humanitarian,humanitarians
humanity: humanity
humanize: humanizing
humanness: humanness
humble: humble
hume: hume
humility: humility
humour: humour,humoured
hunger: hunger
hunt: hunt,hunting
hunting: hunting
huntsman: huntsman
hush: hushed
hybrid: hybrid
hypnotic: hypnotic
hypochondriac: hypochondriacs
hypocrisy: hypocrisy
hypocritically: hypocritically
hypothesis: hypotheses,hypothesis
hypothetically: hypothetically
hysteria: hysteria
hysterical: hysterical
ice: ice
icy: icy
idea: idea,ideas
ideal: ideal,ideals
idealise: idealise
idealist: idealists
idealistic: idealistic
idealize: idealize
idealized: idealized
identical: identical
identification: identification
identify: identifies,identify
ideology: ideology
idiocy: idiocy
idiotic: idiotic
idle: idle
idleness: idleness
idler: idlers
ignoble: ignoble
ignobleness: ignobleness
ignorance: ignorance
ignorant: ignorant
ignore: ignore
iii: iii
illness: illness
illumine: illumine
illusion: illusion,illusions
illusory: illusory
image: image
imagine: imagine,imagined
imbecile: imbeciles
imbecility: imbecility
imbue: imbued
imitate: imitate
immeasurable: immeasurable
immemorial: immemorial
immense: immense
immodest: immodest
immoral: immoral
immorality: immorality
immortal: immortal
immortalize: immortalize
immunity: immunity
immutable: immutable
impair: impaired
impartial: impartial
impatience: impatience
impatient: impatient
impatiently: impatiently
impel: impelled,impels
imperative: imperative
imperfect: imperfect
imperfectly: imperfectly
imperious: imperious
imperiousness: imperiousness
imperium: imperium
impersonal: impersonal
implant: implant,implants
implicitly: implicitly
imply: implied,implies,imply
import: import
importunate: importunate
importunely: importunely
importunity: importunity
impose: impose,imposed,imposes
imposing: imposing
imposingly: imposingly
impossible: impossible
impotence: impotence
impress: impresses
impression: impression
imprison: imprisoned
improbability: improbability
improbable: improbable
improper: improper
imprudence: imprudence
imprudent: imprudent
imprudently: imprudently
impugn: impugn
impulse: impulse,impulses
impulsion: impulsion
impulsive: impulsive
impure: impure
impurity: impurity
inability: inability
inaccessible: inaccessible
inaccurate: inaccurate
inadequate: inadequate
inaudible: inaudible
incalculable: incalculable
incapable: incapable
incapacitate: incapacitated
incapacity: incapacity
incarnate: incarnate
incarnated: incarnated
incense: incense,incensed
incentive: incentive,incentives
incidental: incidental
incisiveness: incisiveness
incivility: incivilities
inclination: inclination,inclinations
incline: incline,inclined,inclines
inclined: inclined
include: include,included,includes,including
including: including
incompetent: incompetent
incomplete: incomplete
incomprehensible: incomprehensible
incomprehensibleness: incomprehensibleness
inconceivable: inconceivable
inconsiderate: inconsiderate
inconsistency: inconsistency
incontinence: incontinence
inconvenience: inconvenience
incorporate: incorporate,incorporated
incorporation: incorporation
increase: increase,increased,increases,increasing
increasing: increasing
increasingly: increasingly
incredible: incredible
incurable: incurable
incurably: incurably
indefatigable: indefatigable
indelible: indelible
indemnification: indemnification
indemnify: indemnify
indemnity: indemnity
independence: independence
independent: independent
independently: independently
indescribable: indescribable
indescribably: indescribably
indestructible: indestructible
indian: indian,indians
indication: indication
indifference: indifference
indifferent: indifferent
indifferently: indifferently
indigence: indigence
indigenous: indigenous
indigestible: indigestible
indignant: indignant
indignantly: indignantly
indignation: indignation
indignity: indignity
indirect: indirect
indirectly: indirectly
indiscreet: indiscreet
indiscretion: indiscretion
indispensable: indispensable
individual: individual,individuals
indivisible: indivisible
indoctrinate: indoctrinated
indolence: indolence
induce: induce,induced,induces
inducement: inducement
indulge: indulged
indulgence: indulgence
indulgent: indulgent
industrial: industrial
industrious: industrious
industriously: industriously
industry: industry
inevitable: inevitable
inevitably: inevitably
inexhaust: inexhausted
inexhaustible: inexhaustible
inexorable: inexorable
inexorably: inexorably
inexperience: inexperience
inexplicable: inexplicable
infamous: infamous
infect: infected
infected: infected
infection: infection
infer: infer,inferred,infers
inference: inference,inferences
inferior: inferior
infinite: infinite
infirm: infirm
infirmity: infirmity
inflated: inflated
inflection: inflections
inflict: inflicts
influence: influence,influenced,influences
influential: influential
inform: informed
infrequently: infrequently
infringement: infringement
ingenious: ingenious
ingeniousness: ingeniousness
ingrained: ingrained
ingredient: ingredient,ingredients
inherent: inherent
inherit: inherited
inheritance: inheritance
inhuman: inhuman
inimitable: inimitable
initial: initial
initiate: initiate,initiated
initiative: initiative
injure: injure,injured,injures,injuring
injurious: injurious
injury: injury
injustice: injustice
inkling: inkling
inmost: inmost
innate: innate
innateness: innateness
innocence: innocence
innocent: innocent
innocently: innocently
inquire: inquired
inquiringly: inquiringly
inquisitive: inquisitive
insanity: insanity
insatiability: insatiability
insatiable: insatiable
insatiably: insatiably
insatiate: insatiated
inscribe: inscribe,inscribed,inscribes
inscrutable: inscrutable
insert: inserted
insidious: insidious
insidiously: insidiously
insight: insight,insights
insignificant: insignificant
insinuate: insinuated
insist: insist,insists
insolence: insolence
insolent: insolent
inspiration: inspiration
inspire: inspire,inspires,inspiring
inspiring: inspiring
instance: instance,instances
instant: instant
instil: instilled
instinct: instinct,instincts
instinctive: instinctive
instinctively: instinctively
institution: institution
instruct: instructed
instruction: instruction
instructive: instructive
instrument: instrument,instruments
insuperably: insuperably
insupportable: insupportable
insurrection: insurrection
intangible: intangible
intellect: intellect,intellects
intellectual: intellectual
intellectuality: intellectuality
intellectually: intellectually
intelligence: intelligence
intelligent: intelligent
intelligible: intelligible
intend: intend
intensify: intensifying
intention: intention,intentioned,intentions
intentional: intentional
inter: inter
intercalary: intercalary
intercalate: intercalated
intercourse: intercourse
interfere: interfered
interlocutor: interlocutor,interlocutors
interlude: interlude
interludes: interludes
intermediary: intermediaries
intermediate: intermediate
intermingle: intermingled
intermix: intermix
internal: internal
internally: internally
international: international
interpret: interpret,interpreted,interpreting
interpretation: interpretation,interpretations
interpreter: interpreter,interpreters
interpreting: interpreting
interrogation: interrogation
interrogative: interrogative
interrogator: interrogators
interval: intervals
intimacy: intimacy
intimate: intimate
intimately: intimately
intolerance: intolerance
intolerant: intolerant
intoxicated: intoxicated
intoxication: intoxication
intrinsic: intrinsic
introduce: introduce,introduces
introduction: introduction
introspection: introspection
intruder: intruders
intuition: intuition,intuitions
intuitive: intuitive
invalid: invalids
invalidity: invalidity
invaluable: invaluable
invariably: invariably
invent: invent,invented,inventing,invents
inventive: inventive
inventiveness: inventiveness
inventor: inventors
inverse: inverse
inversion: inversion
invert: invert,inverted,inverts
investigate: investigate
investigation: investigation
investigator: investigator,investigators
invincible: invincible
invisible: invisible
involuntarily: involuntarily
involuntary: involuntary
involve: involve,involved,involves,involving
inwardly: inwardly
iridescence: iridescences
iridescent: iridescent
iron: iron
ironical: ironical
ironist: ironist
irony: irony
irrationality: irrationality
irreceptive: irreceptive
irreconcilable: irreconcilable
irrecoverable: irrecoverable
irresistibly: irresistibly
irresponsive: irresponsive
irrestrainable: irrestrainable
irritability: irritability
irritated: irritated
irritating: irritating
irritation: irritation
irs: irs
ise: ise
island: island
isolated: isolated
isolation: isolation
isolde: isolde
italian: italian
italicize: italicized
italics: italics
italy: italy
itching: itching
iv: iv
ix: ix
jack: jack
japanese: japanese
java: java
jealous: jealous
jealousy: jealousy
jean: jean
jenny: jenny
jest: jest
jesting: jesting
jesuitical: jesuitical
jesuitism: jesuitism
jesuits: jesuits
jesus: jesus
jew: jew
jewel: jewel
jewish: jewish
jews: jews
jingle: jingling
john: john
joke: joke
joy: joy,joys
joyfully: joyfully
joyous: joyous
joyously: joyously
jubilantly: jubilantly
jubilation: jubilation
judge: judge,judged,judging
judging: judging
judgment: judgment,judgments
june: june
justice: justice
justification: justification
justify: justified,justifies,justify,justifying
juxtaposition: juxtaposition
kant: kant
kantian: kantian
keen: keen,keenest
keener: keener
key: key
kill: killed,kills
kin: kin
kindly: kindly
kindness: kindness
king: king,kings
kingship: kingship
kiss: kisses
kitchen: kitchen
kith: kith
knack: knack
knee: knee,knees
knife: knife
knight: knights
knock: knocking
knot: knots,knotted
knowable: knowable
knowledge: knowledge
kundry: kundry
label: label
laborious: laborious
laboriousness: laboriousness
labour: labour,labouring,labours
labyrinth: labyrinth,labyrinths
lacerate: lacerates,lacerating
lack: lack,lacking,lacks
lacking: lacking
ladder: ladder
lady: ladies
lake: lake
lamb: lamb
lambert: lambert
land: land,lands
language: language,languages
languish: languish,languishing
lap: lap
lapse: lapsed
larynx: larynx
lassitude: lassitude
lastly: lastly
late: late
latin: latin
laudable: laudable
laugh: laugh,laughed,laughing,laughs
laugher: laughers
laughter: laughter
launch: launch
law: law,laws
lawful: lawful
lay: laid,lay,lays
lazily: lazily
le: le
lead: lead,leads,led
leaden: leaden
leader: leader,leaders
leaf: leaves
league: league
lean: leaning
learn: learn,learned,learning,learns,learnt
learner: learner
learning: learning
leave: left
leaven: leaven
left: left
leg: leg,legs
legal: legal
legally: legally
legion: legion
legislator: legislators
legitimate: legitimate
lei: lei
leisure: leisure
lend: lend
leniency: leniency
lento: lento
leonardo: leonardo
les: les
letter: letter,letters
letting: letting
level: level
levellers: levellers
levelling: levelling
levity: levity
liability: liability
liable: liable
liar: liar,liars
liberal: liberal
liberality: liberality
liberation: liberation
liberty: liberties,liberty
library: library
license: license
licensed: licensed
lick: lick
lie: lie,lies,lying
lieu: lieu
life: life,lives
lifetime: lifetime
lift: lifted
light: light,lighter,lights
lighten: lighten
lightly: lightly
lightning: lightning,lightnings
lightsome: lightsome
ligurian: ligurian
likelihood: likelihood
likeness: likeness
limb: limbs
limit: limit,limited,limits
limitation: limitation
limited: limited
linger: linger,lingering
link: linked,links
lion: lions
lip: lips
list: list,lists
listen: listen,listened,listening
litany: litanies
literally: literally
literary: literary
literature: literature
live: live,lived,lives,living
lived: lived
lively: livelier,lively
living: living
lizard: lizard
loafer: loafers
loafers: loafers
loathing: loathing
loathsome: loathsome
locate: located,locating
location: locations
lock: locked
loftiness: loftiness
lofty: loftier,loftiest,lofty
logic: logic
logical: logical
logician: logician,logicians
lonely: lonely
lonesome: lonesome
longing: longing,longings
longingly: longingly
loose: loose
loquaciously: loquaciously
lord: lord
lordliness: lordliness
lordly: lordly
lorn: lorn
lose: lose,loses,losing,lost
loss: loss
lost: lost
lot: lot
loth: loth
loud: loud,louder
love: love,loved,loves
lover: lover,lovers
lowering: lowering
luce: luce
lucky: lucky
ludicrous: ludicrous
ludicrously: ludicrously
lull: lulling
lung: lungs
lurk: lurk,lurks
lurking: lurking
lustre: lustre
luther: luther
luxuriance: luxuriance
luxuriousness: luxuriousness
luxury: luxury
lying: lying
lynx: lynx
lyricism: lyricism
lyrist: lyrists
machine: machine
machinist: machinists
mad: mad
madame: madame
magnanimity: magnanimity
magnificence: magnificence
magnificent: magnificent
magnify: magnified
magnus: magnus
maid: maid
maiden: maiden
mail: mail
main: main
maintain: maintain,maintained,maintaining,maintains
maintenance: maintenance
maitre: maitre
majesty: majesty
majority: majority
mala: mala
malady: maladies,malady
malice: malice
malicious: malicious
malign: maligns
malignant: malignant
malignity: malignity
manage: managed,managing
manageable: manageable
mandarin: mandarins
manfred: manfred
maniere: maniere
manifest: manifest,manifested,manifests
manifestation: manifestation,manifestations
manifold: manifold
manipulate: manipulates
mankind: mankind
manliness: manliness
manly: manly
manner: manner
mannered: mannered
manners: manners
mantle: mantles
margin: margin
maria: maria
mark: mark,marked,marks
marked: marked
market: market
marmot: marmots
marriage: marriage
martyr: martyr
martyrdom: martyrdom
marvel: marvel,marvels
marvelling: marvelling
marvelous: marvelous
marvelously: marvelously
masculine: masculine
masculinize: masculinized
mask: mask,masks
masquerade: masquerade,masquerades
mass: mass,masses
masses: masses
massive: massive
master: master,masters
mastering: mastering
masterly: masterly
masterpiece: masterpiece
mastersinger: mastersinger
mastery: mastery
matador: matador
match: match
material: material
materialise: materialise
materialistic: materialistic
mathematical: mathematical
mathematician: mathematicians
matter: matter,matters
mature: maturing
maturity: maturity
maxim: maxims
maximum: maximum
meadow: meadow
meaning: meaning,meanings
meanness: meanness
meant: meant
measure: measure,measured,measuring
mechanic: mechanics
mechanical: mechanical
mechanism: mechanism
meddle: meddling
medical: medical
medicine: medicine,medicines
mediocre: mediocre
mediocrity: mediocrity
meditate: meditate
mediterranean: mediterranean
medium: medium
medley: medley
meet: meet,meets,met
melancholia: melancholia
melancholy: melancholy
mellow: mellow
mellowness: mellowness
melody: melody
memory: memories,memory
mendacious: mendacious
mendelssohn: mendelssohn
mendicant: mendicant
mental: mental
mention: mention,mentioned
mephistophelean: mephistophelean
mercilessly: mercilessly
mere: mere,merest
merit: merit,merits
merrier: merrier
merry: merry
messmate: messmates
messrs: messrs
metaphor: metaphor
metaphysical: metaphysical
metaphysician: metaphysician,metaphysicians
metaphysics: metaphysics
method: method,methods
methodism: methodism
methodology: methodology
metrical: metrical
michael: michael
microscopic: microscopic
midday: midday
middle: middle
midnight: midnight
midst: midst
mien: mien
mightier: mightier
mighty: mightiest,mighty
mild: mild,mildest
mildly: mildly
milieu: milieu
militant: militant
military: military
milk: milk
millennium: millenniums
millepede: millepede
mind: mind,minds
minded: minded
mindedness: mindedness
mingle: mingled
mingling: mingling
minotaur: minotaur
miracle: miracle
miraculous: miraculous
mire: mire
mirror: mirror
mirroring: mirroring
miscalculate: miscalculate
miscarry: miscarry
mischief: mischief
mise: mise
miser: misers
misery: misery
misfortune: misfortune
misinterpret: misinterpreted
mislead: mislead
misleader: misleader
misleading: misleading
misshapen: misshapen
mission: mission
mississippi: mississippi
mistake: mistake,mistaken,mistakes
mistaken: mistaken
misunderstand: misunderstand,misunderstood
misunderstanding: misunderstanding,misunderstandings
misuse: misuse
mithra: mithra
mitigation: mitigation
mix: mixed,mixes
mixed: mixed
mixing: mixing
mixture: mixture
mob: mob
mobile: mobile
mobility: mobility
mock: mocking
mockingly: mockingly
mode: mode,modes
model: model
moderation: moderation
modern: modern
moderne: moderne
modest: modest
modestly: modestly
modesty: modesty
modification: modification,modifications
modify: modified
