abandon: abandoning
silk: silk
simply: simply
simultaneously: simultaneously
sinfulness: sinfulness
single: single
singular: singular
singularity: singularities
singularly: singularly
sink: sank,sink,sunk
sire: sire
sister: sister,sisters
sit: sat,sitting
situation: situation
sketch: sketching
skill: skill
skin: skin,skins
sky: skies,sky
slander: slandered
slaughter: slaughter
slave: slaves
sleep: sleep
sleepy: sleepy
slight: slight
slip: slips
slumber: slumber
smile: smile
smoking: smoking
smooth: smooth
smyrna: smyrna
snatch: snatch,snatched
sneer: sneers
snuffing: snuffing
society: society
socket: sockets
sofa: sofa
soil: soil
solely: solely
solemnize: solemnized
solicit: solicit
solicitation: solicitation
solitary: solitary
solitude: solitude
soot: soot
sooth: sooth
soothing: soothing
sorrow: sorrows
sort: sort
soul: soul,souls
sound: sound,sounded,sounds
southern: southern
spacious: spacious
spare: spare
spark: spark
sparkle: sparkled
sparkling: sparkling
speak: speak,speaking,spoke
special: special
specific: specific
speck: specks
spectre: spectre
speechless: speechless
speed: speed
speedily: speedily
spend: spend,spent
sphere: sphere
spirit: spirit
spite: spite
splendour: splendour
spot: spot,spots
spread: spread
spring: sprang,spring
staff: staff
stage: stage,stages
stain: stain,stained
staircase: staircase
stake: stake
stalk: stalking
stamp: stamp
stand: stand,standing,stood
start: start,started
startle: startled
startled: startled
statement: statement,statements
stationers: stationers
status: status
steal: stole
stem: stem
step: step,steps
stifle: stifled,stifling
stillness: stillness
stone: stone
store: stored
storm: storm,storms
story: stories,story
stranger: strangers
straw: straw
stray: strays
stream: stream,streaming
streamlet: streamlet
street: street
strength: strength
stretch: stretched
strict: strict
strike: strike,struck
striking: striking
strive: striving
strong: strong
struck: struck
struggle: struggled
stud: studding
study: study,studying
stuff: stuffed
style: style
subaltern: subalterns
subdue: subdued
subject: subject,subjects
subscribe: subscribe
succeed: succeed,succeeded
success: success
suck: suck,sucked,sucks
sucker: suckers
sudden: sudden
suddenly: suddenly
suffering: sufferings
suffice: suffice
sufficient: sufficient
suited: suited
sullen: sullen
sully: sully
sum: sum
summit: summit,summits
sun: sun
sundays: sundays
superhuman: superhuman
superior: superior
supernatural: supernatural
superstition: superstition
superstitious: superstitious
supply: supply
support: support
suppose: suppose,supposed
supposition: supposition
suppress: suppressed
surprise: surprise,surprised
surprised: surprised
surprize: surprized
surrender: surrendered
surround: surrounded
survive: survive,survived
suspicion: suspicion,suspicions
suspicious: suspicious
swamp: swamp
swear: swear,swore
sweep: swept
swift: swift,swifter
swiftly: swiftly
sylph: sylph
sympathise: sympathise
sympathy: sympathy
symptom: symptoms
synonymous: synonymous
table: table,tables
tablet: tablet
tacit: tacit
tact: tact
tale: tale,tales
talent: talents
talk: talking
tallow: tallow
task: task
taste: taste
tax: tax,taxes
teach: taught
tear: tear,tears,torn
tempest: tempest
temple: temple
tend: tend,tended,tending
tender: tender
tenderness: tenderness
term: term,termed,terms
terminate: terminates
terrible: terrible
terrify: terrified
territory: territory
terror: terror
testament: testaments
testimony: testimony
thatch: thatch
thee: thee
thine: thine
thirst: thirst
thither: thither
tho: tho
thoughtless: thoughtless
thoughtlessness: thoughtlessness
thro: thro
throat: throat
throw: threw,throw,thrown
thunder: thunder,thunders
thwart: thwarted
thy: thy
tideless: tideless
tie: ties
time: time,times
tinge: tinge
tint: tint,tints
title: title
toil: toils
toilette: toilette
tomb: tomb
ton: ton
tongue: tongue
tooth: teeth,tooth
torch: torches
torment: tormented,tormenting
torrent: torrent
touch: touch,touched
tour: tour
town: town,towns
trace: trace,tracing
track: track
trademark: trademark
trader: trader
traditional: traditional
traditionary: traditionary
trait: traits
trample: trampled
transcribe: transcribe
transcription: transcription
travel: travel,travelled,travelling
travels: travels
tread: tread,trod
treatment: treatment
tree: trees
tremendous: tremendous
tress: tresses
tribunal: tribunal
trickle: trickling
trip: tripped
trouble: trouble
true: true
trust: trust,trusting
truth: truth
turkey: turkey
turkish: turkish
twilight: twilight
type: type,types
unaccountable: unaccountable
unaffected: unaffected
unanimously: unanimously
unappalled: unappalled
unattended: unattended
unavailing: unavailing
unbroken: unbroken
unchanging: unchanging
uncivil: uncivil
unclose: unclosed
unconscious: unconscious
unconsciously: unconsciously
uncover: uncovering
understand: understand,understood
undertake: undertaken
underwood: underwood
uneasy: uneasy
uneducated: uneducated
unenforceability: unenforceability
unfeeling: unfeeling
unhallowed: unhallowed
unheeded: unheeded
uniform: uniform
uninteresting: uninteresting
united: united
universal: universal
unknown: unknown
unlink: unlink
unmarried: unmarried
unnoticed: unnoticed
unperceived: unperceived
unpublished: unpublished
unresisting: unresisting
unshadow: unshadowed
unsolicited: unsolicited
unsuccessful: unsuccessful
unsullied: unsullied
update: updated
urge: urged,urging
user: user
usual: usual
ut: ut
utter: utter,uttered
vacancy: vacancy
vagabond: vagabond
vain: vain
vainly: vainly
vampyre: vampyre
vanilla: vanilla
vanity: vanity
variation: variation
variety: variety
vary: varying
vegetable: vegetables
vein: vein,veins
vent: vent
venus: venus
veracious: veracious
version: version
vessel: vessel,vessels
vest: vesting
vibrate: vibrate
vice: vice,vices
vicious: vicious
victim: victim,victims
view: view,viewed,viewing
vigilance: vigilance
villa: villa
vineyard: vineyards
violate: violates
violence: violence
violent: violent
violet: violet
virtue: virtue,virtues
virtuous: virtuous
virus: virus
visible: visible
vision: vision,visions
visit: visit,visited,visits
visitation: visitations
visitor: visitors
vista: vista
vital: vital
voice: voice
void: void
voltaire: voltaire
volume: volumes
volunteer: volunteer,volunteers
voluptuary: voluptuary
voyage: voyage
waft: wafted
wage: wage
wait: waiting
wake: waking
walk: walking,walks
wall: walls
wallow: wallow
wander: wandered,wandering
wanderings: wanderings
war: war
warm: warm,warmer
warmth: warmth
warranty: warranties,warranty
watch: watch,watched,watching
water: waters
watering: watering
wave: wave,waves
wax: wax
weak: weak
weaken: weakened
weakness: weakness
wealth: wealth
weapon: weapon,weapons
wear: worn
weary: weary
weave: weaving
week: week
weigh: weighed
weight: weight
west: west
wet: wet
whatsoever: whatsoever
wherewith: wherewith
whet: whetted
whisper: whisper,whispered
whistle: whistling
wide: wide,widest
wife: wife
wild: wild
william: william
win: win,winning
wind: wind
winding: windings
window: windows
wine: wine,wines
winter: winter
wither: withered
witness: witnessed
woman: woman,women
wonderful: wonderful
wonted: wonted
wood: wood,woods
wooden: wooden
word: word
workings: workings
worthy: worthy
wound: wounded
wounded: wounded
wrap: wrap
wretch: wretch
write: write,writing,written,wrote
writing: writing
yellow: yellow
youth: youth
youthful: youthful
