abandon: abandon,abandoned,abandons
deed: deed,deeds
deem: deem,deemed
deep: deep,deeper,deepest
deepen: deepened,deepens
deer: deer
deface: defaced
defeat: defeated
defect: defect
defence: defence
defend: defend,defended
defender: defender
defensive: defensive
defiant: defiant
deficiency: deficiency
deficient: deficient
defile: defiled,defiling
define: defined,defines
definite: definite
definition: definition
deform: deformed
defraud: defrauding
defraying: defraying
defy: defying
degeneracy: degeneracy
degenerate: degenerate
degrade: degraded
degraded: degraded
degree: degree,degrees
deity: deity
dejection: dejection
del: del
delay: delay,delayed
delectable: delectable
deliberate: deliberate,deliberating
deliberately: deliberately
deliberation: deliberation
delicacy: delicacy
delicate: delicate
delicious: delicious
delight: delight,delights
deliquium: deliquium
delirium: delirium
deliver: deliver
dell: dells
delude: deluded
deluge: deluge
delusion: delusion,delusions
delve: delved
demagogue: demagogue
demand: demand,demanded,demands
demigod: demigod,demigods
democracy: democracy
democratic: democratic
demon: demon
demoniac: demoniac
demoniacally: demoniacally
demur: demurred
denial: denial
denizen: denizens
denomination: denomination
dense: dense
densely: densely
dent: dent,dents
deny: denied,deny,denying
depart: departed,departing
departure: departure
depend: depend,depends
deposit: deposited,depositing,deposits
depot: depot
depreciate: depreciated
depth: depth
depths: depths
der: der
derision: derision
derivation: derivation
derivative: derivative
derive: derive,derived,deriving
dervish: dervish
des: des
descend: descend,descended,descending
descendant: descendants
descent: descent
description: description
desert: desert,deserted,deserts
deserted: deserted
deserter: deserters
deserve: deserve,deserves
design: design,designed,designs
desirable: desirable
desire: desire,desired,desires
desirous: desirous
desk: desk
despair: despair,despaired,despairs
despaired: despaired
despatch: despatch,despatched
desperate: desperate
desperation: desperation
despicable: despicable
despise: despised
desponding: desponding
dessert: dessert
destination: destination
destine: destined
destiny: destiny
destroy: destroy,destroyed,destroying,destroys
destruction: destruction
detain: detain,detained
detect: detect,detected
deter: deter,deterred,deterring
determine: determine,determined,determines
determined: determined
detriment: detriment
deucalion: deucalion
devastation: devastation
develop: developed,developing
development: development
devil: devil,devils
devilish: devilish
devise: devised
devote: devote,devoted,devotes,devoting
devoted: devoted
devotion: devotion
devour: devour,devoured
dew: dew,dews
dewy: dewy
diabolical: diabolical
diagonal: diagonal
dialect: dialect,dialects
dialogue: dialogues
diameter: diameter,diameters
diamond: diamond,diamonds
dictate: dictates
dictionary: dictionary
die: die,died,dies,dying
diet: diet
dietetic: dietetic
difference: difference
difficult: difficult
difficulty: difficulties,difficulty
diffuse: diffused
dig: dig,digging,dug
digest: digest,digested
digestive: digestive
digging: digging
dignified: dignified
dignitary: dignitary
dignity: dignity
dilapidated: dilapidated
dilate: dilating
dilettantism: dilettantism
diligent: diligent
diligently: diligently
dilute: dilute
diluvian: diluvian
dim: dim
dimension: dimensions
diminish: diminish,diminished
dimly: dimly
dimple: dimple,dimples,dimpling
dimpling: dimpling
din: din,dinning
dine: dined,dining
dingy: dingy
dining: dining
dinner: dinner,dinners
dip: dip,dipped
dipper: dipper
direct: direct,directed
direction: direction,directions
dirt: dirt
dirty: dirty
disadvantage: disadvantage
disappear: disappear,disappeared,disappearing,disappears
disappoint: disappointed
disappointed: disappointed
disapprove: disapprove
discern: discern,discerned,discerns
discharge: discharge,discharged,discharges
discipline: discipline
discolor: discolored
discomfiture: discomfiture
disconsolate: disconsolate
discontent: discontent
discontented: discontented
discord: discords
discordant: discordant
discourage: discourage
discourse: discourse,discoursed
discover: discover,discovered,discovering,discovers
discoverer: discoverers
discovery: discoveries,discovery
discretion: discretion
discriminate: discriminates
discriminating: discriminating
discrimination: discrimination
discuss: discussed
disease: disease,diseases
diseased: diseased
disgorge: disgorge
disgrace: disgrace,disgracing
disguise: disguise
disgust: disgust,disgusts
dish: dish,dishes
dishabille: dishabille
dishearten: disheartens
dishonest: dishonest
disinterested: disinterested
disk: disk
dismal: dismal
dismiss: dismiss
disobedience: disobedience
disorder: disorder
disown: disown
dispel: dispel
dispense: dispense,dispensing
disperse: disperse,dispersed,disperses,dispersing
display: displayed,displaying
dispose: dispose,disposed
disposed: disposed
disposition: disposition
dispute: dispute,disputed
disregard: disregard,disregarded,disregards
disreputable: disreputable
dissipate: dissipate,dissipated,dissipates,dissipating
dissipation: dissipation
dissolve: dissolve,dissolved,dissolves
distance: distance,distances
distant: distant
distantly: distantly
distend: distend
distended: distended
distention: distention
distil: distilled
distiller: distiller
distinct: distinct
distinction: distinction,distinctions
distinctly: distinctly
distinguish: distinguish,distinguished,distinguishes
distinguishable: distinguishable
distinguished: distinguished
distort: distorted
distract: distract,distracted
distraction: distraction
distress: distress
distressed: distressed
distribute: distribute,distributed
disturb: disturb,disturbed,disturbing,disturbs
disturbance: disturbance
disturber: disturber
ditch: ditch
ditcher: ditcher
ditty: ditty
divan: divans
dive: dive,dived,dives
diverge: diverged,diverging
divert: divert
divest: divest,divested
divide: divided,divides,dividing
divided: divided
divider: dividers
divine: divine,divining
divining: divining
divinity: divinity
division: division,divisions
divulge: divulge
dobbin: dobbin
dobson: dobson
dock: docks
doctor: doctor,doctors
doctrine: doctrine,doctrines
dodge: dodged
dodona: dodona
dog: dog,dogging,dogs
dogwood: dogwood
doleful: doleful
dolia: dolia
dollar: dollar,dollars
dolphin: dolphin
domestic: domestic
domesticate: domesticated
domesticated: domesticated
door: door,doors
doorway: doorway
dormant: dormant
dose: doses
dost: dost
dot: dots,dotted
double: double,doubled
doubleness: doubleness
doubly: doubly
doubt: doubt,doubted
doubtless: doubtless
dough: dough
dove: dove,doves
dovecot: dovecots
downward: downward
downy: downy
dozen: dozen
drab: drab
drag: drag,dragged,dragging
draggle: draggle
dragon: dragon
drain: drain,drained
drama: drama
drastic: drastic
draught: draught,draughts
draw: draw,drawing,drawn,draws,drew
drawing: drawing
dread: dread
dream: dream,dreamed,dreaming,dreams
drear: drear
dreary: dreary
drench: drenched
drenching: drenching
dresden: dresden
dress: dress,dressed
dressing: dressing
dressmaker: dressmaker
drift: drift,drifted,drifts
driftwood: driftwood
drill: drill
drink: drank,drink,drinking,drinks,drunk
drinking: drinking
drip: dripping
dripping: dripping
drivable: drivable
drive: drive,driven,driving,drove
driver: driver
driving: driving
drone: drone
drool: drooling
droop: droop,drooped,drooping
drop: drop,dropped,dropping,drops
dropsical: dropsical
dross: dross
drove: droves
drover: drovers
drown: drown,drowned,drowning
drowsiness: drowsiness
drowsy: drowsy
drudgery: drudgery
druids: druids
drum: drum
drummer: drummer
drumstick: drumsticks
drunk: drunk
drunkard: drunkard
drunkenness: drunkenness
dry: dried,drier,dry
drying: drying
dryness: dryness
dubious: dubious
duck: duck,ducking,ducks
duckling: duckling
dull: dull,dullest
dulness: dulness
dum: dum
dumb: dumb
dump: dumps
dun: dun
duncan: duncan
duration: duration
durum: durum
dusk: dusk
dusky: dusky
dust: dust,dusted
dusty: dusty
dutch: dutch
duty: duties,duty
dwarf: dwarfs
dwell: dwell,dwelling,dwells,dwelt
dwelling: dwelling,dwellings
dwelt: dwelt
dwindle: dwindled
dye: dyed
dying: dying
dynasty: dynasties,dynasty
dyspepsia: dyspepsia
eager: eager
eagerly: eagerly
eagle: eagles
ear: ear,ears
earn: earn,earned,earning
earnest: earnest
earnestly: earnestly
earning: earning
earth: earth,earths
earthen: earthen
earthiness: earthiness
earthly: earthly
earthy: earthy
ease: ease
easily: easily
east: east
eastern: eastern
eastward: eastward
easy: easier,easiest,easy
eat: ate,eat,eaten,eating,eats
eater: eater
eating: eating
eaves: eaves
ebriosity: ebriosity
echo: echo,echoed,echoes
economic: economic
economical: economical
economize: economized
economy: economy
ecstasy: ecstasy
eden: eden
edge: edge,edged,edges
edifying: edifying
edit: edit
edition: edition
editor: editor,editors
educate: educate,educated
education: education
eel: eels
effective: effective
effectively: effectively
effectual: effectual
effectually: effectually
effeminate: effeminate
effete: effete
effort: effort,efforts
egg: egg,eggs
egotism: egotism
egypt: egypt
egyptian: egyptian
eighteen: eighteen
eighth: eighth,eighths
eightieth: eightieth
ejaculate: ejaculates
ejaculation: ejaculation
eke: eke
elaborate: elaborate
elaborateness: elaborateness
elapse: elapsed
elastic: elastic
elasticity: elasticity
elbow: elbow,elbows
elder: elder
elderly: elderly
elect: elect
election: election
electrify: electrifying
elegance: elegance
element: element,elements
elemental: elemental
elevate: elevate,elevated,elevating
elevated: elevated
elevation: elevation
elicit: elicited
elizabeth: elizabeth
elizabethan: elizabethan
elm: elm,elms
eloquence: eloquence
eloquent: eloquent
eloquently: eloquently
elysian: elysian
emancipation: emancipation
emasculate: emasculated
embankment: embankment
ember: embers
embodiment: embodiment
embrace: embraced,embraces,embracing
embroider: embroidered
embryo: embryo
emerald: emerald
emerge: emerged,emerges
eminent: eminent
emit: emit,emits
emperor: emperor,emperors
emphasis: emphasis
emphasize: emphasizing
empire: empire,empires
employ: employ,employed,employing,employs
employee: employee
employer: employer
employment: employment,employments
emptiness: emptiness
emulate: emulate
enable: enable,enabled
enact: enacted
encircle: encircling
encounter: encountered
encourage: encourage,encouraging
encouragement: encouragement
encouraging: encouraging
encroachment: encroachments
encumber: encumbered
encumbrance: encumbrance,encumbrances
endanger: endangered
endeavor: endeavor,endeavored,endeavoring,endeavors
endless: endless
endow: endowed
endurance: endurance
endure: endure,enduring
enemy: enemies,enemy
energetically: energetically
energy: energy
enervate: enervates
engage: engage,engaged
engaged: engaged
engagement: engagement,engagements
engine: engine,engines
engineer: engineer,engineers
england: england
englander: englander
english: english
englishman: englishman
englishmen: englishmen
engraven: engraven
enhance: enhance,enhanced
enjoy: enjoy,enjoyed,enjoying,enjoys
enjoyment: enjoyment
enlighten: enlighten
enlightened: enlightened
enlist: enlist
ennui: ennui
enormity: enormity
enormous: enormous
enrich: enriched
enslave: enslave
entangle: entangled
enter: enter,entered,entering
enterprise: enterprise,enterprised,enterprises
enterprising: enterprising
entertain: entertain,entertained,entertains
entertained: entertained
entertainment: entertainment,entertainments
enthusiasm: enthusiasm
entire: entire
entireness: entireness
entitle: entitled,entitles
entity: entity
entomologist: entomologists
entrance: entrance
entry: entries,entry
enumerate: enumerating
envelop: envelop
environ: environ
epaulet: epaulet
epidermis: epidermis
epitaph: epitaph
epitome: epitome
epoch: epochs
equable: equable
equal: equal,equalled,equals
equally: equally
equilibrium: equilibrium
equipage: equipage
equivalent: equivalent
era: era,eras
eradication: eradication
ere: ere
erect: erect,erected
errand: errand,errands
error: error
eruption: eruption
escape: escape,escaped
escort: escort
esculent: esculents
esoteric: esoteric
esquire: esquire
esse: esse
essence: essence
essential: essential,essentials
essentially: essentially
establish: establish,established
establishment: establishment
estate: estate,estates
esteem: esteem,esteemed,esteeming
esteemed: esteemed
estimate: estimate,estimated,estimates,estimating
estimation: estimation
estivate: estivate
eternal: eternal
eternity: eternities,eternity
etesian: etesian
ether: ether
ethereal: ethereal
ethic: ethics
etiquette: etiquette
eulogies: eulogies
europe: europe
european: european
eurus: eurus
evangelist: evangelist
evaporate: evaporate
evaporation: evaporation,evaporations
eve: eve
evelyn: evelyn
evening: evening,evenings
event: event,events
eventful: eventful
eventide: eventide
evergreen: evergreen,evergreens
everlasting: everlasting
everlastingly: everlastingly
evidence: evidence,evidences
evident: evident
evidently: evidently
evil: evil,evils
evince: evincing
evitable: evitable
exact: exact
exacting: exacting
exaggerate: exaggerate
exalt: exalted
examine: examine,examined,examining
exceed: exceeds
exceedingly: exceedingly
excellent: excellent
exception: exception,exceptions
excess: excess
excessive: excessive
exchange: exchange,exchanged
excitable: excitable
excite: excite,excited
excited: excited
excitement: excitement
exciting: exciting
exclaim: exclaim,exclaimed
exclude: exclude,excluded,excluding
exclusion: exclusion
exclusively: exclusively
exclusiveness: exclusiveness
excommunicate: excommunicate
excrement: excrement,excrements
excrementitious: excrementitious
excursion: excursion,excursions
excuse: excuse,excused
execute: execute,executed
execution: execution
exempt: exempted
exercise: exercise
exert: exert,exerts
exertion: exertion,exertions
exhalation: exhalations
exhaust: exhausted
exhausted: exhausted
exhaustion: exhaustion
exhibit: exhibit,exhibited,exhibiting
exhibition: exhibition
exhilarate: exhilarating
exhilarating: exhilarating
exist: exist,existed,existing,exists
existence: existence
exogenous: exogenous
exorbitant: exorbitant
exoteric: exoteric
expand: expand,expanded
expanse: expanse
expansion: expansion
expect: expect,expected,expecting,expects
expectation: expectation,expectations
expecter: expecter
expediency: expediency
expedient: expedient
expedition: expedition,expeditions
expeditious: expeditious
expel: expelled
expense: expense,expenses
expensive: expensive
experience: experience,experienced,experiences
experienced: experienced
experiment: experiment,experiments
experimentalist: experimentalists
expert: expert
expiate: expiating
expiatory: expiatory
explain: explain
explore: explore,exploring
export: export,exports
expose: expose,exposed,exposing
exposed: exposed
express: express,expressed,expresses,expressing
expression: expression
expressive: expressive
expulsion: expulsion
extend: extend,extended,extends
extensive: extensive
extent: extent
exterminate: exterminated
external: external
externally: externally
extinct: extinct
extinguish: extinguish,extinguished
extra: extra
extract: extract,extracting
extraction: extraction
extravagant: extravagant
extravagantly: extravagantly
extreme: extreme,extremes
extremely: extremely
extremity: extremities,extremity
exuberance: exuberance
exude: exude
eye: eye,eyes
eyelash: eyelashes
eyry: eyry
fable: fable,fables
fabulous: fabulous
faced: faced
factitious: factitious
factory: factories,factory
faculty: faculties,faculty
fade: fade
fagot: fagots
fail: fail,failed,failing,fails
failure: failure,failures
fain: fain
faint: faint,faintest
faintly: faintly
fair: fair,fairer,fairest
fairy: fairy
faith: faith
faithful: faithful
faithfully: faithfully
falconry: falconry
fall: fall,fallen,falling,falls,fell
fallow: fallow
falls: falls
false: false
falsehood: falsehood
falsely: falsely
fame: fame
familiar: familiar
family: families,family
famine: famine
famous: famous
fan: fan
fancied: fancied
fanciful: fanciful
fancifully: fancifully
fancy: fancied,fancy
fantastic: fantastic
fare: fare
farewell: farewell
farm: farm,farms
farmer: farmer,farmers
farmhouse: farmhouses
farming: farming
farth: farthest
fashion: fashion,fashions
fashionable: fashionable
fashioned: fashioned
fast: fast,fasted,faster
fasten: fasten,fastened
fasting: fasting
fat: fat
fatal: fatal
fatalist: fatalist
fatally: fatally
fate: fate,fates
fates: fates
father: father,fathers
fatherland: fatherland
fathom: fathom,fathomed,fathoms
fatigued: fatigued
fatness: fatness
fatted: fatted
fatten: fattened
fault: fault,faults
faun: fauns
faux: faux
favor: favor,favored,favoring
favorable: favorable
fear: fear,feared,fearing,fears
feast: feast
feather: feather,feathers
feature: feature,featured,features
february: february
fed: fed
feeble: feeble,feebler,feeblest
feebly: feebly
feed: fed,feed
feeder: feeder
feeding: feeding
feel: feel,feeler,feeling,feels
feeler: feelers
feeling: feeling,feelings
fell: felled,felling
feller: fellers
fellow: fellow,fellows
female: female
fence: fence,fenced,fences
fencing: fencing
fermentation: fermentations
fern: fern
ferocity: ferocity
ferrule: ferrule
fertile: fertile
fertility: fertility
fertilize: fertilizing
festal: festal
festival: festival
festive: festive
festoon: festoons
fetch: fetch,fetched
fetter: fetters
fibre: fibre
fibrous: fibrous
fictile: fictile
fiction: fiction
fidelity: fidelity
field: field,fields
fiercely: fiercely
fiery: fiery
fight: fight,fights,fought
figure: figure,figures
file: file
filth: filth
fin: fins
final: final
finally: finally
finance: finance
finder: finder
fine: fine,finer,finest
finely: finely
fineness: fineness
finger: finger,fingers
finish: finish,finished,finishes,finishing
fir: fir
fireman: firemen
fireplace: fireplace
fireside: fireside
firing: firing
firkin: firkin
firm: firm,firmer
firma: firma
firmament: firmament
firmly: firmly
firstly: firstly
fish: fish,fished,fishes,fishing
fisher: fisher,fishers
fisherman: fisherman,fishermen
fishery: fisheries
fishing: fishing
fit: fit,fits,fitted,fittest,fitting
fitness: fitness
fitting: fitting
fixture: fixture
flabbiest: flabbiest
flag: flag,flags
flake: flakes
flame: flame,flames
flannel: flannel
flap: flap,flapped,flapping
flash: flash,flashes
flat: flat,flatter
flatter: flattered
flattering: flattering
flattish: flattish
flatulency: flatulency
flavor: flavor
flaxen: flaxen
flee: flee
fleet: fleet,fleets
fleeting: fleeting
flesh: flesh,fleshed
fleshy: fleshy
flicker: flickering
flight: flight,flights
flint: flint
flit: flit,flitted,flitting
float: float,floated,floating,floats
flock: flock,flocks
flood: flood
floor: floor
flooring: flooring
flounder: floundered,floundering
flour: flour
flourish: flourish,flourishes,flourishing
flourishing: flourishing
flow: flow,flowed,flowing,flows
flower: flower,flowers
flowering: flowering
flowery: flowery
fluctuate: fluctuating
fluctuation: fluctuation
fluid: fluid
flurry: flurries
flute: flute
flutter: flutter,fluttered,fluttering
fluviatile: fluviatile
fly: flew,flies,fly,flying
flying: flying
fodder: fodder,foddering
foe: foe,foes
fog: fog,fogs
foggy: foggy
foist: foist
fold: folds
foliaceous: foliaceous
foliage: foliage
folk: folks
follow: follow
follower: follower
fondness: fondness
food: food
fool: fool
foolish: foolish
foolishly: foolishly
foolishness: foolishness
foot: feet,foot
footpath: footpath
footstep: footsteps
forbid: forbid,forbidden
forbidden: forbidden
force: force,forced,forces
forcibly: forcibly
fore: fore
foreboding: forebodings
forefather: forefathers
foreground: foreground
foreign: foreign
foreigner: foreigner
foreknowledge: foreknowledge
foremost: foremost
forenoon: forenoon
foresee: foresee
forest: forest,forests
forester: forester
forge: forge,forged
forget: forget,forgetting,forgot,forgotten
forgive: forgiven,forgiving
fork: forked,forks
forlorn: forlorn
form: form,formed,forming,forms
formal: formal
formula: formula
forsake: forsake,forsaken
forsaking: forsaking
forsooth: forsooth
fort: fort,forts
forthwith: forthwith
fortitude: fortitude
fortnight: fortnight
fortune: fortune,fortunes
forum: forum
fossil: fossil
foundation: foundation,foundations
founder: founder
fountain: fountain
fourteen: fourteen
fourth: fourth
fowl: fowl,fowling,fowls
fowling: fowling
fox: fox,foxes
fraction: fraction
fragile: fragile
fragment: fragment
fragrance: fragrance
fragrant: fragrant
frame: frame,framed
france: france
frankincense: frankincense
franklin: franklin
frankness: frankness
freeborn: freeborn
freedom: freedom
freely: freely
freeman: freeman
freeze: freeze,freezes,freezing,froze,frozen
freezing: freezing
freight: freight
french: french
frequency: frequency
frequent: frequent,frequented,frequenting,frequents
frequenter: frequenter
frequently: frequently
fresco: fresco
fresh: fresh,fresher
freshet: freshet,freshets
freshly: freshly
freshness: freshness
fret: fretted
friction: friction
friday: friday
fridays: fridays
friend: friend,friends
friendliness: friendliness
friendly: friendly
friendship: friendship
frightening: frightening
fringe: fringe,fringed
frisk: frisk
fritter: frittered
frivolous: frivolous
frizzled: frizzled
fro: fro
frock: frock
frog: frog,frogs
frond: fronds
frontier: frontier
fronting: fronting
frost: frost,frosts
frostbitten: frostbitten
frosty: frosty
frozen: frozen
frugal: frugal
fruit: fruit,fruits
fruitful: fruitful
fry: fried,fry
frying: frying
fuel: fuel
fugitive: fugitive
fulfil: fulfil,fulfilled
fume: fumes
function: function,functions
fund: fund
funeral: funeral
fungus: fungi,fungus
fur: fur,furring
furious: furious
furnace: furnace
furnish: furnish,furnished,furnishes
furniture: furniture
furrow: furrow,furrowing,furrows
fut: fut
future: future
futurity: futurity
gabardine: gabardine
gain: gain,gained,gains
gainer: gainer
gala: gala
gale: gale,gales
gales: gales
gallery: gallery
gallows: gallows
game: game,games
gaming: gaming
gang: gang
gange: ganges
gantlet: gantlet
gap: gap,gaps
garb: garb
garden: garden,gardens
garlic: garlic
garment: garment,garments
garret: garret,garrets
gasp: gasping
gate: gate
gateway: gateway
gather: gather,gathered,gathering,gathers
gatherer: gatherer
gauge: gauge
gauging: gauging
gaunt: gaunt
gay: gay
gaze: gaze,gazed
gazer: gazers
gazette: gazette,gazettes
gelatinous: gelatinous
gem: gem,gems
generate: generated
generation: generation,generations
generative: generative
generosity: generosity
generous: generous
generously: generously
genial: genial
genius: genius
gentle: gentle
gentleman: gentleman,gentlemen
gentleness: gentleness
gently: gently
genuine: genuine
genus: genus
geological: geological
geologist: geologist,geologists
george: george
georgia: georgia
germ: germ,germs
german: german
gesture: gesture
gewgaw: gewgaws
ghastly: ghastly
ghost: ghosts
ghoul: ghouls
giant: giant,giants
gift: gift,gifts
gig: gigs
gild: gilding
gilded: gilded
gill: gill
gilt: gilt
ginger: ginger
gingerbread: gingerbread
gingham: ginghams
giraffe: giraffe,giraffes
gird: gird,girded
girdle: girdled,girdling
girl: girl,girls
girth: girth,girths
gizzard: gizzard
glad: glad
gladly: gladly
glance: glances,glancing
glass: glass,glasses
glassy: glassy
glaucous: glaucous
glb: glb
gleam: gleam,gleamed,gleaming
glean: gleaning
glee: glee,glees
glen: glen
glide: glide,gliding
glimmer: glimmer
glimpse: glimpse
glisten: glistening
globe: globe
globule: globule
globus: globus
glorify: glorify
glorious: glorious
glory: glory
glow: glow,glowing,glows
glowing: glowing
glue: glue
glutton: glutton
gluttonous: gluttonous
gnarled: gnarled
gnaw: gnaw,gnawed,gnawing
goad: goaded
goal: goal
goat: goat
gobble: gobble
god: god,gods
goddess: goddess
godlike: godlike
godspeed: godspeed
gold: gold
golden: golden
goldenrod: goldenrod
gong: gong
goodness: goodness
goody: goody
goose: geese,goose
gorge: gorge
gorgon: gorgon
gorry: gorry
gosh: gosh
gossamer: gossamer
gossip: gossip,gossips
gothic: gothic
gouge: gouged
gourd: gourds
govern: govern,governed,governs
government: government,governments
governor: governor
gown: gown
grace: grace,graces
graceful: graceful
gracefully: gracefully
gracefulness: gracefulness
gradation: gradations
grade: grades,grading
gradual: gradual
gradually: gradually
graduate: graduated
grain: grain,grains
granada: granada
granary: granaries,granary
grand: grand,grander,grandest
grandeur: grandeur
grandfather: grandfather
grandly: grandly
grandmother: grandmother
granite: granite
grant: granted
granum: granum
grape: grape,grapes
graphically: graphically
grapple: grappling
grasp: grasp,grasping
grass: grass,grasses
grasshopper: grasshoppers
grassy: grassy
grate: grate,grating
grateful: grateful
gratification: gratification
gratuitous: gratuitous
gratuitously: gratuitously
grave: grave,graves
gravelly: gravelly
gravely: gravely
graveyard: graveyard
gravitate: gravitate
gravity: gravity
gray: gray
grease: grease
greasy: greasy
greatcoat: greatcoat
greatly: greatly
greatness: greatness
grecian: grecian
greece: greece
greedily: greedily
greedy: greedy
greek: greek,greeks
green: green,greener
greenish: greenish
greenness: greenness
greet: greet
gregariousness: gregariousness
grenadier: grenadiers
grey: grey
grief: grief,griefs
grievance: grievance
grieve: grieve,grieved
grind: grind
grist: grist
grocery: groceries,grocery
groove: groove,grooves
grope: groped,groping
gross: gross,grossest
grosse: grosse
grotesque: grotesque
ground: ground
groundnut: groundnut
grounds: grounds
grove: grove,groves
grovel: grovelling
grow: grew,grow,growing,grown,grows
growl: growl
growth: growth
grub: grub,grubbing
gruel: gruel
guard: guard,guarded
guardian: guardian
guess: guess,guessed
guest: guest,guests
guidance: guidance
guide: guide,guided,guides
guile: guile
guilt: guilt
guilty: guilty
guinea: guinea
guise: guise
gulf: gulf
gull: gull
gulp: gulped
gum: gum
gun: gun,guns
gunny: gunny
gurgle: gurgling
gush: gushed
guttural: guttural
guy: guy
gypsy: gypsy
gyrinus: gyrinus
habet: habet
habit: habit,habits
habitat: habitat
habitation: habitation
habitually: habitually
hack: hack
hacking: hacking
haddock: haddock
hag: hags
hair: hair,hairs
hall: hall,halls
halo: halo
hamlet: hamlet,hamlets
hammer: hammer,hammered,hammering,hammers
hammered: hammered
hand: hand,handed,hands
handed: handed
handful: handful
handkerchief: handkerchief
handle: handle,handles
handling: handling
handselled: handselled
handsome: handsome
handsomely: handsomely
handsomer: handsomer
handwriting: handwriting
handy: handy
hang: hang,hanging,hangs,hung
happen: happen,happened
happily: happily
happiness: happiness
happy: happy
harass: harass,harassed
harbor: harbor,harbored,harbors
harborless: harborless
hard: hard,harder,hardest
hardiness: hardiness
hardness: hardness
hardship: hardship
hardy: hardier,hardy
hare: hare,hares
harem: harem
hark: hark
harlequin: harlequin
harm: harm
harmless: harmless
harmonious: harmonious
harmonize: harmonized
harmony: harmony
harness: harness,harnessed
harp: harp
harper: harper
harpy: harpy
harrier: harriers
harrow: harrowed
harrowing: harrowing
harry: harry
harsh: harsh
harshly: harshly
harvest: harvest,harvested
harvesting: harvesting
hast: hast
haste: haste
hasten: hasten,hastens
hastily: hastily
hasty: hasty
hat: hat
hatch: hatched,hatches
hatching: hatching
hate: hate
hatred: hatred
haughty: haughty
haul: haul,hauled
haunt: haunt,haunted,haunts
hawk: hawk,hawks
hay: hay
haying: haying
haze: haze
hazel: hazel
hazy: hazy
head: head,headed,heads
headed: headed
headland: headlands
headlong: headlong
headway: headway
health: health
healthy: healthy
heap: heap,heaps
hear: hear,heard,hearing,hears
hearer: hearer
hearing: hearing
heart: heart,hearts
hearted: hearted
hearth: hearth
heartily: heartily
hearty: heartiest,hearty
heat: heat
heathen: heathen
heathenish: heathenish
heave: heave,heaved
heaven: heaven,heavens
heavenly: heavenly
heaving: heaving
heavy: heaviest,heavy
hebe: hebe
hebrews: hebrews
hector: hector
heedless: heedless
heedlessly: heedlessly
heedlessness: heedlessness
heel: heel,heels
height: height,heights
heir: heir
helena: helena
helm: helm
helpless: helpless
helve: helve
hemlock: hemlock
hemp: hemp
hen: hen,hens
henceforth: henceforth
henry: henry
herald: herald,heralds
herb: herb,herbs
herba: herba
herculean: herculean
hercules: hercules
herd: herd,herds
herdsman: herdsman
hereabouts: hereabouts
hermit: hermit
hero: hero,heroes
heroic: heroic
heroism: heroism
heron: herons
hesitate: hesitate,hesitated
hesperides: hesperides
hew: hewed,hewing,hewn
hezekiah: hezekiah
hic: hic
hickory: hickories,hickory
hide: hide,hides
hideous: hideous
hieroglyphic: hieroglyphic
highway: highway,highways
hilarious: hilarious
hill: hill,hills
hills: hills
hillside: hillside,hillsides
hinder: hinder,hindered
hindoo: hindoo
hindrance: hindrance,hindrances
hinge: hinges
hint: hint
hippocrates: hippocrates
hire: hire,hired,hires,hiring
hireling: hireling
hirundo: hirundo
hissing: hissing
historical: historical
history: histories,history
hit: hit
hitherto: hitherto
hive: hive,hives
hoarse: hoarse
hoary: hoary
hobble: hobble
hoe: hoe,hoed,hoeing
hoeing: hoeing
hog: hog,hogs
hogshead: hogshead
hold: held,hold,holding,holds
holder: holder,holders
hole: hole,holes
holiday: holiday,holidays
holiness: holiness
hollander: hollander
hollow: hollow,hollowed,hollows
holly: holly
holy: holiest,holy
homage: homage
homer: homer,homers
homeric: homeric
homesick: homesick
homestead: homestead,homesteads
homeward: homeward
hominy: hominy
honest: honest
honestly: honestly
honesty: honesty
honey: honey
honeycombed: honeycombed
honk: honk
honking: honking
honor: honor,honored,honors
honorable: honorable
hoo: hoo
hook: hook,hooks
hooked: hooked
hooting: hooting
hop: hop
hope: hope,hoped,hopes,hoping
hopeful: hopeful
hopeless: hopeless
hopper: hoppers
horizon: horizon
horizontal: horizontal
horizontally: horizontally
horn: horn,horned,horns
hornbeam: hornbeam
horny: horny
horrid: horrid
horror: horrors
horse: horse,horses
hospitable: hospitable
hospitality: hospitality
host: host
hot: hot,hotter
hotel: hotel
hound: hound,hounds
hounding: hounding
hour: hour,hours
hourly: hourly
house: house,housed,houses
household: household,households
housekeeper: housekeeper,housekeepers
housekeeping: housekeeping
housewife: housewife,housewives
housework: housework
hover: hovering
howard: howard
howl: howl,howls
huckleberry: huckleberries,huckleberry
hudson: hudson
hue: hue,hues
hug: hugs
huge: huge
hugh: hugh
hum: hum,hummed,humming
human: human
humane: humane
humanely: humanely
humanest: humanest
humanity: humanity
humanized: humanized
humble: humble,humbler
humbly: humbly
humility: humility
hummock: hummock
humor: humor
humorous: humorous
hung: hung
hunger: hunger
hungry: hungry
hunt: hunt,hunted,hunting
hunter: hunter,hunters
hunting: hunting
hurl: hurled
hurry: hurried,hurry
hurt: hurt
husbandman: husbandman,husbandmen
husbandry: husbandry
hush: hush,hushed
husk: husks
hustling: hustling
hut: hut,huts
hyades: hyades
hybrid: hybrid,hybrids
hyde: hyde
hydra: hydra
hygeia: hygeia
