abatement: abatement
god: god
godfather: godfather
goer: goer
gold: gold
goodness: goodness
goodwill: goodwill
gothic: gothic
gouty: gouty
government: government
gown: gown,gowns
grace: grace
graceful: graceful
gracious: gracious
gradation: gradation,gradations
gradually: gradually
grammar: grammar
grand: grand
grandeur: grandeur
grant: granted
grasp: grasped
grate: grated
grateful: grateful
gratification: gratification
gratified: gratified
gratify: gratifying
gratifying: gratifying
gratitude: gratitude
grave: grave
gravel: gravel
gravely: gravely
gray: gray
greatcoat: greatcoat,greatcoated,greatcoats
greatly: greatly
greedy: greedy
green: green
greet: greeted
grey: grey
grief: grief
grieve: grieved
grievous: grievous
grievously: grievously
groan: groans
groom: groom
grope: groping
grossly: grossly
ground: ground
groundless: groundless
grounds: grounds
grove: grove
grow: grew,grow,growing,grown,grows
growth: growth
guard: guard,guarded
guess: guess,guessed,guesses
guesswork: guesswork
guest: guest
guide: guide,guided
guileless: guileless
guilt: guilt
guilty: guilty
guinea: guineas
gun: guns
gust: gust,gusts
gutter: gutters
habit: habit,habits
habitable: habitable
habitual: habitual
habituate: habituated
habitude: habitude
hack: hack
haggle: haggling
hail: hailed
hair: hair
hall: hall
halloo: halloo,hallooing
hand: hand,handed,hands
handkerchief: handkerchief
handle: handle,handles
handsome: handsome,handsomer,handsomest
handsomely: handsomely
hang: hanging,hangs,hung
hanging: hangings
happen: happen,happened
happily: happily
happiness: happiness
happy: happier,happiest,happy
harass: harassed
harbour: harbour,harboured,harbours
hard: hard,harder
harden: hardened
hare: hare
harm: harm
harmless: harmless
harness: harness
harriet: harriet
harsh: harshest
hasp: hasp
haste: haste
hasten: hasten,hastened,hastening
hastily: hastily
hat: hat,hats
hate: hate,hated
hateful: hateful
haughtiness: haughtiness
haunch: haunches
haunt: haunted
hazard: hazarding,hazards
head: head,heads
health: health
hear: hear,heard,hearing
hearer: hearers
hearing: hearing
heart: heart,hearts
hearted: hearted
heartfelt: heartfelt
heartily: heartily
hearty: hearty
heaven: heaven,heavens
heavenly: heavenly
heavily: heavily
heavy: heaviest,heavy
heedless: heedless
height: height
heir: heir,heirs
heiress: heiress
helpless: helpless
hen: hens
henceforward: henceforward
henry: henry
hereford: hereford
heretofore: heretofore
hermitage: hermitage
hero: hero,heroes
heroic: heroic
heroine: heroine,heroines
heroism: heroism
hesitation: hesitation
hey: hey
heyday: heyday
hide: hide,hiding
hideous: hideous
highly: highly
hill: hill,hills
hindrance: hindrance
hint: hint,hinted,hints
historian: historians
history: histories,history
hitherto: hitherto
hoard: hoard
hobby: hobby
hold: held,hold,holding,holds
hole: hole
hollow: hollow
holy: holy
honest: honest
honesty: honesty
honour: honour,honoured,honours
honourable: honourable
honourably: honourably
hoop: hoop
hope: hope,hoped,hopes
hopeful: hopeful
hopeless: hopeless
horizon: horizon
horrible: horrible
horrid: horrid
horror: horror,horrors
horse: horse,horses
horseback: horseback
horseman: horsemen
hospitality: hospitality
hot: hot
hotel: hotel
hound: hounds
hour: hour,hours
house: house,houses
household: household
housekeeper: housekeeper
housemaid: housemaid,housemaids
hughes: hughes
hum: hum,hummed,humming
human: human
humanity: humanity
humble: humble,humbled,humbling
hume: hume
humiliation: humiliation
humour: humour
humoured: humoured
hundredth: hundredth
hunger: hunger
hungry: hungry
hunt: hunt
hunter: hunter
huntsman: huntsman
hurry: hurried,hurry,hurrying
hurt: hurt,hurts
husband: husband
hyacinth: hyacinth,hyacinths
ice: ice
idea: idea,ideas
idiot: idiot
idle: idle
idleness: idleness
idly: idly
ignorance: ignorance
ignorant: ignorant
illness: illness
illumination: illumination
image: image
imaginable: imaginable
imagination: imagination,imaginations
imagine: imagine,imagined
imbecility: imbecility
imitate: imitating
imitator: imitators
immeasurable: immeasurable
immense: immense
immoderately: immoderately
immovable: immovable
impartial: impartial
impatience: impatience
impatient: impatient
impatiently: impatiently
impediment: impediment
impel: impelled
impenetrable: impenetrable
imperfect: imperfect
imperfection: imperfection
impertinent: impertinent
impetuous: impetuous
implicitly: implicitly
implied: implied
imply: implied
impolitic: impolitic
import: import
importunate: importunate
importune: importune
impose: impose,imposed
imposing: imposing
impossibility: impossibility
impossible: impossible
impress: impress
impressed: impressed
impression: impression,impressions
imprisonment: imprisonment
improbable: improbable
improper: improper
impropriety: impropriety
improve: improve,improved,improving
improvement: improvement,improvements
imprudence: imprudence
imprudent: imprudent
impudent: impudent
inability: inability
inactive: inactive
inadequate: inadequate
inapplicable: inapplicable
inattention: inattention
inattentive: inattentive
incapable: incapable
incapacity: incapacity
incessant: incessant
incessantly: incessantly
inch: inch,inches
incivility: incivility
inclination: inclination
incline: incline
inclined: inclined
include: included,including
incoherent: incoherent
income: income
incommode: incommoded
incompatible: incompatible
incomprehensibility: incomprehensibility
incomprehensible: incomprehensible
incomprehensibly: incomprehensibly
inconceivable: inconceivable
inconsiderable: inconsiderable
inconsistency: inconsistencies,inconsistency
inconsistent: inconsistent
inconsolable: inconsolable
inconstancy: inconstancy
inconstant: inconstant
inconvenience: inconvenience,inconveniences
incorrectness: incorrectness
increase: increase,increased,increasing
incredible: incredible
incredulously: incredulously
incumbent: incumbent
indebt: indebted
indecorum: indecorum
independence: independence
independent: independent
indescribable: indescribable
indian: indian
indifference: indifference
indifferent: indifferent
indignation: indignation
indignity: indignity
indiscriminating: indiscriminating
indispensable: indispensable
induce: induce,induced
inducement: inducement
indulge: indulge,indulged,indulging
indulgence: indulgence
indulgent: indulgent
industrious: industrious
ineffectual: ineffectual
inequality: inequality
inevitable: inevitable
inevitably: inevitably
inexplicability: inexplicability
inexpressibly: inexpressibly
infallibly: infallibly
infamy: infamy
infancy: infancy
infatuation: infatuation
infer: infer
inferior: inferior,inferiors
inferiority: inferiority
infinitely: infinitely
inflated: inflated
inflict: inflicting
influence: influence,influenced
inform: inform,informed,informing,informs
informed: informed
ingenuity: ingenuity
inhabit: inhabit,inhabited
inhabitant: inhabitant,inhabitants
inherit: inherit
inheritance: inheritance
injunction: injunction
injure: injured,injuring
injured: injured
injurious: injurious
injury: injury
injustice: injustice
inlaid: inlaid
inn: inn,inns
innate: innate
innkeeper: innkeepers
innocence: innocence
innocent: innocent
innocently: innocently
innumerable: innumerable
inquietude: inquietude
inquire: inquire,inquired,inquiring
inquiry: inquiries,inquiry
insensibility: insensibility
insensible: insensible
inseparable: inseparable
insight: insight,insights
insignificant: insignificant
insinuation: insinuations
insipid: insipid
insist: insist,insisted
insolence: insolence
inspection: inspection
inspire: inspired
instance: instance,instances
instant: instant,instants
instantaneously: instantaneously
instantly: instantly
instigator: instigator
instinctive: instinctive
instinctively: instinctively
instruct: instruct
instruction: instruction,instructions
instrument: instrument
insufferable: insufferable
insult: insult
insupportable: insupportable
insupportably: insupportably
insurgent: insurgents
integrity: integrity
intellectual: intellectual
intelligence: intelligence
intelligent: intelligent
intelligible: intelligible
intend: intend,intended,intending
intense: intense
intent: intent
intention: intention,intentions
intentional: intentional
intently: intently
intercept: intercepting
intercourse: intercourse
interfere: interfere
interference: interference
interrupt: interrupted
interruption: interruptions
interval: interval,intervals
intervene: intervene
interview: interview
intimacy: intimacy
intimate: intimate
intimation: intimation
intimidate: intimidate
intolerable: intolerable
intolerably: intolerably
introduce: introduce,introduced
introduction: introduction
intruder: intruder
intrusion: intrusion
inured: inured
invent: invent
inventory: inventory
investigate: investigated
invigorate: invigorating
invitation: invitation,invitations
invite: invited,inviting
involuntarily: involuntarily
involuntary: involuntary
involve: involve,involved
ire: ire
irksome: irksome
irksomeness: irksomeness
iron: iron
irrecoverably: irrecoverably
irresistible: irresistible
irritable: irritable
irritated: irritated
irritating: irritating
irritation: irritation,irritations
isabella: isabella
issue: issuing
italian: italian
italy: italy
jackson: jackson
jade: jade
jaded: jaded
james: james
jane: jane
japan: japan
jealous: jealous
jealousy: jealousy
jest: jest
jew: jew
jig: jig
john: john
johnson: johnson
joke: joke
jones: jones
journal: journal
journey: journey
jove: jove
joy: joy
joyful: joyful
joyfully: joyfully
joyfulness: joyfulness
judge: judge,judging
judging: judging
judgment: judgment
judicious: judicious
judiciously: judiciously
jump: jumped
justice: justice
justification: justification
justify: justified,justify,justifying
justly: justly
justness: justness
keen: keen
key: key
kick: kick
kill: killed
kin: kin
kindly: kindly
kindness: kindness
king: king,kings
kingdom: kingdom
kitchen: kitchen
knee: knees
knock: knocked,knocking,knocks
knoll: knolls
knowing: knowing
knowledge: knowledge
laboriously: laboriously
labour: labour,labouring,labours
lace: lace
lady: ladies,lady
ladyship: ladyship
lament: lament,lamented
lamp: lamp,lamps
land: land,landed,lands
landing: landing
landscape: landscape,landscapes
language: language
languid: languid
languish: languished
languor: languor
lank: lank
lantern: lantern
lap: lap
lash: lashed
lassitude: lassitude
lastly: lastly
late: late
latin: latin
laugh: laugh,laughed,laughing
laughingly: laughingly
laughter: laughter
launch: launched
laura: laura
lavender: lavender
law: law,laws
lawful: lawful
lawn: lawn
lawyer: lawyer
lay: laid,lay,lays
laziness: laziness
lazy: lazy
lead: lead,leading,led
leafless: leafless
lean: leaning,leant
leaning: leaning
leap: leaped
learn: learn,learned,learning,learnt
learning: learning
leave: leave,leaves,leaving,left
lecture: lecture
left: left
leg: legs
legend: legends
leisure: leisure
leisurely: leisurely
lengthen: lengthen,lengthened
lenient: lenient
lessen: lessen,lessened
lesson: lesson,lessons
letter: letter,letters
level: level
liberal: liberal
liberally: liberally
liberty: liberty
library: library
lid: lid
lie: lies,lying
life: life,lives
light: light,lighted,lighter,lights,lit
lightly: lightly
likelihood: likelihood
likeness: likeness
liking: liking
linen: linen
linger: linger,lingering
lining: linings
link: linked
lip: lips
liquor: liquor
list: list
listen: listen,listened,listening
listlessness: listlessness
literary: literary
litter: litter
live: live,lived,living
lively: liveliest,lively
liveried: liveried
living: living,livings
lobby: lobby
lock: lock,locking,locks
lodge: lodge,lodged,lodges
lodgings: lodgings
lofty: lofty
loin: loins
loiter: loiter,loitered
loitering: loitering
london: london
lonely: lonely
longing: longing
looker: lookers
lord: lord,lords
lose: lose,losing,lost
loss: loss
lost: lost
lot: lot
loud: loud,loudest
lounge: lounges,lounging
love: love,loved,loves,loving
lovely: lovely
lover: lover,lovers
luck: luck
luckily: luckily
lucky: lucky
lute: lute
luxuriant: luxuriant
luxury: luxury
machination: machinations
madam: madam
magdalen: magdalen
magnificence: magnificence
magnificent: magnificent
magnify: magnified
mahogany: mahogany
maid: maid,maids
maintain: maintain,maintained
malady: malady
malevolent: malevolent
malicious: malicious
mamma: mamma,mammas
manage: manage
management: management
manner: manner
manners: manners
manufacture: manufacture
manuscript: manuscript
marble: marble
march: march
mare: mare
maria: maria
mark: marked
market: market
marketplace: marketplace
marquis: marquis
marriage: marriage,marriages
married: married
marry: married,marry,marrying
marrying: marrying
massy: massy
master: master
match: match,matched,matches
material: material
materially: materially
maternal: maternal
matilda: matilda
matrimony: matrimony
matter: matter,matters
mature: mature
maxim: maxims
mayst: mayst
meadow: meadow,meadows
meal: meal
meaning: meaning
measure: measure,measured,measures
meat: meat
mechlin: mechlin
meditate: meditate,meditated
meditation: meditations
meekly: meekly
meet: meet,meeting,met
meeting: meeting
meetly: meetly
melancholy: melancholy
melt: melt,melted
memento: memento
memoirs: memoirs
memorial: memorials
memory: memories,memory
mend: mended,mending
mental: mental
mention: mention,mentioned
merchant: merchant
mercy: mercy
mere: mere
merit: merit,merits
merriment: merriment
mess: mess
message: message
messenger: messenger
metal: metal
method: method
middle: middle
middling: middling
midland: midland
midnight: midnight
mild: mild
mildness: mildness
mile: mile,miles
milestone: milestone,milestones
military: military
millinery: millinery
milton: milton
mind: mind,minds
minded: minded
mingle: mingled
minute: minute,minutes,minutest
minutely: minutely
minuteness: minuteness
mirror: mirror
misapprehension: misapprehension
mischance: mischance
mischief: mischief
mischievous: mischievous
mischievousness: mischievousness
misconduct: misconduct
miserable: miserable
miserably: miserably
miserly: miserly
misery: misery
misfortune: misfortune
misgive: misgive
misinform: misinformed
mislay: mislaid
mislead: mislead,misled
misplace: misplaced
misrepresentation: misrepresentation
mistake: mistake,mistaken,mistakes
mistaken: mistaken
mistress: mistress
misunderstand: misunderstood
misunderstanding: misunderstanding
mitchell: mitchell
mixed: mixed
mixture: mixture
mizzling: mizzling
moan: moans
mob: mob
mockery: mockery
mode: mode
moderate: moderate
moderation: moderation
modern: modern
modest: modest
modestly: modestly
modesty: modesty
moment: moment,moments
momentary: momentary
monastic: monastic
monday: monday
money: money
monied: monied
monk: monk
monstrous: monstrous
month: month,months
monument: monument
mood: mood
moon: moon
moonlight: moonlight
moralizing: moralizing
morning: morning,mornings
morrow: morrow
mortal: mortals
mortification: mortification,mortifications
mortified: mortified
mortify: mortifying
mortifying: mortifying
mother: mother
motion: motion
motionless: motionless
motive: motive,motives
moulding: moulding
mount: mount,mounted
mountain: mountains
mournfully: mournfully
mouth: mouths
mouthful: mouthfuls
movement: movement,movements
muff: muff
mull: mull
multiplicity: multiplicity
multitude: multitude
murder: murder,murdered,murdering
murderer: murderer
murmur: murmur,murmurs
murray: murray
music: music
muslin: muslin,muslins
mutton: mutton
mutual: mutual
mysteries: mysteries
mysterious: mysterious
mysteriously: mysteriously
mysteriousness: mysteriousness
mystery: mystery
nail: nail
nameless: nameless
narrow: narrow,narrower
narrowly: narrowly
nasty: nasty
nation: nation
native: native
natural: natural
naturally: naturally
nature: nature
natured: natured
nearer: nearer
neat: neat,neatest
neatly: neatly
neatness: neatness
necessaries: necessaries
necessitous: necessitous
necessity: necessity
neck: necks
necromancer: necromancer
needful: needful
needle: needle
needless: needless
needlework: needlework
neglect: neglect,neglected
negligence: negligence
negligent: negligent
neighbour: neighbour,neighbouring,neighbours
neighbourhood: neighbourhood
nerve: nerves
netting: netting
newfoundland: newfoundland
newly: newly
news: news
newspaper: newspaper,newspapers
nice: nice,nicer,nicest
niggardly: niggardly
night: night,nights
nightly: nightly
nimbly: nimbly
noble: noble
nobleman: noblemen
nobleness: nobleness
nod: nod,nods
noise: noise,noises
noisy: noisy
nominal: nominal
nonsense: nonsense
noon: noon
north: north
northern: northern
note: note
notice: notice,noticed,noticing
notion: notion,notions
nourish: nourish
novelist: novelist
novelty: novelty
nowadays: nowadays
numerous: numerous
nun: nun
nurse: nursing
oak: oak,oaks
oath: oaths
obey: obey
object: object,objects
objection: objection,objections
objectionable: objectionable
obligation: obligation,obligations
oblige: oblige,obliged,obliging
observance: observance
observation: observation,observations
observe: observe,observed,observing
observer: observer
obsolete: obsolete
obstacle: obstacle
obstinate: obstinate
occasion: occasion,occasioned
occasional: occasional
occasionally: occasionally
occupation: occupation
occupied: occupied
occupy: occupied,occupy
occur: occur,occurred,occurring
occurrence: occurrence
octagon: octagon
odd: odd
odds: odds
odious: odious
offence: offence
offend: offend,offended,offending
offended: offended
offer: offer,offered,offering,offers
office: office,offices
oftener: oftener
oil: oiled
oneself: oneself
openly: openly
openness: openness
operation: operation
opinion: opinion,opinions
opportunity: opportunities,opportunity
oppose: oppose,opposing
opposition: opposition
oppress: oppress
orchard: orchard
orchestra: orchestra
ordinary: ordinary
oriel: oriel
origin: origin
original: original
originality: originality
originally: originally
originate: originated
ornament: ornament,ornaments
ornamental: ornamental
orphan: orphan
outer: outer
outrider: outriders
outset: outset
outstrip: outstripped
overcome: overcome
overdrawn: overdrawn
overflow: overflowing
overhear: overhear,overheard
overlook: overlooked
overpower: overpowered
overpowering: overpowering
overrate: overrated
overset: overset
overstrained: overstrained
overtake: overtake,overtaken,overtook
overthrow: overthrow
overture: overture
overturn: overturn
owner: owner
oxford: oxford
pace: pace,paced,paces
pacing: pacing
package: package
packing: packing
padlock: padlock
pain: pain,pains
pained: pained
painful: painful
paint: painted
painting: painting
pair: pair
palate: palate
pale: pale
paleness: paleness
pamphlet: pamphlets
pane: pane
panegyric: panegyric
panel: panels
pang: pang,pangs
pantry: pantries
papa: papa,papas
paper: paper,papered,papers
parade: parade,paraded,parading
parcel: parcels
pardon: pardon,pardoned
pardonable: pardonable
parent: parent,parents
parental: parental
parish: parish
park: park
parlour: parlour
parry: parry
parsonage: parsonage,parsonages
partial: partial
partiality: partiality
particulars: particulars
partly: partly
partner: partner,partners
partnership: partnership
party: parties,party
pass: pass,passed,passes,passing
passage: passage,passages
passion: passion,passions
passport: passport
pastry: pastry
patch: patched
path: path
pathos: pathos
patience: patience
patient: patient
patron: patron
patronize: patronized
patten: pattened
pause: pause,paused
pave: paved
pavement: pavement
pay: paid,pay,paying
peace: peace
peaceably: peaceably
peal: peals
pearl: pearls
peculiar: peculiar
peculiarly: peculiarly
pecuniary: pecuniary
peep: peeped
peerage: peerage
pelisse: pelisse
pen: pen,penned,pens
pencil: pencil
penetrate: penetrate,penetrating
penetration: penetration
penny: penny
pensive: pensive
perceivable: perceivable
perceive: perceive,perceived,perceiving
perfect: perfect,perfecting
perfection: perfection,perfections
perfectly: perfectly
perform: perform,performed,performing
performance: performance,performances
period: period,periods
permanently: permanently
permission: permission
permit: permit,permitted,permitting
perpetrate: perpetrated
perpetually: perpetually
perplexity: perplexity
persecution: persecutions
persevere: persevere,persevered
person: people,person,persons
personal: personal
perspective: perspectives
persuade: persuade,persuaded
persuasion: persuasion
perturbation: perturbation
perusal: perusal
peruse: peruse
perverse: perverse
perverseness: perverseness
pestilence: pestilences
petition: petition,petitioned
petty: petty
pew: pew
phaeton: phaeton,phaetons
philosophic: philosophic
philosophy: philosophy
phrase: phrases
physician: physician
pianoforte: pianoforte
picture: picture,pictured,pictures
picturesque: picturesque
piece: piece,pieces
pillow: pillow
pin: pin,pinned
pine: pine
pinery: pinery
pint: pints
pitch: pitch
pitiable: pitiable
pitiful: pitiful
pitiless: pitiless
pity: pitied,pity
placid: placid
placidly: placidly
plague: plague,plagued
plain: plain,plainer
plainly: plainly
plan: plan,plans
plant: plants
plantation: plantations
plausibility: plausibility
play: play,played,playing,plays
player: players
playful: playful
playing: playing
plea: plea
plead: pleaded
pleasant: pleasant,pleasanter
pleasantly: pleasantly
pleasantry: pleasantry
pleased: pleased
pleasing: pleasing
pleasure: pleasure,pleasures
pledge: pledged
plenty: plenty
plumpness: plumpness
plunge: plunge
pocket: pocket,pockets
pocketbook: pocketbook
poetry: poetry
pointedly: pointedly
poison: poison
policy: policy
polite: polite
politely: politely
politeness: politeness
politics: politics
ponder: pondering
ponderous: ponderous
pool: pool
poor: poor
pope: pope,popes
populous: populous
porch: porch
pore: poring
portion: portion
portionless: portionless
portrait: portrait,portraits
portray: portray,portrayed
position: position
positive: positive
positively: positively
possess: possess,possessed
possession: possession,possessions
possibility: possibility
post: post
postilion: postilions
postpone: postpone
potion: potions
poultice: poultice
pound: pounds
pour: poured
poverty: poverty
powder: powder
power: power,powers
practice: practice
praise: praise
pray: pray
prayer: prayers
precede: preceded
precinct: precincts
precious: precious
precision: precision
prediction: prediction,predictions
prefer: prefer,preferred,preferring
preference: preferences
preferment: preferment
prelude: prelude
prematurely: prematurely
premise: premises
preparation: preparation
prepare: prepare,prepared,preparing
prepared: prepared
preponderate: preponderated
prepossessing: prepossessing
presence: presence
presentiment: presentiment,presentiments
presently: presently
preserve: preserve,preserved,preserving
press: press,pressed,pressing
pressing: pressing
pressure: pressure
presume: presumed
presumption: presumption
pretence: pretence
pretend: pretend,pretended,pretending
pretension: pretension,pretensions
prettily: prettily
pretty: prettier,prettiest,pretty
prevail: prevail,prevailed,prevailing
prevailing: prevailing
prevent: prevent,prevented,preventing
prevention: prevention
price: price
pride: pride
principal: principal
principle: principle,principles
prior: prior
prison: prison
privacy: privacy
private: private
privileged: privileged
privy: privy
prize: prized
probability: probability
probable: probable
proceed: proceed,proceeded,proceeding
proceedings: proceedings
proclaim: proclaimed
procure: procure,procured
prodigious: prodigious
produce: produce,produced
production: production,productions
productive: productive
profess: professing
profession: profession,professions
proficiency: proficiency
profile: profile
profit: profit
profligacy: profligacy
profusion: profusion
progress: progress
project: project,projected,projects
promise: promise,promised,promises
promising: promising
promote: promote,promoting
promotion: promotion
prompt: prompt,prompted
pronounce: pronounce,pronounced
pronounced: pronounced
proof: proof,proofs
propensity: propensities,propensity
proper: proper,properest
properly: properly
property: property
proportion: proportioned
proposal: proposal,proposals
propose: propose,proposed
proprietor: proprietor
propriety: propriety
prospect: prospect
protection: protection
protest: protest,protested,protesting
proudly: proudly
prove: prove,proved
proverb: proverb
provide: provide,providing
proviso: proviso
provoke: provoke,provoked
provoking: provoking
proxy: proxy
prudence: prudence
psha: psha
public: public
publication: publication
publish: publish,published,publishes
publisher: publisher
puce: puce
pull: pull,pulled,pulling
pump: pump
pun: pun
punctual: punctual
punctuality: punctuality
punctuation: punctuation
puppy: puppies,puppy
purchase: purchase,purchased,purchases
pure: pure
purity: purity
purple: purple
purpose: purpose,purposes
purse: purse,purses
pursue: pursued
pursuit: pursuit
purvey: purvey
push: push,pushed
puzzle: puzzle,puzzled,puzzles
pyrenees: pyrenees
quadrangle: quadrangle
qualified: qualified
qualify: qualified
quality: quality
quarrel: quarrel,quarrels
quarrelsome: quarrelsome
quarter: quarter,quarters
queer: queer
quell: quell
quest: quest
question: question,questioned,questions
questioner: questioner
quick: quick
quicken: quickening
quickness: quickness
quiet: quiet,quietest
quietly: quietly
quietness: quietness
quit: quit,quitted,quitting
quiver: quivering
quiz: quiz,quizzes
quizzer: quizzers
quota: quota
quotation: quotations
race: race,racing
rage: rage,raged
raillery: raillery
rain: rain,rained,raining,rains
rainy: rainy
raise: raise,raised,raising
ramble: rambles
rambler: rambler
rambling: rambling
rampart: ramparts
random: random
range: range
rank: rank,ranked
rap: rap
rapid: rapid
rapidity: rapidity
rapidly: rapidly
rapture: rapture,raptures
rapturous: rapturous
rare: rare
rate: rate
rational: rational
rationally: rationally
rattle: rattle
rave: raved
ray: ray,rays
reach: reach,reached,reaching
read: read,reading,reads
readable: readable
reader: reader,readers
reading: reading
ready: ready
real: real
reality: reality
realization: realization
reappear: reappeared
reappearance: reappearance
rear: reared
reason: reason,reasoned
reasonable: reasonable
reasonableness: reasonableness
reasoning: reasoning,reasonings
reassure: reassure
recall: recall,recalled
recede: receding
receive: receive,received,receiving
recess: recess
reckon: reckoned
recognition: recognition
recognize: recognized
recollect: recollect,recollected,recollecting
recollection: recollection
recommence: recommenced
recommend: recommend,recommended,recommending
recommendation: recommendation,recommendations
reconcile: reconcile
reconciliation: reconciliation
record: records
recourse: recourse
recover: recover,recovered,recovering
recovered: recovered
recovery: recovery
rectify: rectify
recur: recurring
recurrence: recurrence
red: red,redder
reduce: reduce,reduced
reference: reference
refine: refined
refined: refined
refinement: refinement
reflect: reflect,reflected,reflecting
reflection: reflection,reflections
reformation: reformation
refrain: refrain
refreshment: refreshment,refreshments
refusal: refusal
refuse: refuse,refused,refusing
regain: regain
regard: regard,regarded
regiment: regiment
regret: regret,regretted,regretting
regular: regular
regularly: regularly
rein: reins
reject: rejected
rejection: rejection
rejoice: rejoice,rejoiced
rejoin: rejoined
rekindle: rekindling
relapse: relapse
relate: relate,relating
relation: relation,relations
relationship: relationship
relative: relative
relator: relator
relax: relax
relaxation: relaxation
release: release,released
reliance: reliance
relief: relief
relieve: relieve,relieved
religious: religious
relinquish: relinquished
relish: relish
reluctance: reluctance
reluctantly: reluctantly
rely: rely,relying
remain: remain,remained,remaining,remains
remainder: remainder
remains: remains
remark: remark,remarks
remarkable: remarkable
remarkably: remarkably
remember: remember,remembered,remembering
remembrance: remembrance
remind: remind,reminded,reminding
remiss: remiss
remissness: remissness
remnant: remnant
remonstrance: remonstrance,remonstrances
remonstrate: remonstrated
remorse: remorse
remote: remote
removal: removal
remove: removed,removing
removed: removed
rend: rending
render: render,rendered,rendering
renew: renewed
rent: rent
repair: repair,repaired
repass: repassing
repast: repast
repay: repaid
repeat: repeat,repeated,repeating
repeatedly: repeatedly
repent: repent
repentance: repentance
repetition: repetition
repine: repining
reply: replied,replies,reply
report: report
repose: repose,reposing
represent: represent,represented
representation: representation,representations
repress: repress
reproach: reproach,reproached,reproaches
reproof: reproof
reputation: reputation
reputed: reputed
request: request,requesting
require: require,required,requires
requisite: requisites
resee: reseeing
resemblance: resemblance
resent: resent,resented,resenting
resentful: resentful
resentment: resentment
reserve: reserve
residence: residence
resign: resigned,resigning
resist: resist,resisted
resistance: resistance
resistless: resistless
resolute: resolute
resolutely: resolutely
resolution: resolution,resolutions
resolve: resolve,resolved,resolving
resound: resounded
respect: respect,respected,respecting
respectable: respectable
respectably: respectably
respectful: respectful
respective: respective
respects: respects
rest: rest
restless: restless
restlessly: restlessly
restore: restore,restored,restoring
restrain: restrain,restrained,restraining
restraint: restraint
result: result
resume: resumed
retain: retained
retire: retire,retired,retiring
retired: retired
retirement: retirement
retract: retract,retracted
retraction: retraction
retreat: retreat,retreated,retreating
return: return,returned,returning
revenge: revenge
reverential: reverential
reverie: reverie,reveries
reverse: reverse,reversed,reversing
revert: reverted,reverting
review: review
reviewer: reviewers
revise: revised
revive: revived
revolution: revolution
revolve: revolving
reward: reward,rewarded
rhine: rhine
rhodomontade: rhodomontade
rhubarb: rhubarb
ribbon: ribbon,ribbons
rich: rich
richard: richard
richardson: richardson
richly: richly
richmond: richmond
rickety: rickety
rid: rid
ride: ride,riding
ridiculous: ridiculous
riding: riding
rightly: rightly
rigour: rigours
riot: riot
rise: rise,rising,rose
risk: risks
rival: rival
river: river
road: road,roads
roar: roared
rob: rob,robbed
robber: robbers
robe: robe
robinson: robinson
rocks: rocks
rocky: rocky
roll: roll,rolled,rolling
romance: romance
romancer: romancers
romantic: romantic
roof: roof
roomy: roomy
rose: rose,roses
rouse: roused
route: route
row: rows
rub: rubbed
rude: rude
rudeness: rudeness
ruder: ruder
rudiment: rudiments
ruffle: ruffle
ruin: ruin,ruined,ruining,ruins
rule: rule,rules
rush: rushed
sacrifice: sacrifice
sad: sad
sadly: sadly
sadness: sadness
safe: safe,safer
safely: safely
safety: safety
sagacity: sagacity
sake: sake
salisbury: salisbury
sallow: sallow
sally: sally
sam: sam
sameness: sameness
sampler: sampler
sanction: sanction,sanctioned
sanguine: sanguine
sarah: sarah
sarsenet: sarsenet
sash: sash
satin: satin
satire: satire
satisfaction: satisfaction
satisfactory: satisfactory
satisfied: satisfied
satisfy: satisfied,satisfy
saturday: saturday
saunter: saunter
save: save,saved,saving
saving: saving
scamper: scampered
scandalous: scandalous
scarce: scarce
scarcely: scarcely
scare: scare
scatter: scatter,scattered
scene: scene,scenes
scheme: scheme,schemes,scheming
scholar: scholar
schoolfellow: schoolfellow,schoolfellows
scold: scold,scolding
score: score,scores
scorn: scorned
scotch: scotch
scrape: scrape
screen: screens
scruple: scruple
scrupulous: scrupulous
scud: scud
scullery: scullery
sea: sea
search: search,searched
season: season
seat: seat,seated,seats
seated: seated
secondary: secondary
secret: secret
secrete: secreted
secretly: secretly
secure: secure,secured
securely: securely
security: security
sedate: sedate
sedentary: sedentary
seek: seek,seeking,sought
seize: seize,seized,seizing
seizure: seizure
seldom: seldom
select: selecting
selfish: selfish
sell: sell,sold
semicircular: semicircular
send: send,sending
sensation: sensation,sensations
sense: sense
sensibility: sensibility
sentence: sentence,sentences
sentiment: sentiment,sentiments
sentimental: sentimental
separate: separated,separating
separately: separately
separation: separation
serenity: serenity
servant: servant,servants
serve: served
service: service
serviceable: serviceable
servile: servile
set: set,sets,setting
setting: setting
settle: settle,settled,settles
settled: settled
settlement: settlements
seventeen: seventeen
severe: severe
severely: severely
severity: severity
sex: sex,sexes
shabbiness: shabbiness
shabby: shabby
shades: shades
shadow: shadow
shake: shake,shook
shakespeare: shakespeare
shallow: shallow
shame: shame
shape: shape,shaped
shapeless: shapeless
share: share,shared,sharing
sharer: sharers
sheet: sheet,sheets
shelf: shelf
shelter: shelter,sheltered
shift: shift
shilling: shillings
shine: shining,shone
shirk: shirked
shirt: shirts
shiver: shivering
shock: shock,shocking
