abe: abed
london: london
lonely: lonely
looker: lookers
loophole: loophole
loose: loose
loosely: loosely
lord: lord
lose: lose,loses,losing,lost
loss: loss
lot: lot,lots
loud: loud,louder
loudly: loudly
lovable: lovable
love: love,loved
lumber: lumber
lunatic: lunatic
lunch: lunch
lurk: lurked
luscious: luscious
lustily: lustily
lustrous: lustrous
lusty: lustiest,lusty
luxurious: luxurious
luxury: luxury
machine: machine
mad: mad
magnitude: magnitude
main: main
maintain: maintaining
malady: malady
mankind: mankind
manner: manner
mansion: mansion
manslaughter: manslaughter
mantle: mantle
map: maps
mark: mark,marked
market: market,marketing
marriage: marriage
married: married
marrow: marrow
marry: married
martha: martha
mash: mashed
mass: masses
master: master
match: match,matched
matron: matron
matter: matter,matters
mature: mature
maximum: maximum
mayor: mayor
meagre: meagre
meaning: meaning
measure: measuring
meat: meat
meditation: meditation
medium: medium
meet: meet,meeting,met
meeting: meeting
melancholy: melancholy
melt: melted
memorable: memorable
memory: memory
menacing: menacing
menagerie: menagerie
mention: mention,mentioned
merchant: merchant,merchants
merciful: merciful
merciless: merciless
mercy: mercy
mere: mere
merge: merged
merrier: merrier
merriment: merriment
merry: merrier,merriest,merry
messenger: messenger,messengers
metal: metal
method: method,methods
michael: michael
middle: middle
midnight: midnight
midst: midst
mighty: mighty
mild: mild
mildly: mildly
milkman: milkman
miller: miller
milliner: milliner
mince: mince
mind: mind
miner: miners
mingle: mingle
minister: ministers
minute: minute,minutes
miracle: miracle
mirror: mirrors
mirth: mirth
misanthropic: misanthropic
miscellaneous: miscellaneous
miserable: miserable
misery: misery
mislay: mislaying
missile: missile
mission: mission
mississippi: mississippi
mist: mist
mistake: mistakes
mistaken: mistaken
mistletoe: mistletoe
mistress: mistress
misuse: misused
mix: mixed
mixture: mixture
moan: moaning
modest: modest
modification: modification
modify: modified
moist: moist
molten: molten
moment: moment,moments
momentary: momentary
monday: monday
money: money
monster: monsters
monstrous: monstrous
month: month,months
mood: mood
moon: moons
moor: moor
moral: moral
morning: morning
morose: morose
morrow: morrow
mortal: mortal
moss: moss
mossy: mossy
mother: mother
motion: motion
motionless: motionless
mouldy: mouldy
mount: mounting
mountain: mountains
mourner: mourner
mournful: mournful
mourning: mourning
mouse: mice
mouth: mouth,mouths
movable: movable
movement: movements
mud: mud
mulled: mulled
multitude: multitude,multitudes
mumble: mumbled
murmur: murmur
muscular: muscular
muse: mused
music: music
musical: musical
mustard: mustard
mutter: muttered
mysterious: mysterious
mystery: mysteries,mystery
nail: nail,nails
naked: naked
nameless: nameless
narrow: narrow,narrowest
national: national
natural: natural
naturally: naturally
nature: nature
natured: natured
necessaries: necessaries
necessity: necessity
neck: neck
needle: needle
negative: negative
neglect: neglected
negligence: negligence
negus: negus
neighbour: neighbour,neighbouring
nephew: nephew
nervous: nervous
network: network
news: news
newsletter: newsletter
newspaper: newspapers
nice: nice
nick: nick
niece: niece
night: night
nightcap: nightcap
nip: nipped
noble: noble,nobler
noise: noise,noises
noisily: noisily
noisy: noisy
nonproprietary: nonproprietary
noon: noon
norfolk: norfolk
north: north
nose: nose
note: note
notice: notice,noticed
notify: notifies
notion: notion
nuisance: nuisance
numerous: numerous
nut: nuts
obedience: obedience
obey: obeyed
object: objected,objects
objection: objections
oblige: obliged
obscene: obscene
obscure: obscure,obscuring
observable: observable
observant: observant
observe: observe,observed,observing
obsolete: obsolete
occasion: occasion
occupation: occupation
occupy: occupies
occur: occur,occurred
ocean: ocean
odds: odds
odious: odious
odour: odours
offal: offal
offence: offences
offend: offend
offer: offer,offers
office: office,offices
officer: officers
official: official
officious: officious
ogre: ogre
oil: oil
oily: oily
ominous: ominous
onion: onion,onions
online: online
onslaught: onslaught
onward: onward
opaque: opaque
operation: operation
opinion: opinion
opportunity: opportunities,opportunity
opulence: opulence
orange: oranges
orchestra: orchestra
organ: organ
organize: organized
origin: origin
original: original
originator: originator
orson: orson
outcast: outcast
outdated: outdated
outer: outer
outline: outline
outpouring: outpouring
outrage: outrage
outset: outset
outstretched: outstretched
outward: outward
oven: oven
overcome: overcome
overhear: overheard
overrun: overrun
overtake: overtake
owe: owed
owner: owner,owners
oyster: oyster,oysters
pace: pace,paces
pack: packed
package: package
padlock: padlocks
pageant: pageant
pain: pain
paint: painted
pair: pair
pale: pale
palm: palm
palpable: palpable
pan: pan
panel: panels
panelling: panelling
pang: pang
panting: panting
paper: paper,papers
paperwork: paperwork
paragraph: paragraph,paragraphs
parapet: parapets
parcel: parcels
pardon: pardon
parks: parks
parliament: parliament
parlour: parlour,parlours
parrot: parrot
particle: particles
partner: partner,partners
party: parties,party
pass: pass,passed,passing
passage: passage
passenger: passengers
passion: passion,passions
passionless: passionless
pastrycook: pastrycook
pat: patted,patting
path: path,paths
pathos: pathos
patience: patience
patient: patient
pattern: pattern
paul: paul
pause: pause,paused
pave: paved
pavement: pavement
pawn: pawn
pay: paid,pay,paying
payment: payments
peace: peace
peal: peal,peals
pear: pears
peck: peck
peculiar: peculiar
pedestrian: pedestrian
peel: peeled
peep: peeping
pelt: pelt
pelting: pelting
pen: pen,pent
penance: penance
pencil: pencil
pendulous: pendulous
penetrate: penetrated
penitence: penitence
penny: penny
perfect: perfect
perfectly: perfectly
perform: perform,performed,performing
performance: performances
period: period
periodic: periodic
perish: perish
permanent: permanent
permission: permission
permit: permit,permitted
perplexed: perplexed
persecute: persecuted
persevere: persevered
person: people,person,persons
personal: personal
personally: personally
perspiration: perspiration
perversion: perversion
peter: peter
petrifaction: petrifaction
phantom: phantom,phantoms
pharaoh: pharaoh
phase: phases
phenomenon: phenomenon
phrase: phrase
physical: physical
piano: piano
pick: pick,picking
pictorial: pictorial
picture: picture,pictured
pie: pies
piece: piece
pierce: pierce,piercing
pig: pig,pigs
pigtail: pigtail
pile: pile,piled,piles,piling
pillage: pillaged
pimple: pimple
pin: pinned
pinch: pinched
pinion: pinioned
pipe: pipe,pipes
piping: piping
pitch: pitch
piteously: piteously
pity: pities,pity
plain: plain
plaintive: plaintive
plaster: plaster
plate: plates
platt: platt
platter: platter
play: play,played,playing
plead: plead,pleaded
pleasant: pleasant,pleasanter,pleasantest
pleasantly: pleasantly
pleasantry: pleasantry
pleased: pleased
pleasure: pleasure
pledge: pledged
plentiful: plentiful
plenty: plenty
plough: ploughed
pluck: plucked
plug: plug
plum: plum,plums
plume: plume
plummer: plummer
plump: plump,plumping
plunder: plunder,plundered
plunge: plunge,plunged
pocket: pocket,pocketed,pockets
poem: poem
poetically: poetically
poke: poked
poker: poker
polished: polished
ponder: pondering
ponderous: ponderous
pony: ponies
pooh: pooh
poor: poor
poplar: poplar
popularity: popularity
population: population
porch: porch
porter: porter
portion: portion
portly: portly
position: position
positive: positive
possess: possessed
possession: possession
possibility: possibility
post: post,posted,posts
postboy: postboy
pot: pot
potato: potato,potatoes
poulterer: poulterer
poultry: poultry
pound: pounds
pour: poured,pouring
poverty: poverty
power: power,powers
powerful: powerful
powerless: powerless
practically: practically
practice: practice
praise: praise,praised
pray: pray,prayed
prayer: prayer
precept: precepts
precious: precious
predicament: predicament
predict: predicted
prediction: prediction
preferred: preferred
prematurely: prematurely
prentice: prentice,prentices
preparation: preparations
prepare: prepare,prepared
prepared: prepared
preposterous: preposterous
presence: presence
presentation: presentation
preserve: preserve,preserved
press: pressed,pressing
pretend: pretending
pretty: pretty
prevent: prevent
previous: previous
price: price
pride: pride
prime: prime
princess: princess
principal: principal
principle: principle,principles
print: print,printed
prison: prisons
prisoner: prisoner
private: private
privation: privations
prize: prize
proceedings: proceedings
process: process
processing: processing
procession: procession
proclaim: proclaimed
procuring: procuring
prodigiously: prodigiously
produce: produce,produced,producing
production: production
profess: professes
professor: professor
proffer: proffering
profit: profit,profited,profits
profound: profound
progress: progress
prohibition: prohibition
project: project
prominently: prominently
promise: promise,promised
promote: promoting
promotion: promotion
pronounce: pronounced,pronouncing
proofread: proofread
proofreading: proofreading
property: property
prophet: prophet
proportion: proportions
propose: proposed
proprietary: proprietary
prose: prose
prostrate: prostrate
protect: protect
protrude: protruding
proudly: proudly
prove: proved
provide: provide,providing
province: province
provision: provision,provisions
provoke: provoking
public: public
publish: published
pudding: pudding,puddings
pull: pulled,pulling
pulpy: pulpy
pulse: pulse
pummel: pummel
punch: punch
punishment: punishment
punitive: punitive
purchase: purchases
pure: purest
purpose: purpose,purposes
purse: purses
pursue: pursue,pursued
pursuit: pursuit
push: pushing
pyramid: pyramids
quaint: quaint
quake: quake
quality: qualities,quality
quantity: quantity
quarrel: quarrel
quarter: quarter,quarters
queens: queens
quest: quest
question: question,questioned,questioning,questions
quick: quick
quicken: quickening
quiet: quiet
quote: quoted
race: race
radiant: radiant
rag: rags
rage: raged
ragged: ragged
rail: rail
rain: rain
raise: raise,raised,raising
raisin: raisins
raising: raising
rake: raked
rally: rallied
rampant: rampant
rampart: ramparts
range: range
rank: rank
rapid: rapid
rapidity: rapidity
rapture: rapture
rare: rare,rarest
rascal: rascal
rashly: rashly
rat: rats
rate: rate
rattle: rattled
ray: ray
reach: reach,reached,reaching
read: read,reading,reads
readable: readable
reading: reading
ready: ready
real: real
realist: realist
reality: reality
reappearance: reappearance
reason: reason
reasonable: reasonable
rebuke: rebuke
recall: recalling
recede: receded
receipt: receipt
receive: receive,received,receiving
reclamation: reclamation
recognise: recognise,recognised,recognising
recognition: recognition
recoil: recoiled
recollect: recollect
recollection: recollection
recompense: recompensed
reconcile: reconciled
recover: recover
recross: recrossed
recumbent: recumbent
red: red
redden: reddening
redistribute: redistribute,redistributing
redistributing: redistributing
redistribution: redistribution
reef: reef
reek: reeked
reel: reel
refer: referring
reference: reference,references
reflect: reflected
refuge: refuge
refund: refund
refuse: refuse
regale: regale
regard: regard,regarded
region: regions
register: register,registered
regret: regret
regularly: regularly
regulate: regulating
rejoice: rejoiced,rejoices
rejoin: rejoined
relate: relate
relaxed: relaxed
release: release,released
relent: relenting,relents
relentless: relentless
relief: relief
relinquish: relinquished
remain: remain,remained,remaining,remains
remark: remark
remarkable: remarkable
remarkably: remarkably
remedy: remedies
remember: remember,remembered
remind: reminded
remonstrate: remonstrated
remorse: remorse
remove: remove,removed,removing
rename: renamed
render: render
repair: repairing
repass: repassed
repeat: repeat,repeated
repeater: repeater
repent: repent
repentance: repentance
replace: replace
replacement: replacement
replenish: replenish
reply: replied,reply
report: reported,reports
repose: repose
represent: represented
representation: representations
repress: repress
reproach: reproach
repulse: repulsed
repute: repute
request: request
require: require,required,requires
requirement: requirements
residence: residence
residuary: residuary
resist: resisted
resistance: resistance
resolute: resolute
resolution: resolution,resolutions
resolve: resolved
resort: resort,resorting,resorts
resound: resounded
resource: resource
respect: respect
rest: rest
restless: restless
restore: restored
restriction: restrictions
result: result
resume: resumed
resurrection: resurrection
retentive: retentive
retire: retire,retired
retirement: retirement
retort: retorted
return: return,returned,returning,returns
reveal: revealed
revel: revelled
reveller: revellers
revenue: revenue
revere: revered
reverently: reverently
reverse: reversed
revolve: revolving
rhinoceros: rhinoceros
ribbon: ribbons
rich: rich,richer
riddle: riddles
ridiculous: ridiculous
rigid: rigid
rime: rime
ripe: ripe
rise: rise,rising,rose
river: river
road: road
roar: roar,roared,roaring
roast: roast
robe: robe
robert: robert
robin: robin
robinson: robinson
rock: rocks
rod: rod
roger: roger
roll: roll,rolled,rolling
roller: roller
rolling: rolling
roof: roof,roofs
root: root
rose: roses
rough: rough
rouse: roused
rove: roved
royalty: royalties,royalty
rub: rub,rubbed,rubbing
ruddy: ruddy
rude: rude
ruin: ruin,ruined
rule: rules
ruler: ruler
rush: rush
rust: rust
rusty: rusty
ruthlessly: ruthlessly
sacred: sacred
sad: sad
safe: safe
sage: sage
sail: sailing
sake: sake
salary: salary
sale: sale
sally: sallied
salt: salt
satire: satire
satirical: satirical
satisfaction: satisfaction
satisfactory: satisfactory
satisfied: satisfied
saturdays: saturdays
sauce: sauce
saucepan: saucepan
sausages: sausages
savage: savage
save: save
savour: savour
scabbard: scabbard
scale: scale,scales,scaling
scant: scant
scanty: scanty
scar: scarred
scarcely: scarcely
scatter: scatter,scattered
scene: scene
scent: scents
school: school
schoolmaster: schoolmaster
score: scores
scorn: scorning
scowl: scowling
scramble: scrambled
scrap: scrap
scrape: scraping
scratch: scratch
scream: screaming
screen: screen,screened
screw: screw,screws
scripture: scriptures
scrooge: scrooge
scrutinise: scrutinise
scuffle: scuffle
scuttle: scuttle
sea: sea
seal: seal,seals
sealing: sealing
search: search,searching
season: season
seasonable: seasonable
seat: seat,seated
seaweed: seaweed
secret: secret,secrets
secure: secure,secured
security: security
seek: seek,sought
seethe: seething
seize: seize,seized
seldom: seldom
select: selecting
selfishness: selfishness
sell: sold
send: send,sending,sends
sensation: sensation
sense: sense
sentence: sentence
sentiment: sentiment
separate: separate
september: september
series: series
servant: servant
serve: serve,served
service: service,services
set: set,setting
setting: setting
seventh: seventh
severally: severally
severe: severe
severity: severity
sewing: sewing
sexton: sexton
sha: sha
shabby: shabby
shade: shade
shadow: shadow,shadowing,shadows
shadowy: shadowy
shaggy: shaggy
shake: shake,shaking,shook
shakespeare: shakespeare
shaking: shaking
shame: shame
shape: shape,shaped
share: share,shared,sharing
sharp: sharp,sharper,sharpest
shave: shaving
shaving: shaving
shawl: shawl
sheath: sheath
sheen: sheen
sheet: sheet,sheets
shelf: shelves
shilling: shilling,shillings
shine: shine,shining,shone
ship: ship
shirt: shirt
shiver: shivered,shivering
shoe: shoe,shoes
shop: shop,shops
shopkeeper: shopkeepers
shore: shore
short: short,shortest
shot: shot
shoulder: shoulder
shout: shouted,shouts
shouting: shouting
shovel: shovel,shovelling
shower: shower
shred: shreds
shrewdly: shrewdly
shriek: shriek
shrink: shrunk
shrivel: shrivelled
shroud: shroud,shrouded
shudder: shudder,shuddering
shuffle: shuffled
shun: shun
shut: shut,shutting
shutter: shutter,shutters
shyly: shyly
sick: sick
sidle: sidled
sigh: sigh
sight: sight
sign: signed,signs
silence: silence
silent: silent
silently: silently
silken: silken
silly: silly
silver: silver
simile: simile
simmer: simmer
simple: simple
sin: sin
sing: sang,singing,sung
singer: singer
singing: singing
single: single
singular: singular
singularly: singularly
sink: sank,sunk
sinner: sinner
sir: sir
sister: sister,sisters
sit: sat,sit,sitting
situation: situation
sixpence: sixpence
size: size
skater: skater
skim: skimmed
skin: skin
skip: skipping
skirt: skirts
sky: skies,sky
slander: slander
sleep: sleep,sleeping,slept
sleet: sleet
sleeve: sleeve
slide: slide
slight: slight,slightest
slily: slily
slink: slunk
slipper: slippers
slipshod: slipshod
slow: slow,slower
slowly: slowly
slyness: slyness
smart: smart
smear: smears
smell: smell,smelt
smile: smile,smiled,smiling
smoke: smoked
smoking: smoking
smoky: smoky
smooth: smooth
smother: smothering
snap: snapped
snore: snore
snow: snow,snowing
snowball: snowball
snuff: snuff,snuffed
snug: snug
sob: sobbed,sobbing
sofa: sofa
soft: soft
soften: soften,softened,softening
softly: softly
sole: sole
solemn: solemn
solicit: solicit
solicitation: solicitation
solitary: solitary
solitude: solitude
solution: solution
son: son
song: song
sooty: sooty
sordid: sordid
sorrow: sorrow
sorrowful: sorrowful
sort: sort,sorts
soul: soul
sound: sound,sounded,sounds
source: source
sow: sow
space: space
spacious: spacious
spade: spade
spanish: spanish
spare: spare,spared
spark: spark
sparkle: sparkled
sparkling: sparkling
speak: speak,speaking,spoke,spoken
speaker: speaker,speakers
special: special
specific: specific
speck: specks
speckled: speckled
spectacles: spectacles
spectral: spectral
spectre: spectre
speech: speech
speed: sped,speed
speedily: speedily
spend: spend,spent
sphere: sphere
spice: spices
spirit: spirit,spirits
spirited: spirited
spite: spite
splendid: splendid
splinter: splinter
splitting: splitting
spoil: spoil
sponge: sponge
spontaneous: spontaneous
spoon: spoon,spoons
sport: sport,sports
spot: spot,spotted
spout: spout
spray: spray
spread: spread
sprig: sprigs
spring: spring,springing,sprung
sprinkle: sprinkle,sprinkled
sprinkling: sprinklings
spur: spur
sputter: sputtered
squab: squab
squeak: squeak
squeeze: squeeze,squeezing
stable: stables
staff: staff
stage: stages
stagger: stagger,staggered
stagnant: stagnant
stair: stair,stairs
staircase: staircase
stake: stake
stale: stale
stamp: stamp,stamping
stand: stand,standing,stood
star: star
stare: staring
start: start,started,starting
startled: startled
stately: stately
statement: statements
station: stations
statue: statues
stature: stature
status: status
stave: stave
stay: stay
steadiness: steadiness
steady: steady
steal: stolen
steam: steam
steel: steel
steep: steeped
steeple: steeples
stem: stem
step: step,steps
sternly: sternly
stick: sticking,sticks,stuck
stiff: stiff
stiffen: stiffened
stingy: stingy
stir: stir,stirred,stirring
stirring: stirring
stocking: stockings
stomach: stomach
stone: stone,stones
stony: stony
stool: stool
stoop: stooped
store: stored
storehouse: storehouse
storm: storm,storms
story: stories,story
stove: stove
straggle: straggling
straight: straight
strain: strain
strait: strait
strange: strange,strangest
stranger: stranger,strangers
streak: streak
stream: streamed
street: street,streets
strength: strength
stretch: stretch,stretched,stretching
strict: strict
strictly: strictly
strife: strife
strike: strike,strikes,struck
strive: strive
stroke: stroke
stroll: stroll,strolled
strong: strong,stronger
stronghold: stronghold
struggle: struggle,struggled,struggling
strut: strutted
stuff: stuff,stuffing
sturdily: sturdily
sturdy: sturdy
subject: subject,subjects
submissively: submissively
subscribe: subscribe
subsequently: subsequently
subside: subsided
substantial: substantial
substitute: substituted
suburb: suburbs
succeed: succeeded
success: success
successor: successor
suck: sucking
sudden: sudden
suddenly: suddenly
suffer: suffer,suffers
sufficient: sufficient
sugar: sugar
suitable: suitable
suite: suite
sullen: sullen
sultan: sultan
sum: sums
summer: summer
sun: sun
sunday: sunday
sunken: sunken
sunny: sunniest
supernatural: supernatural
supplication: supplication
support: support,supported
suppose: suppose,supposed,supposing
supposition: supposition
surely: surely
surface: surface
surmounted: surmounted
surplus: surplus
surprise: surprise
surprised: surprised
surprising: surprising
surround: surrounded
survey: surveying
survive: survive,surviving
susceptible: susceptible
suspect: suspected
suspicious: suspicious
swallow: swallow,swallowed
swamp: swamp
swan: swan
swarthy: swarthy
sweep: sweep,swept
sweet: sweet
sweeten: sweetened
swell: swell
swiftly: swiftly
swing: swing,swung
swinging: swinging
swoon: swoon
sword: sword
syllable: syllable
sympathy: sympathy
synonymous: synonymous
table: table
tacitly: tacitly
tail: tail,tails
tailor: tailor
talk: talk,talked,talking
tall: tall,taller
tank: tank
tap: tap
tarry: tarry
tartness: tartness
task: task
tassel: tassels
taste: tasted
tatters: tatters
tavern: tavern
tax: tax,taxes
taylor: taylor
tea: tea
teach: taught,teach
team: team
tear: tearing,tears,torn
temper: temper
temperature: temperature
tend: tended
tendency: tendency
tender: tender,tenderest
tenderness: tenderness
term: term,terms
terrestrial: terrestrial
terrible: terrible
terrify: terrified
terror: terror,terrors
texture: texture
thankee: thankee
thankful: thankful
thaw: thaw,thawed
theme: themes
thermometer: thermometer
thicken: thickened
thine: thine
thirsty: thirsty
thither: thither
thoroughfare: thoroughfares
thoughtful: thoughtful
thoughtfully: thoughtfully
thread: thread
threadbare: threadbare
threshold: threshold
thrill: thrilled
throne: throne
throw: threw
thunder: thunder
thundering: thundering
thy: thy
tickled: tickled
tie: tied
tiger: tiger
tight: tight
tights: tights
tile: tile,tiles
tim: tim
time: time,times
timidly: timidly
tint: tints
tiny: tiny
tiptoe: tiptoe
title: title
toast: toast
toil: toil
tolerably: tolerably
toll: tolled,tolls
tong: tongs
tooth: teeth
toothpick: toothpick
topper: topper
torch: torch
torture: torture
toss: toss
total: total
touch: touch,touched
tough: tough
towel: towels
tower: tower
town: town
toy: toys
trace: trace,tracing
trade: trade,trades
trademark: trademark
train: trains
transcribe: transcribe
transcription: transcription
transfer: transferred
transformation: transformation
transition: transition
transparent: transparent
transport: transports
travel: travel,travelling
traveller: travellers
travels: travels
tread: tread
treadmill: treadmill
treasure: treasure
treatment: treatment
tree: tree
tremble: trembled,trembling
tremendous: tremendous
tremendously: tremendously
tremulous: tremulous
trial: trial
trick: tricks
trifle: trifle,trifled
trigger: trigger
trim: trimmed,trimming
trip: tripped
triumphantly: triumphantly
trivial: trivial
trot: trotting
trouble: trouble
true: true,truest
trunk: trunk
trust: trust
truth: truth
tucker: tucker
tug: tug
tumble: tumbled,tumbling
tumbler: tumblers
tumult: tumult
tumultuous: tumultuous
tune: tune,tuned,tunes
tunic: tunic
turkey: turkey,turkeys
tut: tut
twelfth: twelfth
twine: twine
twinkling: twinkling
twist: twisted,twisting
twopence: twopence
type: types
ubiquitous: ubiquitous
ugly: uglier,ugly
unable: unable
unaltered: unaltered
unanimity: unanimity
unanimously: unanimously
unavailing: unavailing
unbroken: unbroken
uncertain: uncertain
uncle: uncle,uncles
uncomfortably: uncomfortably
uncommon: uncommon
unconscious: unconscious
unconsciously: unconsciously
unconstrained: unconstrained
uncurtained: uncurtained
underdone: underdone
undergo: undergoing,undergone,underwent
undermine: undermine
understand: understand,understood
understanding: understanding
undertaker: undertaker
undigested: undigested
undisturbed: undisturbed
undo: undo
undoubted: undoubted
undress: undressing
unearthly: unearthly
uneasy: uneasy
unenforceability: unenforceability
unfasten: unfastened
unfeeling: unfeeling
ungrateful: ungrateful
unhallowed: unhallowed
unhappy: unhappy
uniform: uniform
union: union
united: united
universal: universal
unknown: unknown
unlink: unlink
unmoved: unmoved
unpleasant: unpleasant
unprofitable: unprofitable
unquestionably: unquestionably
unseemly: unseemly
unseen: unseen
unsolicited: unsolicited
untrue: untrue
unusual: unusual
unwatched: unwatched
unwept: unwept
update: updated
uphold: upheld
upper: upper
uproarious: uproarious
upside: upside
urgently: urgently
useless: useless
user: user
usual: usual
ut: ut
utmost: utmost
utterance: utterance
vacant: vacant
vague: vague
vaguely: vaguely
vain: vain
valentine: valentine
vanilla: vanilla
vanish: vanished
vapour: vapour
varied: varied
variety: variety
vast: vast
vegetation: vegetation
veil: veil
vein: vein,veins
veneration: veneration
venture: ventured,venturing
veriest: veriest
version: version
vestige: vestige
vibrate: vibrate
vibration: vibrations
view: view,viewed,viewing
vigour: vigour
vile: vile
vinegar: vinegar
violate: violates
violent: violent
violently: violently
virus: virus
visible: visible
vision: vision,visions
visit: visit,visited,visits
visitation: visitation
visitor: visitor
voice: voice,voices
void: void
volume: volume
volunteer: volunteer,volunteers
wag: wag
wages: wages
waggish: waggish
waggon: waggons
waist: waist
waistcoat: waistcoat,waistcoats
wait: waiting
wake: waking
walk: walk,walked,walking,walks
walking: walking
wall: wall,walls
walled: walled
wander: wander,wandering
wane: waning
wanton: wanton
war: war
ward: ward,warded
warehouse: warehouse
wares: wares
warm: warm,warmer,warming
warmth: warmth
warn: warn,warned,warning
warrant: warranted
warranty: warranties,warranty
wash: wash
washing: washing
waste: waste,wasted
wasting: wasting
watch: watch,watched,watches
water: water,watered,waters
waterproof: waterproof
wave: waved,waves
wax: wax
waxy: waxy
weak: weak
weakness: weakness
wealth: wealth
wealthy: wealthy
weapon: weapons
wear: wear,wearing,wore,worn
weary: weary
weather: weather
weed: weeds
week: week
weekly: weekly
weep: wept
weigh: weigh
weight: weight,weights
welfare: welfare
welsh: welsh
west: west
wet: wet
whatsoever: whatsoever
wheel: wheel,wheels
wheeze: wheezing
whereat: whereat
wherefore: wherefore
wheresoever: wheresoever
whisper: whispered
whistle: whistle
white: white
whitechapel: whitechapel
wholly: wholly
whomsoever: whomsoever
whoop: whoop
wicked: wicked
wicker: wicker
wide: wide,widest
wife: wife
wig: wig
wild: wild
wildly: wildly
wilfully: wilfully
williams: williams
willingly: willingly
win: win
wind: wind,winding
winded: winded
window: window,windows
wine: wine
wing: wing,wings
wink: wink,winking
winter: winter
wintry: wintry
wipe: wiped
wiry: wiry
wisdom: wisdom
wise: wise,wiser,wisest
wit: wits
witch: witches
withal: withal
withdraw: withdraw,withdrawing,withdrew
wither: withered
withered: withered
witness: witness,witnesses
woe: woe
wolfish: wolfish
woman: woman,women
wonderful: wonderful
wonderfully: wonderfully
wood: wood,woods
wooden: wooden
word: word
wordy: wordy
workhouse: workhouses
worldly: worldly
worn: worn
worth: worth
worthless: worthless
worthy: worthy
wound: wound
wrapper: wrapper
wreath: wreath,wreaths
wrench: wrenching
wrestle: wrestled
wretched: wretched
wring: wrung
wringing: wringing
wrinkle: wrinkle
write: write,writing,written,wrote
writer: writer
writing: writing
wrong: wrong
yard: yard
yawn: yawn,yawning
yearn: yearned
yellow: yellow
yesterday: yesterday
yield: yield
yo: yo
yonder: yonder
york: york
youth: youth
zeal: zeal
